peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_A549_BHLHE40	BHLHE40	USF2	0.0359197805477127
MM1_HSA_A549_BHLHE40	BHLHE40	SREBF1	0.0462988844618612
MM1_HSA_A549_BHLHE40	BHLHE40	MYC	0.038963327032136105
MM1_HSA_A549_CEBPB	CEBPB	HES2	0.1902273733280035
MM1_HSA_A549_CEBPB	CEBPB	FOSL2	0.2786944318054353
MM1_HSA_A549_CEBPB	CEBPB	JUNB	0.2624853559670797
MM1_HSA_A549_CEBPB	CEBPB	JUN	0.4185830005993652
MM1_HSA_A549_JUNB	JUNB	NFE2L2	0.06858595193411317
MM1_HSA_A549_NFE2L2	NFE2L2	FOSL2	0.11768052557871381
MM1_HSA_A549_NFE2L2	NFE2L2	JUNB	0.15453173767696857
MM1_HSA_A549_SREBF1	SREBF1	SREBF1	0.0452292963314688
MM1_HSA_A549_SREBF1	SREBF1	USF2	0.060290784844746356
MM1_HSA_A549_SREBF1	SREBF1	BHLHE40	0.034741430622177084
MM1_HSA_A549_USF2	USF2	BHLHE40	0.037557796418285806
MM1_HSA_A549_USF2	USF2	MYC	0.06501773524565548
MM1_HSA_GM12878_ATF2	ATF2	CREB1	0.3228291029420612
MM1_HSA_GM12878_ATF2	ATF2	SPI1	0.3112355276683769
MM1_HSA_GM12878_ATF2	ATF2	RUNX3	0.2150862380258736
MM1_HSA_GM12878_ATF7	ATF7	ATF7	0.0648873010705472
MM1_HSA_GM12878_ATF7	ATF7	ATF2	0.08278909604046797
MM1_HSA_GM12878_ATF7	ATF7	CREB1	0.33652915372777487
MM1_HSA_GM12878_ATF7	ATF7	SPI1	0.18471021055278947
MM1_HSA_GM12878_ATF7	ATF7	RUNX3	0.17748400890036992
MM1_HSA_GM12878_BHLHE40	BHLHE40	ATF3	0.04097855710867416
MM1_HSA_GM12878_BHLHE40	BHLHE40	NFE2	0.04250921699548635
MM1_HSA_GM12878_CREB1	CREB1	SP1	0.039540233703460714
MM1_HSA_GM12878_CTCF	CTCF	CTCF	0.06120143217123743
MM1_HSA_GM12878_CTCF	CTCF	ZBTB2	0.07249757818991555
MM1_HSA_GM12878_CTCF	CTCF	TRIM22	0.03148066480185555
MM1_HSA_GM12878_EBF1	EBF1	MEF2B	0.036280314479238046
MM1_HSA_GM12878_EGR1	EGR1	SP1	0.06929654831254556
MM1_HSA_GM12878_EGR1	EGR1	ELF1	0.07070065822446456
MM1_HSA_GM12878_ELF1	ELF1	GABPA	0.0461297289427067
MM1_HSA_GM12878_ELF1	ELF1	ELK1	0.05092037340964245
MM1_HSA_GM12878_ELF1	ELF1	ETS1	0.03540564749551558
MM1_HSA_GM12878_FOS	FOS	IRF3	0.09509208406916494
MM1_HSA_GM12878_FOS	FOS	NFYA	0.055177694698437
MM1_HSA_GM12878_JUNB	JUNB	IRF4	0.04630780089402538
MM1_HSA_GM12878_MEF2B	MEF2B	EBF1	0.05007825330593873
MM1_HSA_GM12878_MEF2B	MEF2B	SPI1	0.07340229931100788
MM1_HSA_GM12878_NFE2	NFE2	USF1	0.034742910424343486
MM1_HSA_GM12878_NFE2	NFE2	USF2	0.1807514805537418
MM1_HSA_GM12878_NFE2	NFE2	ATF3	0.05932841525727482
MM1_HSA_GM12878_NFE2	NFE2	MAX	0.0767890840470315
MM1_HSA_GM12878_NFYB	NFYB	FOS	0.16143736493020422
MM1_HSA_GM12878_NFYB	NFYB	SP1	0.10289514399492342
MM1_HSA_GM12878_NFYB	NFYB	IRF3	0.49853525094672796
MM1_HSA_GM12878_NFYB	NFYB	NFYA	0.4670323936733203
MM1_HSA_GM12878_PBX3	PBX3	PBX3	0.047011669677967896
MM1_HSA_GM12878_PBX3	PBX3	PKNOX1	0.08532654320987654
MM1_HSA_GM12878_PKNOX1	PKNOX1	PBX3	0.05682621671258036
MM1_HSA_GM12878_PKNOX1	PKNOX1	NFYB	0.10158568911604578
MM1_HSA_GM12878_RUNX3	RUNX3	CBFB	0.14645146172362275
MM1_HSA_GM12878_RUNX3	RUNX3	SPI1	0.03561070950760022
MM1_HSA_GM12878_SIX5	SIX5	GABPA	0.031575917882016066
