Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654	nucleoplasm	235	37.7207062600321	5.22E-33	ATF1, POP5, CCNK, IPO11, DCAF8, PHAX, PPP2R2A, THUMPD1, IFI35, SMC4, RPS15, NFU1, PNN, KAT5, PPP4R2, RPS18, PSMD2, SPATA24, EPC1, RPS11, CSNK2A1, MAP1S, WDR75, ARMC8, MED6, RUFY1, EWSR1, UQCRC2, KIF20A, LETMD1, L3MBTL2, MAPKAP1, SUPT4H1, BRCC3, CDKN2AIP, OAZ3, MIER3, DHX35, MIER1, CSTF1, MCMBP, DHX38, PPARGC1B, ZNF143, ZNF383, MICAL3, TRIP4, INO80, PUM1, GPN1, SMARCA2, RPS26, HNRNPM, RPS28, HNRNPF, HNRNPC, NOL11, INTS8, ITPA, ZNF134, LIN54, SUV39H2, WDR48, ECSIT, DDA1, BABAM1, ING5, ING3, PCF11, RAB8B, MIOS, SPHK2, PRMT1, TCF12, CACYBP, PPRC1, MED26, SREBF2, MED29, PSMA4, SLTM, MTF2, SP100, SF3B2, C11ORF54, NIP7, CIPC, SPESP1, WDR20, GNAI2, PSMB6, SCAF8, RPS15A, EXOSC10, SNX27, CUX1, HSF1, RPS3, USP1, PCGF1, SRSF11, WDR18, NFYC, ATAD2, NR1H3, ELP4, MKLN1, ETAA1, GFI1B, PSMC3, PSMC1, NBR1, CTNNB1, NCAPD2, CENPO, PKN1, TARDBP, FOXA3, SPC24, RIF1, CRTC1, SPPL2B, JADE1, ARID4A, CASC3, JADE2, NR3C1, CDC14A, CNDP2, MAEA, PAPOLG, CWC22, PHLDA1, HMGN1, GTF2I, PIAS3, MORC3, KDM2A, RNF40, PIAS1, MORF4L1, ILF3, HNRNPUL1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, UBE2V1, SNRPA, INO80E, PSMD11, PSMD13, ARHGAP15, HMBOX1, KLC2, IRAK1, HNRNPDL, TASOR, TBC1D14, E4F1, NDUFV2, POU2F1, ASPSCR1, ZC3HC1, NSFL1C, COPS6, NASP, SP1, CNOT2, PIN1, TAB2, UBA1, SAE1, RAD9B, C2ORF42, RNF13, CELF1, PPWD1, HMGB1, SENP6, DUSP12, PTBP1, RBM4, SNAPC3, PPP6R3, POLK, RBM5, METTL17, KDM6A, USP47, RUBCN, RBM14, RBM19, DARS2, RAD23A, SAFB, TSN, DDX19A, DDX19B, NUP50, POLR1C, DNLZ, LUC7L3, MCM5, DAGLB, DTL, ATG4D, SMARCD1, NFAT5, USP15, USP10, USP11, NDUFB4, PMF1-BGLAP, RNF6, LIN9, NR2C2, RNF2, MKNK2, SAP18, E2F6, SLC35A2, PTCD3, FKRP, USP21, ADRM1, U2SURP, POLE4, APC, POLR3E, TAF8, ACIN1, RAN, TNRC6B	568	4077	20660	2.09656886622655	2.85E-30	2.85E-30	2.75E-30
GOTERM_CC_DIRECT	GO:0005634	nucleus	275	44.1412520064205	7.27E-22	ATF1, CCNK, ZNF292, DCAF8, PHAX, IFI35, SMC4, RPS15, NFU1, RNF114, KAT5, PPP4R2, RPS18, PSMD2, FTH1, GPBP1, SPATA24, PWWP2A, EPC1, UBAP2L, CSNK2A1, MAP1S, ZNF160, ARMC8, WDR76, MED6, ZNF717, EWSR1, ARHGAP19-SLIT1, TCEANC2, KIF20A, RABL6, ZNF274, L3MBTL2, NECAB3, MAGED1, SUPT4H1, GSKIP, BRCC3, UBE2J2, OAZ1, CDKN2AIP, OAZ3, DHX30, HMGXB4, MIER3, AFMID, WBP2NL, MIER1, MCMBP, DHX38, RREB1, ZNF146, PPARGC1B, BTF3, ZNF264, MICAL3, TRIP4, BRAF, INO80, GPN1, SMARCA2, HNRNPM, HNRNPF, PPT1, NDUFAF3, HNRNPC, INTS8, LIN54, SUV39H2, STAG3L3, WDR48, ECSIT, SMG7, SMG6, BABAM1, ING5, ING3, PCF11, BBS4, CNTD1, SPHK2, PRMT1, TCF12, CACYBP, PPRC1, NUDT16L1, MED26, SREBF2, MED29, PSMA4, SLTM, MED21, MTF2, G2E3, NCOA7, ZNF596, SP100, SF3B2, C11ORF54, URM1, CIPC, PSMB6, SCAF8, EXOSC10, ATP5F1B, CUX1, PPP1R7, HSF1, RPS3, USP1, PCGF1, ZNF227, ZNF586, SRSF11, NFYC, ATAD2, NR1H3, XPO7, ELP3, ELP4, HIPK3, AGBL5, GFI1B, PSMC3, PSMC1, ABI1, CTNNB1, NCAPD2, CENPO, PKN1, TARDBP, FOXA3, SPC24, UBXN2B, RIF1, UBE3C, CRTC1, JADE1, ARID4A, UBE3A, CASC3, NR3C1, TATDN3, MAEA, RGS3, PAPOLG, CWC22, NUSAP1, PHLDA1, HMGN1, GTF2I, PIAS3, MAP2K4, MORC3, TRAPPC2L, SWAP70, FTSJ1, RNF40, RPP25L, PIAS1, EEF1A1, ILF3, ZNF93, HNRNPUL1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, UBE2V1, ZNF675, ISCU, SNRPA, ZNF671, PSMD11, CUL5, PSMD13, MAZ, BCL2L13, HMBOX1, IRAK1, HNRNPDL, CYC1, MAP2K7, ZC3H15, EIF2B5, POU2F1, BRPF3, ASPSCR1, CNOT4, ZC3HC1, DRAP1, NSFL1C, COPS6, NASP, SP1, CNOT2, CNOT3, PIN1, UBA1, TAB1, NIT1, SAE1, RAD9B, UBE2K, C2ORF42, CELF1, HMGB1, SENP6, DUSP12, PTBP1, RBM4, RPL7A, SNAPC3, PPP6R2, NFKBIZ, PPP6R3, ZNF644, POLK, ZNF764, RBM5, KDM6A, EIF5A, USP47, RBM14, PPP2R5B, RPL13A, RAD23A, SAFB, TSN, ZFP90, QTRT1, DDX19A, DDX19B, POLR1C, LUC7L3, MCM5, USP40, DTL, ZNF630, SMARCD1, NFAT5, USP15, SFSWAP, USP10, USP11, LENG8, RNF6, LIN9, DPCD, RNF2, DNAJB2, GNA13, ZNF507, MKNK2, SAP18, E2F6, SH2B1, ADRM1, ZNF180, EXOG, OXR1, U2SURP, POLE4, PNKD, APC, DNAJA3, ZNF615, POLR3E, TAF8, BAX, ACIN1, SLIRP, RAN	568	6106	20660	1.63816587701776	3.98E-19	1.99E-19	1.92E-19
GOTERM_MF_DIRECT	GO:0005515	protein binding	479	76.8860353130016	6.49E-20	TRIR, ITSN2, ATF1, POP5, IPO11, ITSN1, DCAF8, WDR83, PHAX, MICOS10, SMC4, RABGEF1, RNF114, PPP4R2, PSMD2, GPBP1, PWWP2A, CEP97, WSB1, CSNK2A1, MAP1S, TYW3, ARMC8, ATG13, WDR76, MED6, RUFY1, MYL6, EWSR1, ACOT2, TCEANC2, TARS2, UQCRC2, TMEM126B, LETMD1, VPS28, RABL6, NAA60, LRPAP1, ZNF274, TERC, MAPKAP1, RPN1, C12ORF60, TAPBPL, OAZ1, OAZ3, MRPL11, C2, PRPSAP2, HMGXB4, AFMID, WBP2NL, MCMBP, ZNF146, ST3GAL3, BTF3, ZNF264, ZNF143, ZNF383, TRIP4, BRAF, INO80, GPN1, HNRNPM, HNRNPF, PPT1, HNRNPC, ZNF134, LIN54, WDR48, ECSIT, SMG7, WDR45, MRPL32, DDA1, C12ORF43, FARS2, SMG6, ING5, FASTK, TCP11L1, MIOS, SPHK2, TCF12, MRPL49, NUDT16L1, MED26, MED29, TMEM175, SRP9, PIGC, PSMA4, SDHAF2, MED21, EXOC4, EXOC6, ZNF596, C11ORF54, SF3B2, NIP7, CIPC, URM1, WDR20, MIEF1, PSMB6, SCAF8, RPS15A, EXOSC10, SRP72, SNX27, PPP1R7, RPS3, USP1, PCGF1, ZNF227, SRSF11, YTHDF3, PBDC1, WDR18, ATAD2, NR1H3, ELP3, ELP4, ARCN1, MKLN1, TMCO6, PSMC3, SNX17, PSMC1, ABI1, UBAP1, NCAPD2, CENPO, PKN1, COQ8A, NUCB2, RIF1, FBXO28, PLOD1, CASC3, C1ORF74, CDC14A, MFSD13A, IPO9, PHLDA1, MAP3K4, HMGN1, GTF2I, PIAS3, MAP2K4, IST1, SWAP70, ATP11B, LEMD3, FTSJ1, RNF40, PIAS1, FAM118B, ATXN2L, MORF4L1, ILF3, KAT6B, DMWD, ZNF675, SNRPA, INO80E, CUL5, SMYD5, MAZ, KLC1, RCC1L, BCL2L13, HMBOX1, KLC2, HNRNPDL, BRIX1, E4F1, TSNAXIP1, MAP2K7, EIF2B5, BRPF3, TRAPPC4, TVP23B, TOR1B, ZC3HC1, DRAP1, CNOT4, NSFL1C, COPS6, SP1, CNOT2, CNOT3, TUBGCP5, HLA-DRA, PIN1, RAD9B, RNF13, CELF1, ATRAID, DUSP12, PTBP1, RPL7A, MRPL1, PPP6R2, PPP6R3, ZNF764, ACP1, FIRRE, METTL17, EIF5A, TNFRSF19, FAM219B, RAD23A, TSN, ZFP90, NIPSNAP2, QTRT1, POLR1C, MCM5, DAGLB, DTL, SMARCD1, NFAT5, RAB1A, GTPBP10, LENG8, AFG1L, MFF, DPCD, MESD, HSD17B10, DNAJB2, SRR, GANAB, HECTD4, SAP18, RAB28, E2F6, EIF4B, SH2B1, SLC35A2, SLC35A1, FKRP, ADRM1, NECAP1, APC, DNAJA3, OCIAD1, CCM2, ATXN10, BET1, TNRC6B, METAP2, ISCA2, CCNK, TMEM41B, CCP110, PPP2R2A, THUMPD1, IFI35, CYB5D2, RPS15, NFU1, PNN, KAT5, PPP2R1B, RPS18, FTH1, SPATA24, EPC1, UBAP2L, RPS11, TBC1D22B, EIF2A, MFSD11, THAP6, THAP9, KIF20A, NECAB3, L3MBTL2, STXBP3, MAGED1, STXBP2, SUPT4H1, GSKIP, BRCC3, UBE2J2, CDKN2AIP, DHX30, SNX2, MIER1, CSTF1, TSPAN4, DHX38, RPL39L, BBS1, ZHX1-C8ORF76, PUM1, SMARCA2, UBAC2, RPS26, RPS28, NDUFAF8, NDUFAF3, NOL11, INTS8, SUV39H2, COX7B, GDI1, MRPS14, MRPS11, MRPS12, HCCS, KIF15, BABAM1, HINT2, CD37, DLAT, BBS4, RAB8B, PSENEN, PRMT1, RHOH, CACYBP, ZDHHC17, SREBF2, LAT2, DUS2, ARHGEF9, SLTM, G2E3, NCOA7, MAPRE2, SP100, UQCR10, GNAI2, PGRMC1, ATP5F1B, ORMDL2, HSF1, EMC2, EPS15, AAMDC, PAK4, GCA, MTX1, NFYC, AP3D1, XPO7, RAB11A, VMP1, ETAA1, GFI1B, SPCS2, PRPF39, SPCS1, CAPZA1, CAPZA2, NBR1, CTNNB1, TARDBP, FOXA3, SPC24, UBE3C, UBXN2B, CRTC1, SPPL2B, JADE1, UBE3A, JADE2, COMT, COX6A1, NR3C1, EEF1B2, RGS3, CWC22, NUSAP1, MORC3, KDM2A, TRAPPC2L, CCDC157, SDHC, SDHD, RPP25L, TMEM254, EEF1A1, HNRNPUL1, PSPC1, SPNS1, UBE2V2, PPIE, UBE2V1, ISCU, KLHL18, COX19, PSMD11, DIABLO, BTF3L4, COX7A2, IRAK1, TASOR, TBC1D14, CYC1, NDUFV2, TBC1D15, ZC3H15, POU2F1, UQCC2, KLHL26, UQCC1, ASPSCR1, COQ9, TJAP1, COQ6, COQ4, EIF2S3, NASP, CAPRIN1, UBA1, TAB2, TAB1, SAE1, UBE2K, C2ORF42, MS4A7, HMGB1, USE1, SENP6, RBM4, SNAPC3, NFKBIZ, RBM5, KDM6A, BCKDHA, RUBCN, USP47, RBM14, PPP2R5B, DARS2, SAFB, PJA2, DDX19A, DDX19B, LMBRD1, RABEP2, NDUFS7, RER1, NUP50, NDUFS3, LUC7L3, VAC14, USP15, SFSWAP, USP10, TM2D1, USP11, RNF6, LIN9, SPG7, NR2C2, THBS4, RNF2, GNA13, MKNK2, BNIP1, ABCF3, PTCD3, USP21, ZNF180, U2SURP, POLE4, PNKD, TAF8, ACIN1, BAX, SLIRP, ABCE1, RAN	575	12657	18976	1.24893995761067	4.18E-17	4.18E-17	4.15E-17
GOTERM_MF_DIRECT	GO:0003723	RNA binding	104	16.69341894061	8.56E-16	TRIR, PHAX, CASC3, THUMPD1, NR3C1, RPS15, PNN, RPS18, PAPOLG, GPBP1, CWC22, NUSAP1, UBAP2L, RPS11, MORC3, WDR75, RPP25L, ATXN2L, EEF1A1, ILF3, HNRNPUL1, EWSR1, PSPC1, PPIE, SNRPA, RPN1, MAZ, CDKN2AIP, RCC1L, MRPL11, DHX30, HNRNPDL, DHX35, TASOR, CSTF1, DHX38, BRIX1, ZC3H15, PPARGC1B, BTF3, PUM1, RPS26, CNOT4, HNRNPM, RPS28, HNRNPF, CAPRIN1, UBA1, NOL11, HNRNPC, CELF1, MRPS14, MRPS11, MRPS12, MRPL37, HMGB1, MRPL32, SMG6, RBM4, PTBP1, RPL7A, MRPL1, FASTK, RBM5, EIF5A, RBM14, PRMT1, RBM19, RPL13A, PPRC1, NUDT16L1, SAFB, SRP9, TSN, DDX19A, DDX19B, SLTM, LUC7L3, SF3B2, SFSWAP, USP10, NIP7, GTPBP10, HSD17B10, SCAF8, GANAB, EXOSC10, RPS15A, SRP72, RPS3, SAP18, SRSF11, EIF4B, PTCD3, YTHDF3, U2SURP, ARCN1, PSMC1, ACIN1, SLIRP, TARDBP, RAN, TNRC6B, METAP2	575	1483	18976	2.31434987833123	5.72E-13	2.76E-13	2.74E-13
GOTERM_CC_DIRECT	GO:0005829	cytosol	240	38.5232744783307	6.47E-15	ITSN2, IPO11, ITSN1, CCP110, DCAF8, PHAX, PPP2R2A, IFI35, SMC4, RPS15, NFU1, RABGEF1, RNF114, KAT5, RPS18, PSMD2, FTH1, GPBP1, SPATA24, RPS11, CEP97, WSB1, CSNK2A1, MAP1S, ARMC8, ATG13, RUFY1, MYL5, MYL6, ARHGAP19-SLIT1, ACOT2, VPS28, RABL6, STXBP3, MAGED1, MAPKAP1, RPN1, STXBP2, BRCC3, UBE2J2, OAZ1, OAZ3, DHX30, SNX2, AFMID, MCMBP, ZNF146, PPARGC1B, BTF3, BBS1, MICAL3, TRIP4, BRAF, INO80, PUM1, GPN1, RPS26, RPS28, HNRNPF, PPT1, HNRNPC, ITPA, WDR48, GDI1, HCCS, ECSIT, SMG7, WDR45, KIF15, SMG6, BABAM1, BBS4, MIOS, SPHK2, PRMT1, CACYBP, SREBF2, SRP9, DUS2, ARHGEF9, PSMA4, SDHAF2, G2E3, EXOC4, EXOC6, NIP7, URM1, CIPC, SPESP1, GNAI2, PSMB6, RPS15A, EXOSC10, SRP72, SNX27, CUX1, HSF1, RPS3, USP1, EPS15, PAK4, GCA, YTHDF3, KIDINS220, NR1H3, ELP3, RAB11A, HIPK3, ARCN1, AGBL5, MKLN1, ETAA1, PSMC3, SNX17, PSMC1, CAPZA1, ABI1, CAPZA2, NBR1, UBAP1, CTNNB1, NCAPD2, CENPO, PKN1, NUCB2, SPC24, UBXN2B, NUP188, CRTC1, DGKA, JADE1, ARID4A, UBE3A, CASC3, COMT, NR3C1, CDC14A, CNDP2, EEF1B2, ABHD10, RGS3, IPO9, PAPOLG, CWC22, PHLDA1, MAP2K4, TRAPPC2L, IST1, SWAP70, FTSJ1, RNF40, ATXN2L, EEF1A1, PPIE, UBE2V1, ISCU, COX19, PSMD11, CUL5, PSMD13, DIABLO, ARHGAP15, KLC1, HMBOX1, KLC2, IRAK1, HNRNPDL, TBC1D14, NDUFV2, MAP2K7, ZC3H15, EIF2B5, BRPF3, TRAPPC4, DENND4C, ASPSCR1, CNOT4, NSFL1C, COPS6, EIF2S3, CNOT2, CAPRIN1, CNOT3, TUBGCP5, PIN1, TAB2, UBA1, TAB1, UBE2K, RNF13, SENP6, DUSP12, RBM4, RPL7A, PPP6R2, PPP6R3, ACP1, EIF5A, USP47, RUBCN, PPP2R5B, PLPBP, RPL13A, RAD23A, TSN, RABEP2, POLR1C, MCM5, USP40, DTL, RAB1A, VAC14, NFAT5, USP15, USP10, USP11, GOSR1, DNAJB2, GNA13, SRR, HECTD2, SAP18, EIF4B, SH2B1, PTCD3, FKRP, USP21, ADRM1, FBXL18, NECAP1, APC, DNAJA3, POLR3E, BAX, ACIN1, ATXN10, ABCE1, RAN, TNRC6B, METAP2	568	5629	20660	1.55082207581964	3.52E-12	1.18E-12	1.14E-12
GOTERM_CC_DIRECT	GO:0005739	mitochondrion	87	13.9646869983949	1.52E-11	ISCA2, SLC25A3, COX7B, MRPS14, MRPS11, DCAF8, HCCS, MRPL37, COX6A1, NR3C1, ECSIT, MICOS10, CLYBL, MRPL32, FARS2, NFU1, ABHD10, HINT2, MRPL1, AUH, PCF11, DLAT, METTL17, BCKDHA, SPHK2, MRPL49, DARS2, SDHC, SDHD, ATG13, CA5BP1, NIPSNAP2, ILF3, SDHAF2, TMEM126A, DNLZ, ACOT2, NDUFS3, TMEM126B, UQCRC2, LETMD1, ISCU, ATG4D, COX19, USP15, DIABLO, DMAC2, NDUFB4, GTPBP10, AFG1L, SPG7, MIEF1, MFF, HSD17B10, MRPL11, PSMB6, BCL2L13, DHX30, KLC2, ATP5F1B, CYC1, NDUFV2, PPARGC1B, PTCD3, UQCC2, UQCC1, BRAF, COQ9, EXOG, OXR1, ACADSB, GPN1, TRIT1, COQ6, COQ4, NDUFAF8, PNKD, DNAJA3, NBR1, BAX, CCM2, UBA1, COQ8A, SLIRP, TARDBP, ABCE1, NIT1	568	1467	20660	2.15710417926784	0.00000000832	0.00000000208	0.000000002
GOTERM_CC_DIRECT	GO:0005743	mitochondrial inner membrane	42	6.74157303370787	3.39E-10	SLC25A3, COX7B, MRPS14, MRPS11, NDUFB4, MRPS12, HCCS, SPG7, UQCR10, MRPL37, ECSIT, MICOS10, COX6A1, MRPL32, RCC1L, MRPL11, MRPL1, ATP5F1B, RPS3, CYC1, ATP5MF-PTCD1, NDUFV2, PTCD3, UQCC2, SPHK2, UQCC1, MRPL49, NDUFC1, SDHC, EXOG, SDHD, COQ9, COQ6, COQ4, NDUFS7, TMEM126A, SPNS1, NDUFS3, NDUFAF3, UQCRC2, TMEM126B, LETMD1	568	494	20660	3.09246165250613	0.000000186	0.0000000371	0.0000000358
GOTERM_CC_DIRECT	GO:0005737	cytoplasm	220	35.3130016051364	0.000000023	ITSN2, IPO11, ITSN1, IPP, DCAF8, IFI35, RPS15, NFU1, KAT5, PPP2R1B, PPP4R2, RPS18, FTH1, SPATA24, EPC1, UBAP2L, RPS11, EIF2A, ABHD14A-ACY1, WSB1, TYW3, ARMC8, ATG13, RUFY1, MYL5, EWSR1, ARHGAP19-SLIT1, ACOT2, TARS2, VPS28, RABL6, ZNF274, NECAB3, MAGED1, TERC, MAPKAP1, GSKIP, BRCC3, OAZ1, OAZ3, DHX30, PRPSAP2, SNX2, AFMID, MIER1, RREB1, BTF3, ZNF383, TRIP4, PUM1, GPN1, RPS26, HNRNPM, RPS28, ITPA, WDR48, GDI1, MRPS11, ECSIT, SMG7, KIF15, SMG6, FARS2, BABAM1, HINT2, PCF11, EFCAB2, CNTD1, MIOS, SPHK2, PRMT1, TCF12, RHOH, CACYBP, CA5BP1, SREBF2, DUS2, ARHGEF9, PSMA4, MTF2, EXOC4, MAPRE2, SP100, GNAI2, PSMB6, SCAF8, RPS15A, EXOSC10, SRP72, PPP1R7, HSF1, EMC2, RPS3, EPS15, AAMDC, PAK4, GCA, MTX1, YTHDF3, NR1H3, XPO7, ELP3, ELP4, HIPK3, AGBL5, MKLN1, PSMC3, SNX17, PSMC1, SGSM2, UBAP1, CTNNB1, NCAPD2, PKN1, RIF1, CRTC1, JADE1, CASC3, NR3C1, CDC14A, EEF1B2, PTAR1, MAEA, RGS3, IPO9, NUSAP1, PHLDA1, MAP3K4, HMGN1, GTF2I, PIAS3, TRAPPC2L, SWAP70, KCTD2, FTSJ1, EEF1A1, ILF3, MAP7D3, PSPC1, DMWD, UBE2V2, PPIE, UBE2V1, ISCU, NDRG3, ARHGAP15, KLC1, HMBOX1, KLC2, IRAK1, HNRNPDL, E4F1, TSNAXIP1, MAP2K7, TBC1D15, EIF2B5, ARHGEF37, TRAPPC4, ASPSCR1, NSFL1C, COPS6, EIF2S3, NASP, SP1, CNOT2, CAPRIN1, CNOT3, PIN1, TAB2, UBA1, NIT1, SAE1, UBE2K, ZCCHC2, RNF13, CELF1, SENP6, DUSP12, RBM4, RPL7A, PPP6R3, ACP1, PHACTR4, EIF5A, USP47, RBM14, RBM19, PPP2R5B, DARS2, PLPBP, RPL13A, RAD23A, TSN, PJA2, DDX19B, RER1, ATG4D, USP15, USP10, USP11, AFG1L, RNF6, HSD17B10, RNF2, DNAJB2, GNA13, SRR, MKNK2, BNIP1, RAB28, USP21, ADRM1, APC, DNAJA3, BAX, CCM2, ATXN10, ABCE1, RAN, METAP2	568	5796	20660	1.3806267557033	0.0000126	0.00000209	0.00000202
GOTERM_CC_DIRECT	GO:0000502	proteasome complex	11	1.76565008025682	0.00000357	PSMB6, PSMA4, PSMD11, PSMC3, UBE3C, PSMD13, PSMC1, PSMD2, ADRM1, UBE3A, RAD23A	568	58	20660	6.89837299660029	0.00195217348472654	0.000279	0.000269
GOTERM_CC_DIRECT	GO:0016604	nuclear body	27	4.3338683788122	0.00000756	SP100, USP15, C11ORF54, RIF1, CRTC1, PPWD1, RNF2, CDC14A, BABAM1, HMBOX1, SNAPC3, PAPOLG, MKNK2, SAP18, EPC1, E4F1, POLK, RREB1, RAB8B, UQCC2, TRIP4, INO80, HIPK3, SLTM, NBR1, NDUFS3, CENPO	568	359	20660	2.73559182392405	0.00412607208038418	0.000517	0.000498
