Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654	nucleoplasm	171	34.6153846153846	4.51E-21	VEZT, RPL5, NARF, RPP30, ZMYND8, WIPF2, UBE2D3, ARID4A, HIKESHI, GCC2, CASC3, JADE2, LIPA, IPO5, DCAF6, CCAR1, RPS6KA4, TIAL1, RPS14, GJA1, RPS18, SALL4, SPATA24, KPNA5, SOX6, RPS11, BTRC, AP5S1, SCAPER, SKP1, IK, ZBTB38, UBE2E3, UBE2E1, HSD11B1L, DYRK1B, RPSA, IMP4, KNL1, GTF2F2, SRRM1, SUB1, HAT1, SIK3, GEMIN6, SREK1, STAMBP, UBA52, BLZF1, PRR14, DAP3, RNASEH2B, L3MBTL3, INO80E, L3MBTL2, MAX, NOLC1, ARHGAP17, IRAK1, RACGAP1, DHX35, UBC, MCMBP, ANKRD10, KHDC4, RPRD1B, MARK2, KLHDC2, SMAD1, XRCC6, CBX4, ZBTB14, CBX3, BCL11A, INO80, ESR2, CLK2, TADA2B, COPS4, GON4L, STAG2, CREBRF, HOXD3, RAD9B, DZIP1, NFE2L1, KDM5B, ZNF131, RBM25, DDX3X, HSP90AB1, NUMA1, CHD9, PHF23, INTS10, C1ORF174, BRCA1, CTCF, ECSIT, BMI1, PIK3C2A, RBM3, PCM1, SIX5, ZIC1, SUMO2, PPP6R3, SPIN1, MAN2C1, NELFCD, GABPA, BRD2, GGPS1, SPHK2, PARP2, NCOA3, USP44, COMMD10, TCF12, PPP2R5C, COMMD1, ARAP1, SAFB, ETV4, SUPT3H, MED25, ZEB1, PSMA4, ELF2, NFX1, LANCL2, DNLZ, TKT, PTMA, MGLL, STK40, YAP1, KDM3A, C11ORF54, SF3B3, CXXC1, MRPL58, NSD3, PTPA, SCAF8, MAPK7, TCOF1, RBBP4, IFI16, TRA2B, DNAJB4, MVB12A, MAPK1, APBB1, HNRNPA1, MTA3, CENPT, ZNF462, NQO2, NFYC, GTF2H1, LRWD1, RPRD2, ELP4, USP28, USF2, ABI2, KANSL2, POLR3E, SPC24, TRIM33	438	4077	20660	1.97838862177064	2.16E-18	2.16E-18	2.14E-18
GOTERM_CC_DIRECT	GO:0005634	nucleus	213	43.1174089068826	1.73E-17	RPL5, ZMYND8, DCAF6, CCAR1, RPS6KA4, TIAL1, GJA1, RPS18, FTH1, SPATA24, EPC2, CCNL1, BTRC, SOX6, SKP1, KNL1, SRRM1, ZNF717, SUB1, VDAC2, UBA52, BLZF1, ZNF277, ZNF274, L3MBTL3, L3MBTL2, MRPL19, BAZ2A, BAZ2B, HNRNPLL, RACGAP1, MCMBP, ZNF821, ZNF267, ZSCAN18, XRCC6, BCL11A, PBX3, INO80, MEX3C, TADA2B, PKIB, ZNF559-ZNF177, STAG2, ZNF814, CREBRF, HOXD3, DZIP1, SLC2A4RG, RNF220, CEP57, ZNF131, PHF23, INTS10, BRCA1, CTCF, ECSIT, BMI1, MED18, TRIM8, MED11, SCML1, ZMYM5, SPIN1, NELFCD, GABPA, BRD2, SPHK2, PARP2, NCOA3, ANXA4, TCF12, COMMD1, SUPT3H, MED25, PSMA4, ZEB1, NFX1, SCAND2P, UMPS, PTMA, YAP1, C11ORF54, SF3B3, ZNF518A, NSD3, PTPA, SCAF8, CHRAC1, TCEAL4, RPL13, FAM47E, APBB1, ZNF225, ZNF586, ZNF585A, CENPT, ZNF462, NFYC, MOK, ELP4, ABI2, SPC24, UBXN2A, RPP30, UBE2D3, ARID4A, UBE3A, CRAMP1, HIKESHI, CASC3, IPO5, SLC39A9, SALL4, KNTC1, KPNA5, HMGN2, IK, ZBTB38, UBE2E3, UBE2E1, DYRK1B, RPSA, GTF2F2, RPP25L, HAT1, MATR3, CHMP4A, GEMIN6, STAMBP, RNASEH2B, MAX, DNAJC27, TOR1AIP1, BAG4, ZMAT1, IRAK1, UBC, ZNF668, RPRD1B, KHDC4, KLHDC2, SMAD1, CBX4, ZBTB14, CBX3, FBXO38, ZFHX4, ESR2, CLK2, CLK1, COPS4, DIAPH1, GON4L, CNOT8, RAD9B, NFE2L1, NFKBIB, KDM5B, DDX3X, HSP90AB1, NUMA1, MCM9, C1ORF174, SOBP, RBM3, FUNDC2, SIX4, SIX5, PPP6R2, ZIC1, SUMO2, PPP6R3, ZNF768, ZNF644, ACTR3, USP44, PPP2R5C, SAFB, ETV4, ZFP90, METTL23, ELF2, LANCL2, RBMS1, GAPDH, KDM3A, ZNF197, CXXC1, PARN, CAND2, MAPK7, RBBP4, IFI16, TRA2B, MVB12A, MAPK1, PCBD2, HNRNPA1, MTA3, SWT1, ZNF181, PDE4DIP, LRWD1, USP28, USF2, TBX4, FBXL12, MEIS1, POLR3E, ZNF614, SUGT1, TRIM33	438	6106	20660	1.64542848040777	8.32E-15	4.16E-15	4.12E-15
GOTERM_MF_DIRECT	GO:0005515	protein binding	348	70.4453441295547	2.81E-12	EIF4A1, RPL5, ZMYND8, WIPF2, CCP110, GCC2, C14ORF93, DCAF6, CCAR1, RPS6KA4, TIAL1, RPS14, GJA1, RPL18A, RPS18, FTH1, SPATA24, RPS11, CCNL1, BTRC, SOX6, SCAPER, SKP1, BROX, IMP4, KNL1, MFSD11, SRRM1, THAP3, KATNAL2, SUB1, MAP1A, SIK3, TRIM13, VDAC2, UBA52, PRR14, BLZF1, CCDC83, ZNF274, L3MBTL3, MTMR3, L3MBTL2, RPN2, RPN1, MRPL19, NOLC1, PDGFA, MGST2, BAZ2A, TAPBPL, BAZ2B, HNRNPLL, MED12L, GIGYF2, PCNX4, RACGAP1, MCMBP, ZNF821, ATP6V0A1, ST3GAL3, ZSCAN18, XRCC6, CGN, INO80, MEX3C, EXT1, TADA2B, GNPTG, ZNF559-ZNF177, EIF5, STAG2, PRXL2B, CCDC88C, CREBRF, TRMT12, HOXD3, DZIP1, TECPR2, ITM2B, RNF220, PIGS, CEP57, SPEF1, PHF23, DIS3L, INTS10, SNX12, BRCA1, CTCF, ECSIT, BMI1, ZCCHC17, ARHGAP5, MED18, HERPUD1, TRIM8, THTPA, MED11, ARV1, PCM1, PPP3CC, SEC61G, ZMYM5, KIF13A, SPIN1, KIF1B, NELFCD, TIMP1, UBXN4, GABPA, BRD2, ATP6V0B, NSUN4, SPHK2, PARP2, NCOA3, ANXA4, TCF12, NME3, COMMD1, MRPL48, HADHB, MED25, PSMA4, ZEB1, NFX1, KCNMA1, RAPGEF2, TKT, PTMA, LYPLAL1, MGLL, STK40, YAP1, LRRC14, WDR25, C11ORF54, SF3B3, MIEF1, FAM117B, NSD3, PTPA, SCAF8, SAMM50, CHRAC1, TCEAL4, TCOF1, RPL13, FAM47E, NCDN, APBB1, ZNF225, RABAC1, METTL9, MAP4K3, CENPT, ZNF462, NQO2, RIOK3, F12, NFYC, TTC1, GTF2H1, ELP4, PEX13, BLCAP, MORN4, GSTA4, ABI2, SLMAP, CAPZA1, YIPF6, KBTBD8, SPC24, VKORC1L1, UBXN2A, RPP30, UBE2D3, RNF19B, UBE3A, PLAT, HIKESHI, MSI2, CASC3, JADE2, LCLAT1, IPO5, DEPTOR, SLC39A9, SALL4, CEP250, KNTC1, KPNA5, HMGN2, AP5S1, IK, CEP135, ZBTB38, UBE2E3, UBE2E1, PIPOX, DYRK1B, RPSA, GTF2F2, RPP25L, ALDH3A2, DPM3, HAT1, MATR3, CHMP4A, GEMIN6, SREK1, STAMBP, DAP3, FAIM, INO80E, MAX, INSIG2, ABHD1, ARHGAP17, DNAJC27, TOR1AIP1, ATP5MC1, KLC4, GRK3, BAG4, EBP, IRAK1, UBC, ANKRD10, RPRD1B, KHDC4, GAS2L1, MARK2, KLHDC2, SYT4, SMAD1, SLC14A2, CBX4, ZBTB14, CBX3, BICRAL, FBXO38, ESR2, CLK2, CLK1, COPS4, DIAPH1, CNOT8, RAD9B, LSM14A, NFE2L1, COX20, BCL2L1, NFKBIB, PLEKHF2, KDM5B, DOCK5, LRGUK, RBM25, DDX3X, HSP90AB1, NUMA1, CNRIP1, PRR3, MCM9, C1ORF174, MAIP1, GPHN, RBM3, FUNDC2, SIX5, PPP6R2, ZIC1, SUMO2, PPP6R3, ZNF768, PGM2, FIRRE, YWHAH, ACTR3, GGPS1, DESI2, USP44, COMMD10, ARAP1, PPP2R5C, SAFB, ETV4, ZFP90, METTL23, GIGYF1, ELF2, RABEP2, RASA1, LANCL2, RBMS1, TRIM59, GAPDH, CUEDC1, PFDN6, LUC7L2, KDM3A, RALA, CXXC1, PARN, MOSPD3, MFF, CAND2, KIAA1328, MAPK7, MAT2A, VPS51, RBBP4, IFI16, TRA2B, DNAJB4, MVB12A, EIF4H, MAPK1, PCBD2, HNRNPA1, PDLIM5, MTA3, SEC23B, CNNM3, RPH3AL, ZNF185, TRIM41, PTCD2, PDE4DIP, LRWD1, USP28, TTC19, USF2, FBXL12, MEIS1, NEURL4, KANSL2, OCIAD1, ZNF614, SUGT1, ATXN10, CKLF, METAP1, TRIM33, MYO1F	426	12657	18976	1.22473896869405	0.00000000163	0.00000000163	0.00000000161
GOTERM_CC_DIRECT	GO:0005829	cytosol	177	35.82995951417	0.00000000178	VEZT, EIF4A1, RPL5, UBXN2A, WIPF2, UBE2D3, CCP110, ARID4A, RNF19B, HIKESHI, UBE3A, GCC2, CASC3, MSI2, GBA2, LCLAT1, LIPA, IPO5, DCAF6, RPS6KA4, TIAL1, RPS14, GJA1, RPL18A, RPS18, FTH1, SPATA24, CEP250, KNTC1, EIF2D, KPNA5, RPS11, BTRC, AP5S1, SCAPER, SKP1, CEP135, UBE2E3, UBE2E1, PIPOX, RPSA, FNDC3A, WDR73, KNL1, SRRM1, ALDH3A2, MAP1A, VDAC2, CHMP4A, GEMIN6, STAMBP, UBA52, MTMR3, RPN1, ARHGAP17, BAZ2A, GIGYF2, BAG4, GRK3, IRAK1, RACGAP1, UBC, MCMBP, RCE1, ATP6V0A1, CEP78, SMAD1, XRCC6, ZBTB14, BCL11A, FBXO38, DENND4C, INO80, COPS4, DIAPH1, EIF5, STAG2, PRXL2B, DZIP1, CNOT8, LSM14A, NFE2L1, BCL2L1, NFKBIB, CEP57, KDM5B, DOCK5, LRGUK, DDX3X, HSP90AB1, NUMA1, CHD9, DIS3L, ECSIT, BMI1, ARHGAP5, PIK3C2A, GPHN, THTPA, TRIM8, PCM1, PPP3CC, SIX5, SEC61G, PPP6R2, PPP6R3, SPIN1, PGM2, MAN2C1, UBXN4, YWHAH, ACTR3, GGPS1, SPHK2, NCOA3, PLPBP, NME3, PPP2R5C, COMMD1, ARAP1, GIGYF1, ZEB1, PSMA4, ELF2, RABEP2, NFX1, RASA1, LANCL2, RBMS1, RAPGEF2, TKT, UMPS, GAPDH, PTMA, LYPLAL1, MGLL, STK40, YAP1, LRRC14, CXXC1, PARN, CAND2, MAPK7, TCOF1, RBBP4, MAT2A, IFI16, HECTD2, VPS51, DNAJB4, EIF4H, MVB12A, MAPK1, RPL13, NCDN, HNRNPA1, PDLIM5, SEC23B, CENPT, NQO2, RIOK3, TTC1, USP28, PEX13, FBXL12, GSTA4, ABI2, KANSL2, CAPZA1, POLR3E, PNPLA6, SUGT1, ATXN10, KBTBD8, SPC24, METAP1, MYO1F	438	5629	20660	1.48319490310695	0.000000854	0.000000285	0.000000282
GOTERM_MF_DIRECT	GO:0003723	RNA binding	71	14.3724696356275	0.00000000186	EIF4A1, RPL5, RBM25, DDX3X, HSP90AB1, RPP30, PRR3, DIS3L, CASC3, BRCA1, MSI2, C14ORF93, ZCCHC17, IPO5, CCAR1, TIAL1, RBM3, RPS14, RPL18A, RPS18, SUMO2, ZNF768, EIF2D, NELFCD, RPS11, HMGN2, NSUN4, ALG13, RPSA, FNDC3A, SAFB, RPP25L, SRRM1, HADHB, NFX1, SUB1, RBMS1, MATR3, GEMIN6, SREK1, LUC7L2, DAP3, RPN1, PARN, NOLC1, BAZ2A, NTPCR, HNRNPLL, GIGYF2, SCAF8, BAG4, TCOF1, IFI16, TRA2B, DHX35, UBC, EIF4H, RPL13, KHDC4, HNRNPA1, MARK2, XRCC6, PTCD2, MRPL24, MEX3C, DIAPH1, EIF5, KYAT3, R3HDM1, CNOT8, LSM14A	426	1483	18976	2.13261407057766	0.00000107	0.000000536	0.000000531
GOTERM_BP_DIRECT	GO:0045893	positive regulation of transcription, DNA-templated	38	7.69230769230769	0.00000184	YAP1, KDM3A, INO80E, SF3B3, MAX, CXXC1, NOLC1, BRCA1, CTCF, CCAR1, TRIM8, CAND2, NSD3, SIX4, RBBP4, ZIC1, SPIN1, EPC2, APBB1, PCBD2, BTRC, MTA3, YWHAH, XRCC6, BICRAL, DYRK1B, GTF2H1, INO80, ETV4, TBX4, SUPT3H, ZFP90, ESR2, TADA2B, ELF2, KANSL2, TRIM13, NFKBIB	425	730	19462	2.38374214343272	0.00354139304886636	0.0035476753529287	0.00353845102803809
GOTERM_BP_DIRECT	GO:0006357	regulation of transcription from RNA polymerase II promoter	66	13.3603238866397	0.0000109	ZNF131, ARID4A, BRCA1, CTCF, JADE2, MED18, TIAL1, MED11, SIX4, SIX5, SALL4, ZIC1, ZNF768, EPC2, ZNF644, SOX6, CCNL1, GABPA, BRD2, ANXA4, TCF12, SAFB, ETV4, SUPT3H, ZFP90, ZEB1, ELF2, ZNF717, SUB1, SCAND2P, KDM3A, ZNF274, ZNF197, MAX, ZNF518A, BAZ2B, MED12L, ZNF668, MAPK1, ZNF821, ZNF225, ZNF586, ZNF267, ZNF585A, ZSCAN18, SMAD1, ZBTB14, BICRAL, BCL11A, NFYC, ZNF181, PBX3, ELP4, TBX4, ZFHX4, USF2, ESR2, TADA2B, ZNF559-ZNF177, MEIS1, ZNF814, CREBRF, ZNF614, HOXD3, SLC2A4RG, NFE2L1	425	1736	19462	1.74097587422066	0.0207709801686937	0.0104852147266517	0.0104579520778564
GOTERM_BP_DIRECT	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	51	10.3238866396761	0.0000164	ZNF131, DDX3X, ARID4A, UBE3A, BRCA1, DCAF6, RPS6KA4, SIX4, SIX5, SALL4, ZIC1, GABPA, ACTR3, NCOA3, ZBTB38, TCF12, UBE2E1, GTF2F2, ETV4, METTL23, THAP3, MED25, ZEB1, ZNF717, PTMA, YAP1, KDM3A, ZNF197, MAX, MED12L, MAPK7, IFI16, ZNF668, RPRD1B, APBB1, ZNF225, ZNF267, ZNF585A, ZNF462, SMAD1, XRCC6, BCL11A, NFYC, PBX3, INO80, USF2, ESR2, MEIS1, ZNF814, CREBRF, HOXD3	425	1232	19462	1.89564935064935	0.0309663115097661	0.0104852147266517	0.0104579520778564
GOTERM_BP_DIRECT	GO:0006325	chromatin organization	21	4.25101214574899	0.0000299	ZNF462, KDM5B, BRD2, L3MBTL3, KDM3A, L3MBTL2, CBX4, CBX3, CHD9, ZMYND8, ZNF518A, LRWD1, SAFB, NSD3, KANSL2, HAT1, SPIN1, EPC2, APBB1, HMGN2, FIRRE	425	323	19462	2.97725004552905	0.0559025552020492	0.0143812580793259	0.014343865312609
GOTERM_BP_DIRECT	GO:0006338	chromatin remodeling	21	4.25101214574899	0.000052	KDM5B, BRD2, KDM3A, ZNF274, INO80E, CBX3, CHD9, BICRAL, NCOA3, BAZ2A, BAZ2B, JADE2, INO80, BMI1, NSD3, TADA2B, RPS6KA4, CHRAC1, RBBP4, MTA3, SKP1	425	336	19462	2.86205882352941	0.0951617229764745	0.019999290132567	0.0199472898982129
