Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006355	regulation of transcription, DNA-templated	16	12.1212121212121	4.76E-04	ATF7IP, UTP4, CXXC1, NR3C1, THAP1, NSD3, SP3, ZNF615, ZNF614, ZNF317, ZNF217, ZNF613, ZNF226, ATF5, ZNF300, ZNF585A	108	1024	19462	2.81568287037037	0.253255005413548	0.291962087630348	0.291962087630348
GOTERM_BP_DIRECT	GO:0070936	protein K48-linked ubiquitination	4	3.03030303030303	0.00527819182246903	FBXO38, UBE2E3, UBE2D3, BTRC	108	64	19462	11.2627314814815	0.961202241399479	1	1
GOTERM_BP_DIRECT	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	4	3.03030303030303	0.00789382812578278	AMN1, PSMB5, FBXO38, BTRC	108	74	19462	9.74074074074074	0.992296200927566	1	1
GOTERM_BP_DIRECT	GO:0070979	protein K11-linked ubiquitination	3	2.27272727272727	0.0125507378458188	ANAPC13, UBE2E3, UBE2D3	108	31	19462	17.4390681003584	0.999571371707243	1	1
GOTERM_BP_DIRECT	GO:0048026	positive regulation of mRNA splicing, via spliceosome	3	2.27272727272727	0.0133398817182996	HSPA8, TRA2B, RBMX	108	32	19462	16.8940972222222	0.99973764435204	1	1
GOTERM_BP_DIRECT	GO:0006357	regulation of transcription from RNA polymerase II promoter	18	13.6363636363636	0.0136497762344239	MAX, IRF2BP2, NR3C1, MED18, THAP1, ZSCAN31, SP3, SCAND2P, ZNF615, ZNF614, ZNF317, ZNF613, BBX, ZNF226, ATF5, ZNF300, GABPA, ZNF585A	108	1736	19462	1.86847158218126	0.999783666126074	1	1
GOTERM_BP_DIRECT	GO:0032446	protein modification by small protein conjugation	3	2.27272727272727	0.015832636942675	UBE2E3, UBE2D3, ATG10	108	35	19462	15.4460317460317	0.999944493895853	1	1
GOTERM_BP_DIRECT	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	5	3.78787878787879	0.0356917506404442	PSMB5, UBE2D3, RAD23A, BTRC, AURKA	108	225	19462	4.00452674897119	0.999999999796506	1	1
GOTERM_BP_DIRECT	GO:0050821	protein stabilization	5	3.78787878787879	0.0376938622880605	ATF7IP, RASSF1, CDC37L1, DSG1, PFDN6	108	229	19462	3.93457868348698	0.999999999943201	1	1
GOTERM_BP_DIRECT	GO:0046605	regulation of centrosome cycle	2	1.51515151515152	0.0378620150366865	ATF5, AURKA	108	7	19462	51.4867724867725	0.99999999994898	1	1
GOTERM_BP_DIRECT	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	11	8.33333333333333	0.0526034112833577	ATF7IP, MAX, UBE2D3, SP3, ZNF614, ZNF217, IRF2BP2, NR3C1, N4BP2L2, GABPA, THAP1	108	1015	19462	1.95294654260172	0.999999999999996	1	1
GOTERM_BP_DIRECT	GO:0051988	regulation of attachment of spindle microtubules to kinetochore	2	1.51515151515152	0.0588561810309303	RACGAP1, ZWILCH	108	11	19462	32.7643097643098	1	1	1
GOTERM_BP_DIRECT	GO:0051301	cell division	6	4.54545454545455	0.0635741250208081	ANAPC13, ZWILCH, KATNB1, NR3C1, RAN, AURKA	108	389	19462	2.77949157383605	1	1	1
GOTERM_BP_DIRECT	GO:0006457	protein folding	4	3.03030303030303	0.0831099097957487	HSPA8, CDC37L1, TTC1, PFDN6	108	186	19462	3.87534846674632	1	1	1
GOTERM_BP_DIRECT	GO:0071383	cellular response to steroid hormone stimulus	2	1.51515151515152	0.0894993935478892	HSPA8, NR3C1	108	17	19462	21.2004357298475	1	1	1
GOTERM_BP_DIRECT	GO:0031647	regulation of protein stability	3	2.27272727272727	0.0962631477884888	ATF7IP, HSPA8, AURKA	108	95	19462	5.6906432748538	1	1	1
GOTERM_BP_DIRECT	GO:0000398	mRNA splicing, via spliceosome	4	3.03030303030303	0.0980529663930621	HSPA8, HNRNPM, TRA2B, RBMX	108	200	19462	3.60407407407407	1	1	1
GOTERM_CC_DIRECT	GO:0005654	nucleoplasm	46	34.8484848484849	2.70E-07	MAX, HFE, WIPF2, GORAB, UBE2D3, CXXC1, C1ORF174, NR3C1, PIK3C2A, AURKA, DCAF6, DOCK10, NSD3, PSMB5, RACGAP1, TRA2B, BBX, KHDC4, NRBF2, BTRC, ZNF300, GABPA, ATF7IP, GIT2, RBM39, HSPA8, UTP4, SPHK2, UBE2E3, IRF2BP2, DARS2, RAD23A, ESCO2, MSL1, THAP1, HNRNPM, EIF3L, SP3, ZNF217, SREK1, STAMBP, ATF5, RBMX, RAN, MGLL, PRR14	111	4077	20660	2.10002496978214	5.91E-05	5.91E-05	5.91E-05
