Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	23	4.12926391382406	0.000000084	KLHDC2, PSMD11, UBXN2B, USP44, KCTD2, RAD23A, PPP2R5C, RBX1, PSMB6, NSFL1C, PSMC5, PSMB4, PSMC6, MAEA, PSMB5, APC, PSMC3, UBXN11, KAT5, CTNNB1, PSMF1, BTRC, UBE2K	499	225	19462	3.98687152081942	0.00016	0.00016	0.000158
GOTERM_BP_DIRECT	GO:0032981	mitochondrial respiratory chain complex I assembly	12	2.15439856373429	0.000000709	NDUFA9, OXA1L, LYRM2, NDUFAF8, NDUFS7, NDUFB5, DMAC2, NDUFA3, NDUFS4, NDUFS3, TMEM126A, NDUFC1	499	65	19462	7.20036997071065	0.00134739356503988	0.000674	0.000668
GOTERM_BP_DIRECT	GO:0009060	aerobic respiration	11	1.97486535008977	0.00000845	NDUFA9, OXA1L, NDUFS7, NDUFB5, NDUFA3, NDUFS4, NDUFS3, SDHC, NDUFC1, UQCRC2, NDUFV2	499	68	19462	6.30914770717906	0.0159491593876885	0.00535921600761817	0.00530849787505396
GOTERM_BP_DIRECT	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	9	1.61579892280072	0.0000193	NDUFA9, NDUFS7, NDUFB5, NDUFA3, NDUFS4, NDUFS3, NDUFC1, COQ9, NDUFV2	499	46	19462	7.63082687113357	0.0360006925554612	0.00804532881181101	0.00796919005333962
GOTERM_BP_DIRECT	GO:0006886	intracellular protein transport	24	4.30879712746858	0.0000211	ARF3, RAB1A, STXBP3, CSE1L, STXBP2, AP3D1, ASPSCR1, XPO7, COPZ1, ARCN1, GANAB, SNX2, SNX27, SNX17, KIF13A, GRPEL2, RUNDC1, TLK1, TBC1D14, EXOC6, RAB28, AP3S1, TBC1D22B, TBC1D15	499	337	19462	2.77759078988838	0.0394287020142475	0.00804532881181101	0.00796919005333962
GOTERM_BP_DIRECT	GO:0032543	mitochondrial translation	12	2.15439856373429	0.0000342	MRPL52, PTCD3, MRPL1, MRPS11, MRPS12, MRPL19, MRPL37, QRSL1, MRPL35, MRPL32, DAP3, MRPL11	499	96	19462	4.875250501002	0.0630508940239944	0.0108541998608384	0.0107514787265087
GOTERM_BP_DIRECT	GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	9	1.61579892280072	0.0000486	MED25, CCNK, MED24, MED21, PWWP2A, CTNNB1, MED6, MED29, MED18	499	52	19462	6.75034684754124	0.0883013705092681	0.0132062210047325	0.013081240995224
GOTERM_BP_DIRECT	GO:0006412	translation	18	3.23159784560144	0.0000614	RPL41, MRPS11, MRPS12, MRPL19, RPL11, RPL35A, MRPL37, MRPL35, MRPL32, MRPL11, MRPL52, RPS28, RPS15A, MRPL1, RPS27, RPS3, RPL14, EIF4G1	499	222	19462	3.1623246492986	0.110159953928435	0.0145887468768714	0.0144506830263017
GOTERM_BP_DIRECT	GO:0045333	cellular respiration	8	1.43626570915619	0.0000855	LYRM7, NDUFS4, COX7A2, CYC1, UQCR10, UQCRC2, COX6A1, COX7C	499	42	19462	7.42895314438401	0.150063911008867	0.0180652413550084	0.0178942769257812
GOTERM_BP_DIRECT	GO:0006364	rRNA processing	13	2.33393177737881	0.000227	UTP11, DDX47, WDR18, RPP30, RPL11, WDR75, RPL35A, EMG1, RPS28, EXOSC10, RPS27, RPL14, BRIX1	499	138	19462	3.67410182684209	0.351082597803499	0.0421620770196665	0.0417630668270514
