Category	Term	term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045893	positive regulation of transcription, DNA-templated	50	6.37755102040816	3.45E-06	JADE1, CTCF, CCAR1, YY1, ING5, ING2, SIX4, ZIC1, SPIN1, YWHAH, MYOCD, PRMT2, PRKCB, ARID1A, ETV4, SUPT3H, ZFP90, ILF3, MED24, ELF2, KAT6B, THRAP3, TRIM13, ZNF711, UBE2V1, KDM3A, INO80E, SF3B3, CXXC1, NOLC1, PRDM11, CAND2, NSD3, MTA1, RBBP4, PCBD2, TP53BP1, E2F5, ATF7IP, XRCC6, RBPMS, INO80, KLF4, TBX5, TBX4, BAMBI, SP3, TCF4, TACC1, NFKBIB	655	730	19462	2.03513541775593	0.00911875547358076	0.00916057003242022	0.00915367979546466
GOTERM_BP_DIRECT	GO:0006325	chromatin organization	27	3.44387755102041	3.88E-05	L3MBTL1, HDAC5, KDM3A, L3MBTL3, L3MBTL2, CHD9, EHMT1, ZNF518A, NSD3, ING5, BABAM2, ING2, NSD2, SPIN1, HMG20B, HMGN2, FIRRE, BRD2, CBX4, PRKCB, PRMT1, DAPK3, LRWD1, SAFB, AEBP2, HAT1, MTF2	655	323	19462	2.4837473117009	0.0980171237444544	0.0463260940081924	0.0462912492590324
GOTERM_BP_DIRECT	GO:0002181	cytoplasmic translation	13	1.65816326530612	5.23E-05	RPL5, RPL3, RPS3A, RPSA, RPL8, FTSJ1, RPS14, RPS15A, RPL18A, RPS18, RPS11, UBA52, RPL19	655	91	19462	4.24471101417666	0.12975623258465	0.0463260940081924	0.0462912492590324
GOTERM_BP_DIRECT	GO:0006355	regulation of transcription, DNA-templated	59	7.52551020408163	7.16E-05	SPIN3, JADE1, CCAR1, ING5, ING2, ZFP30, MLX, SPIN1, LRRFIP2, SOX6, ZFPL1, ZIK1, ZNF684, BRD2, SFMBT2, DAPK3, SAFB, SUPT3H, ZFP90, ZNF90, SETBP1, NFX1, EWSR1, KAT6B, MTF2, ZNF711, UBE2V1, ZNF675, ZNF114, ZNF630, USP13, L3MBTL1, ZNF551, ZNF274, L3MBTL3, L3MBTL2, CXXC1, ZNF2, NSD3, MTA1, RBBP4, NSD2, ZNF225, ZNF268, ZNF267, ATF7IP, ZNF143, ZNF264, UTP4, NFYC, ZNF181, ZNF180, GTF2H3, DRAP1, ZNF559-ZNF177, MEIS1, SP3, ZNF614, SLC2A4RG	655	1024	19462	1.71197817270992	0.173315716228892	0.0475814014568079	0.0475456125125004
GOTERM_BP_DIRECT	GO:0006412	translation	20	2.55102040816327	1.90E-04	RPL5, RPL3, MRPS14, MRPL19, MRPL49, MRPS2, RPS3A, RPSA, RPL17-C18ORF32, RPL8, MRPL24, MRPS18C, RPS14, RPS15A, RPL18A, RPS18, RPS6KB2, RPS11, UBA52, RPL19	655	222	19462	2.67684478371501	0.3970980921748	0.101190525363597	0.101114413648393
GOTERM_BP_DIRECT	GO:0051973	positive regulation of telomerase activity	7	0.892857142857143	8.47E-04	HSP90AB1, DKC1, PTGES3, PARN, MAPK1, KLF4, MAPK15	655	34	19462	6.11737763807813	0.895028275814679	0.375518188439926	0.375235737752871
GOTERM_BP_DIRECT	GO:0006261	DNA-dependent DNA replication	7	0.892857142857143	0.00115932947651984	RPAIN, POLB, POLE4, CHRAC1, RFC2, PSMC2, CDK2AP1	655	36	19462	5.77752332485157	0.95424459572251	0.440379582580894	0.440048345587602
GOTERM_BP_DIRECT	GO:0051301	cell division	26	3.31632653061224	0.00158857374025664	BRSK2, RALA, ZWILCH, SSNA1, CLTC, CDC73, GNAI2, BABAM2, POGZ, KNTC1, LRIG3, CENPT, IST1, BOD1, KLHL21, CABLES1, KLHL22, INO80, MASTL, KNSTRN, KLHL42, STAG2, MCM5, TACC1, NRDE2, SPC24	655	389	19462	1.98595733825232	0.985409376964949	0.528002196917801	0.527605053482737
GOTERM_BP_DIRECT	GO:0051726	regulation of cell cycle	20	2.55102040816327	0.00186261127868954	L3MBTL1, CDK18, INO80E, HSP90AB1, MOK, JADE1, CABLES1, INO80, PUM1, MASTL, PRDM11, YY1, ING5, RHEB, MDM4, SRSF5, E2F5, CCNL1, ZNF268, DTL	655	268	19462	2.2173863506893	0.992968122840252	0.550298154448389	0.549884240830902
GOTERM_BP_DIRECT	GO:0061157	mRNA destabilization	5	0.637755102040816	0.00265431972598714	FTO, YTHDF2, YTHDF3, CELF1, PUM1	655	18	19462	8.25360474978796	0.99914739964431	0.604015469954932	0.603561152188888
GOTERM_BP_DIRECT	GO:0006914	autophagy	14	1.78571428571429	0.00265949508287215	USP13, SH3GLB1, UVRAG, GABARAPL2, TMEM150B, GRAMD1A, PHF23, CLTC, MAP1LC3B, VPS51, GPR137, CHMP4A, NRBF2, TBC1D17	655	158	19462	2.63279543917287	0.999159082979267	0.604015469954932	0.603561152188888
GOTERM_BP_DIRECT	GO:0006260	DNA replication	12	1.53061224489796	0.00272902501037308	POLB, ING5, RRM1, RMI2, ORC6, RBBP4, RFC2, LRIG3, MCM5, SSBP1, LRWD1, DTL	655	122	19462	2.92258791140033	0.999301375466575	0.604015469954932	0.603561152188888
GOTERM_BP_DIRECT	GO:0010800	positive regulation of peptidyl-threonine phosphorylation	6	0.76530612244898	0.00299435829676709	RPTOR, WNK3, TNKS1BP1, MAPK1, PRKAG2, CALM1	655	30	19462	5.94259541984733	0.99965568137691	0.604015469954932	0.603561152188888
GOTERM_BP_DIRECT	GO:0001111	promoter clearance from RNA polymerase II promoter	3	0.38265306122449	0.00330711275322602	SUB1, RPRD1B, RPRD1A	655	3	19462	29.7129770992366	0.999850495741959	0.604015469954932	0.603561152188888
