Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032981	mitochondrial respiratory chain complex I assembly	13	2.00308166409861	3.74E-07	NDUFA9, NDUFB5, DMAC2, NDUFA3, NDUFC1, OXA1L, LYRM2, NDUFAF8, NDUFS8, NDUFS7, NDUFS4, TMEM126A, NDUFS3	575	65	19462	6.76939130434783	8.44E-04	7.04E-04	6.98E-04
GOTERM_BP_DIRECT	GO:0009060	aerobic respiration	13	2.00308166409861	6.24E-07	NDUFA9, PANK2, NDUFB5, NDUFA3, NDUFC1, SDHC, OXA1L, NDUFS8, NDUFS7, NDUFS4, NDUFS3, UQCRC2, NDUFV2	575	68	19462	6.47074168797954	0.00140734973311829	7.04E-04	6.98E-04
GOTERM_BP_DIRECT	GO:0042776	mitochondrial ATP synthesis coupled proton transport	12	1.84899845916795	2.82E-06	NDUFA9, NDUFS8, ATP5F1B, NDUFS7, NDUFB5, NDUFA3, NDUFS4, NDUFS3, SDHC, NDUFC1, SDHD, NDUFV2	575	65	19462	6.24866889632107	0.00634651494774219	0.00157803178181077	0.00156475339214983
GOTERM_BP_DIRECT	GO:0045333	cellular respiration	10	1.54083204930663	2.96E-06	CHCHD5, COX7B, LYRM7, NDUFS4, COX7A2, CYC1, UQCR10, UQCRC2, COX6A1, COX7C	575	42	19462	8.05879917184265	0.0066725917320124	0.00157803178181077	0.00156475339214983
GOTERM_BP_DIRECT	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	22	3.38983050847458	3.49E-06	PSMD11, UBXN2B, PSMD13, KCTD2, RAD23A, ARMC8, RBX1, PSMB6, NSFL1C, ATXN3, PSMC5, PSMB4, PSMC6, MAEA, PSMB5, APC, PSMC3, UBXN11, KAT5, CTNNB1, PSMF1, UBE2K	575	225	19462	3.30948019323671	0.007859126987524	0.00157803178181077	0.00156475339214983
GOTERM_BP_DIRECT	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	10	1.54083204930663	6.60E-06	NDUFA9, NDUFS8, NDUFS7, NDUFB5, NDUFA3, NDUFS4, NDUFS3, NDUFC1, COQ9, NDUFV2	575	46	19462	7.35803402646503	0.0147821832638428	0.00248207990045537	0.00246119437427793
GOTERM_BP_DIRECT	GO:0006412	translation	21	3.23574730354391	1.01E-05	RPL41, MRPS14, MRPS11, MRPS12, RPL11, MRPL49, RPL35A, MRPL37, MRPL35, MRPL32, MRPL11, MRPL52, RPS28, RPS15A, MRPL1, RPS27, RPS6KB2, RPS3, RPL14, EIF4G1, RPL19	575	222	19462	3.20173913043478	0.022532763926409	0.00325577010757782	0.00322837434493656
GOTERM_BP_DIRECT	GO:0006886	intracellular protein transport	26	4.00616332819723	2.47E-05	NAPB, RAB1A, STXBP3, RAB1B, GANAB, SNX2, SNX27, TMED2, TLK1, TBC1D14, RAB28, AP3S1, TBC1D17, TBC1D22B, TBC1D15, RANBP17, ASPSCR1, AP3D1, XPO7, COPZ1, ARCN1, SNX17, SGSM2, RUNDC1, PICK1, EXOC6	575	337	19462	2.61133789188492	0.0543185732735099	0.00634332845811779	0.00628995235506011
GOTERM_BP_DIRECT	GO:0032543	mitochondrial translation	13	2.00308166409861	2.53E-05	PTCD3, FASTKD2, MRPS14, MRPS11, MRPS12, MRPL49, MRPL37, QRSL1, MRPL35, MRPL32, MRPL11, MRPL52, MRPL1	575	96	19462	4.58344202898551	0.0554915805092923	0.00634332845811779	0.00628995235506011
GOTERM_BP_DIRECT	GO:0015031	protein transport	30	4.62249614791988	6.58E-05	NUP188, GDI1, GOSR1, PHAX, USE1, TMED2, TBC1D17, SEC62, EPS15, BBS4, BTF3, MTX1, IST1, VTA1, SCAMP1, COPZ1, ARCN1, RUFY1, NECAP1, NUP50, PPT1, EXOC4, UBAP1, ATG4B, NUP35, KIF20A, RAN, VPS28, BET1, ATG4D	575	446	19462	2.27670111132774	0.137984888215526	0.0148477595521284	0.0147228226914152
