Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045893	positive regulation of transcription, DNA-templated	38	7.69230769230769	1.84E-06	YAP1, KDM3A, INO80E, SF3B3, MAX, CXXC1, NOLC1, BRCA1, CTCF, CCAR1, TRIM8, CAND2, NSD3, SIX4, RBBP4, ZIC1, SPIN1, EPC2, APBB1, PCBD2, BTRC, MTA3, YWHAH, XRCC6, BICRAL, DYRK1B, GTF2H1, INO80, ETV4, TBX4, SUPT3H, ZFP90, ESR2, TADA2B, ELF2, KANSL2, TRIM13, NFKBIB	425	730	19462	2.38374214343272	0.00354139304886636	0.0035476753529287	0.00353845102803809
GOTERM_BP_DIRECT	GO:0006357	regulation of transcription from RNA polymerase II promoter	66	13.3603238866397	1.09E-05	ZNF131, ARID4A, BRCA1, CTCF, JADE2, MED18, TIAL1, MED11, SIX4, SIX5, SALL4, ZIC1, ZNF768, EPC2, ZNF644, SOX6, CCNL1, GABPA, BRD2, ANXA4, TCF12, SAFB, ETV4, SUPT3H, ZFP90, ZEB1, ELF2, ZNF717, SUB1, SCAND2P, KDM3A, ZNF274, ZNF197, MAX, ZNF518A, BAZ2B, MED12L, ZNF668, MAPK1, ZNF821, ZNF225, ZNF586, ZNF267, ZNF585A, ZSCAN18, SMAD1, ZBTB14, BICRAL, BCL11A, NFYC, ZNF181, PBX3, ELP4, TBX4, ZFHX4, USF2, ESR2, TADA2B, ZNF559-ZNF177, MEIS1, ZNF814, CREBRF, ZNF614, HOXD3, SLC2A4RG, NFE2L1	425	1736	19462	1.74097587422066	0.0207709801686937	0.0104852147266517	0.0104579520778564
GOTERM_BP_DIRECT	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	51	10.3238866396761	1.64E-05	ZNF131, DDX3X, ARID4A, UBE3A, BRCA1, DCAF6, RPS6KA4, SIX4, SIX5, SALL4, ZIC1, GABPA, ACTR3, NCOA3, ZBTB38, TCF12, UBE2E1, GTF2F2, ETV4, METTL23, THAP3, MED25, ZEB1, ZNF717, PTMA, YAP1, KDM3A, ZNF197, MAX, MED12L, MAPK7, IFI16, ZNF668, RPRD1B, APBB1, ZNF225, ZNF267, ZNF585A, ZNF462, SMAD1, XRCC6, BCL11A, NFYC, PBX3, INO80, USF2, ESR2, MEIS1, ZNF814, CREBRF, HOXD3	425	1232	19462	1.89564935064935	0.0309663115097661	0.0104852147266517	0.0104579520778564
GOTERM_BP_DIRECT	GO:0006325	chromatin organization	21	4.25101214574899	2.99E-05	ZNF462, KDM5B, BRD2, L3MBTL3, KDM3A, L3MBTL2, CBX4, CBX3, CHD9, ZMYND8, ZNF518A, LRWD1, SAFB, NSD3, KANSL2, HAT1, SPIN1, EPC2, APBB1, HMGN2, FIRRE	425	323	19462	2.97725004552905	0.0559025552020492	0.0143812580793259	0.014343865312609
GOTERM_BP_DIRECT	GO:0006338	chromatin remodeling	21	4.25101214574899	5.20E-05	KDM5B, BRD2, KDM3A, ZNF274, INO80E, CBX3, CHD9, BICRAL, NCOA3, BAZ2A, BAZ2B, JADE2, INO80, BMI1, NSD3, TADA2B, RPS6KA4, CHRAC1, RBBP4, MTA3, SKP1	425	336	19462	2.86205882352941	0.0951617229764745	0.019999290132567	0.0199472898982129
GOTERM_BP_DIRECT	GO:0006417	regulation of translation	10	2.02429149797571	1.64E-04	RBM3, RPS14, TCOF1, NOLC1, ELP4, CASC3, MSI2, CNOT8, KBTBD8, METAP1	425	91	19462	5.03219133807369	0.271025944346946	0.0526818591888307	0.0525448808758072
GOTERM_BP_DIRECT	GO:0043484	regulation of RNA splicing	9	1.82186234817814	4.14E-04	TADA2B, CLK1, SF3B3, TRA2B, HNRNPA1, CCNL1, HNRNPLL, SUPT3H, CLK2	425	82	19462	5.02605451936872	0.549272505668494	0.113818179142832	0.113522240039496
GOTERM_BP_DIRECT	GO:0006355	regulation of transcription, DNA-templated	39	7.89473684210526	9.88E-04	KDM5B, ZNF274, L3MBTL3, ZNF197, L3MBTL2, ZMYND8, CXXC1, BAZ2A, JADE2, CCAR1, RPS6KA4, NSD3, RBBP4, SPIN1, APBB1, SOX6, ZNF225, MTA3, ZNF267, ZNF586, ZNF585A, BRD2, SMAD1, NFYC, ZBTB38, ZNF181, SAFB, SUPT3H, ZFP90, ESR2, ZNF559-ZNF177, MEIS1, GON4L, ZEB1, ZNF717, NFX1, ZNF814, ZNF614, SLC2A4RG	425	1024	19462	1.74406709558824	0.850461735473071	0.23740805499378	0.236790769359371
GOTERM_BP_DIRECT	GO:0016567	protein ubiquitination	23	4.65587044534413	0.00143905684669953	KLHDC2, TRIM41, UBE2D3, UBE2E1, BRCA1, JADE2, MED18, FBXL12, CCAR1, DCAF6, TRIM8, CAND2, MED11, HECTD2, NFX1, UBC, TRIM13, TRIM59, BTRC, UBA52, TRIM33, SKP1, RNF220	425	498	19462	2.11493503425467	0.937294077876638	0.307478479578132	0.306679003552188
GOTERM_BP_DIRECT	GO:0070936	protein K48-linked ubiquitination	7	1.417004048583	0.00266527105128473	FBXO38, UBE2E3, UBE2D3, UBE2E1, UBE3A, BTRC, SKP1	425	64	19462	5.00860294117647	0.994096197065874	0.487956078692165	0.486687342138104
