Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654	nucleoplasm	221	39.6768402154399	2.7E-34	ATF1, VEZT, CCNK, WIPF2, DCAF8, PHAX, SMC4, NFU1, KAT5, PPP4R2, SPATA24, CPNE1, EPC1, BTRC, SCAPER, MAP1S, WDR75, KNL1, MED6, THAP1, RUFY1, WDR82, FAM76A, UQCRC2, KIF20A, XPA, BRCC3, CDKN2AIP, OAZ3, MIER3, DHX35, MCMBP, PSMF1, PPARGC1B, ZNF383, TRIP4, GPN1, HNRNPM, RPS28, RPS27, HNRNPC, INTS8, PHF2, SUV39H2, WDR48, SRA1, ASH2L, BMI1, BABAM1, ING5, PCM1, ING3, PCF11, ELOB, NELFCD, GABPA, MIOS, NCOA3, CACYBP, PPRC1, MED29, MRPL52, MED25, MED24, SLTM, PTMA, SF3B2, C11ORF54, NIP7, CIPC, RPL11, XIAP, PSMB6, PTPA, PSMB4, SCAF8, PSMB5, RPS15A, EXOSC10, SNX27, CUX1, HSF1, RPS3, USP1, PCGF1, ZNF589, APBB1, GIT2, WDR18, NFYC, CARD8, NR1H3, ELP4, PPP1CA, MKLN1, ETAA1, PSMC5, GFI1B, PSMC6, PSMC3, FABP5, NBR1, CENPM, CTNNB1, NCAPD2, CENPO, TARDBP, FOXA3, NEK11, CRTC2, RIF1, CRTC1, SPPL2B, RPP30, CSE1L, CASC3, NR3C1, CDC14A, MAEA, SALL4, GTF2I, PIAS3, MORC3, ZBTB38, DYRK1B, RNF40, EMSY, RBX1, PIAS1, MORF4L1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, DAP3, PSMD11, EMG1, HMBOX1, IRAK1, TBC1D14, E4F1, KHDC4, NDUFV2, ZNF300, MARK2, KLHDC2, CHTOP, CPSF6, POU2F1, VTA1, ASPSCR1, SUPT5H, ZC3HC1, NSFL1C, COPS6, SP1, CNOT2, PIN1, TAB2, UBA1, SAE1, KDM5B, C2ORF42, DDX47, CHD9, SCHIP1, PPWD1, C1ORF174, CTDSPL2, SENP6, DUSP12, NGRN, RBM4, SNAPC3, PPP6R3, TLK1, POLK, RBM5, USP47, UTP11, USP44, RBM19, RAD23A, ARAP1, PPP2R5C, ZNF638, POLR1C, DNLZ, LUC7L3, NSRP1, DOCK1, BCAT2, SMARCD1, RBM48, NDUFB5, USP10, HDAC1, PMF1-BGLAP, TULP3, LIN9, NR2C2, EHBP1, DNAJB4, SAP18, NDUFA9, SLC35A2, PTCD3, FKRP, USP21, RPS6KB1, APC, KANSL2, EIF3L, NOVA1, POLR3E, TAF8, NUP35, ACIN1, RAN, TNRC6B	512	4077	20660	2.1873179574442	1.41E-31	1.41E-31	1.36E-31
GOTERM_CC_DIRECT	GO:0005634	nucleus	243	43.6265709156194	4.04E-18	CYFIP2, ATF1, CCNK, ZNF292, DCAF8, PHAX, SMC4, NFU1, RNF114, KAT5, PPP4R2, GPBP1, SPATA24, CPNE1, PWWP2A, EPC1, UBAP2L, BTRC, MAP1S, KNL1, MED6, THAP1, ZNF717, ARHGAP19-SLIT1, PREB, KIF20A, PRR11, RABL6, MRPL19, XPA, BRCC3, UBE2J2, OAZ1, CDKN2AIP, OAZ3, HMGXB4, MIER3, MCMBP, ZNF821, PPARGC1B, BTF3, TRIP4, GPN1, HNRNPM, PKIB, RPS27, ZNF814, PPT1, HNRNPC, INTS8, PHF3, PHF2, SUV39H2, WDR48, SRA1, ASH2L, BMI1, SMG7, N4BP2L2, MED18, BABAM1, ING5, ING3, PCF11, NELFCD, BBS4, ZNF587B, GABPA, CNTD1, NCOA3, CACYBP, PPRC1, MED29, MED25, MED24, SLTM, MED21, PTMA, ZSWIM1, SF3B2, C11ORF54, URM1, CIPC, MIS12, XIAP, PSMB6, PTPA, PSMB4, SCAF8, PSMB5, EXOSC10, CUX1, HSF1, RPS3, USP1, PCGF1, ZNF227, ZNF226, ZNF589, APBB1, ZNF586, ZNF585A, NFYC, CARD8, NR1H3, XPO7, ELP4, PPP1CA, PSMC5, GFI1B, PSMC6, PSMC3, FABP5, DLC1, CENPM, CTNNB1, NCAPD2, CENPO, TARDBP, FOXA3, NEK11, MTCH2, CRTC2, UBXN2B, RIF1, UBE3C, CRTC1, RPP30, CSE1L, CASC3, NR3C1, TATDN3, MAEA, SALL4, NUSAP1, GTF2I, PIAS3, MORC3, TRAPPC2L, ZBTB38, DYRK1B, RNF40, RPP25L, RBX1, PIAS1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, PSMD11, CUL5, MAZ, BCL2L13, EMG1, HMBOX1, IRAK1, STK36, KHDC4, CYC1, MAP2K7, MYH10, ZNF300, KLHDC2, EIF2B5, CHTOP, CPSF6, POU2F1, BRPF3, FBXO38, ASPSCR1, TBCB, SUPT5H, CNOT4, ZC3HC1, NSFL1C, COPS6, SP1, CNOT2, CNOT3, PIN1, UBA1, TAB1, NIT1, SAE1, UBE2K, EIF4G1, KDM5B, C2ORF42, DIDO1, DDX47, C1ORF174, YBX3, SENP6, DUSP12, NGRN, RBM4, SNAPC3, PPP6R2, PPP6R3, TLK1, CASP2, POLK, TNPO1, ZNF764, RBM5, USP47, USP44, RAD23A, PPP2R5C, ZFP90, QTRT1, ZNF638, POLR1C, LUC7L3, USP40, NSRP1, CRK, SMARCD1, ZNF197, USP10, HDAC1, TULP3, LIN9, GNA13, ZNF507, SAP18, ZNF621, NDUFA9, ZIC4, EXOG, RPS6KB1, APC, NOVA1, DNAJA3, ZNF615, POLR3E, TAF8, ZNF613, BAX, ACIN1, SLIRP, RAN	512	6106	20660	1.60586794751065	2.11E-15	1.05E-15	1.02E-15
GOTERM_MF_DIRECT	GO:0005515	protein binding	416	74.6858168761221	2.2E-16	TRIR, CYFIP2, ATF1, WIPF2, DCAF8, PHAX, SMC4, RNF114, PPP4R2, GPBP1, PWWP2A, WSB1, MAP1S, MED6, RUFY1, WDR82, UQCRC2, VPS28, RABL6, NAA60, UNC119B, LRPAP1, MTMR3, TERC, MRPL19, C12ORF60, XPA, OAZ1, GIGYF2, OAZ3, MRPL11, C2, PRPSAP2, HMGXB4, MCMBP, PSMF1, C19ORF38, BTF3, RPL41, ZNF383, GSDMA, TRIP4, GPN1, HNRNPM, PPT1, HNRNPC, ARF3, PHF2, WDR48, C1ORF35, ASH2L, SMG7, MRPL32, MED18, C12ORF43, ING5, FASTK, ELOB, AP3S1, NELFCD, MIOS, NSUN4, MED29, SUMF1, MED25, MED24, SDHAF2, MED21, EXOC4, EXOC6, C11ORF54, SF3B2, NIP7, CIPC, URM1, RPL11, MIEF1, PSMB6, SCAF8, PSMB4, RPS15A, EXOSC10, PSMB5, SRP72, SNX27, RPS3, USP1, RPL14, PCGF1, ZNF227, NCDN, PBDC1, WDR18, CARD8, NR1H3, ELP4, ARCN1, MKLN1, PSMC5, LYRM2, PSMC6, FABP5, PSMC3, SNX17, LYRM7, UBAP1, NCAPD2, CENPO, MTCH2, RIF1, CSE1L, FBXO28, CASC3, CDC14A, MFSD13A, IPO9, SALL4, MAP3K4, GTF2I, PIAS3, CEP135, ZBTB38, PIPOX, DYRK1B, LEMD3, RNF40, EMSY, PIAS1, FAM118B, RBX1, MORF4L1, KAT6B, DMWD, SLC9A8, TSACC, CUL5, SMYD5, MAZ, RCC1L, BCL2L13, HMBOX1, STK36, BRIX1, KHDC4, E4F1, TSNAXIP1, MAP2K7, ZNF300, MPDU1, OSBPL9, EIF2B5, CHTOP, BRPF3, FBXO38, TVP23B, TOR1B, NBDY, ZC3HC1, CNOT4, NSFL1C, COPS6, SP1, CNOT2, CNOT3, PIN1, LRCH3, EIF4G1, SCHIP1, C1ORF174, ATRAID, DUSP12, NGRN, MRPL1, PPP6R2, PPP6R3, TLK1, ZNF764, TNPO1, ACP1, PAAF1, GPX8, FAM219B, RAD23A, ZFP90, NIPSNAP2, QTRT1, GIGYF1, POLR1C, NSRP1, CRK, SMARCD1, RAB1A, NDUFB5, HDAC1, TULP3, AFG1L, MESD, HSD17B10, GANAB, HECTD4, DNAJB4, SAP18, RAB28, C3ORF33, EIF4B, SLC35A2, NDUFA9, FKRP, NDUFA3, RPL35A, CDC42BPA, TPD52L2, NECAP1, APC, EIF3L, NOVA1, DNAJA3, OCIAD1, ZNF613, CCM2, TNRC6B, METAP2, ISCA2, CCNK, TXNDC15, NFU1, KAT5, SPATA24, CPNE1, EPC1, UBAP2L, BTRC, SCAPER, TBC1D22B, EIF2A, KNL1, MFSD11, THAP1, THAP3, THAP6, KATNAL2, PREB, KIF20A, INTU, STXBP3, STXBP2, MGST2, BRCC3, UBE2J2, CDKN2AIP, SNX2, TSPAN4, ZNF821, ATP6V0A1, BBS1, ZHX1-C8ORF76, RPS28, NDUFAF8, RPS27, TRMT12, INTS8, SUV39H2, GDI1, MRPS11, MRPS12, SRA1, BMI1, N4BP2L2, COX7C, KIF15, BABAM1, PCM1, KIF13A, ERMAP, GABPA, BBS4, CCDC112, NCOA3, NME3, CACYBP, ZDHHC17, SLTM, PTMA, MIS12, XIAP, UQCR10, PTPA, SAMM50, HSF1, EMC2, APBB1, PAK4, GIT2, MTX1, NFYC, AP3D1, XPO7, RAB11A, PPP1CA, ETAA1, GFI1B, SPCS2, DLC1, CAPZA1, CAPZA2, NBR1, CTNNB1, TARDBP, FOXA3, NEK11, CRTC2, UBE3C, UBXN2B, CRTC1, RPP30, SPPL2B, COX6A1, NR3C1, NUSAP1, MORC3, TRAPPC2L, MIGA1, SDHC, RPP25L, OXA1L, PSPC1, RPL7L1, SCN8A, SPNS1, UBE2V2, PPIE, DAP3, FAIM, PSMD11, USP54, COX7A2, EMG1, IRAK1, TBC1D14, CYC1, NDUFV2, MYH10, TBC1D15, MARK2, KLHDC2, KLHDC4, POU2F1, CPSF6, UQCC2, KLHL26, VTA1, ASPSCR1, TBCB, COQ9, SUPT5H, TJAP1, COQ4, EIF2S3, UBXN11, OSTC, UBA1, TAB2, TAB1, SAE1, UBE2K, COX20, KDM5B, C2ORF42, DDX47, PRKCSH, CTDSPL2, YBX3, USE1, SENP6, RBM4, SNAPC3, CASP2, RBM5, BCKDHA, USP47, UTP11, USP44, ARAP1, PPP2R5C, OXSR1, QRSL1, LMBRD1, NDUFS7, NDUFS4, NDUFS3, LUC7L3, ATG4B, DOCK1, VAC14, RBM48, USP10, TM2D1, LIN9, SPG7, NR2C2, THBS4, GNA13, BNIP1, ABCF3, PTCD3, PTCD2, USP21, RPS6KB1, KANSL2, SHLD1, TAF8, NUP35, ACIN1, BAX, SLIRP, RAN	502	12657	18976	1.24240589982647	1.29E-13	1.27E-13	1.27E-13
GOTERM_MF_DIRECT	GO:0003723	RNA binding	91	16.3375224416517	5.47E-14	TRIR, ARF3, DIDO1, DDX47, PRKCSH, RPP30, MRPS11, MRPS12, C1ORF35, PHAX, CASC3, MRPL37, NR3C1, YBX3, MRPL32, NGRN, RBM4, MRPL1, FASTK, GPBP1, NUSAP1, UBAP2L, NELFCD, TNPO1, RBM5, MORC3, NSUN4, UTP11, RBM19, WDR75, PPRC1, RPP25L, SLTM, PSPC1, RPL7L1, ZNF638, LUC7L3, PPIE, NSRP1, DAP3, SF3B2, RBM48, USP10, NIP7, MAZ, RPL11, HSD17B10, CDKN2AIP, GIGYF2, RCC1L, MRPL11, GANAB, SCAF8, EMG1, EXOSC10, RPS15A, SRP72, DHX35, RPS3, RPL14, SAP18, BRIX1, KHDC4, PPARGC1B, EIF4B, MARK2, BTF3, PTCD3, RPL41, CHTOP, CPSF6, PTCD2, RPL35A, SUPT5H, TPD52L2, ARCN1, CNOT4, HNRNPM, RPS28, RPS27, EIF3L, NOVA1, ACIN1, UBA1, SLIRP, HNRNPC, TARDBP, RAN, EIF4G1, TNRC6B, METAP2	502	1483	18976	2.31953641939323	3.16E-11	1.58E-11	1.57E-11
GOTERM_CC_DIRECT	GO:0005829	cytosol	211	37.8815080789946	5.35E-12	CYFIP2, VEZT, WIPF2, DCAF8, PHAX, SMC4, NFU1, RNF114, KAT5, GPBP1, SPATA24, CPNE1, BTRC, SCAPER, WSB1, MAP1S, KNL1, RUFY1, GNPAT, ARHGAP19-SLIT1, VPS28, RABL6, UNC119B, MTMR3, STXBP3, STXBP2, BRCC3, UBE2J2, OAZ1, GIGYF2, OAZ3, SNX2, MCMBP, PSMF1, PPARGC1B, ATP6V0A1, BTF3, BBS1, RPL41, GSDMA, TRIP4, GPN1, RPS28, RPS27, PPT1, HNRNPC, ARF3, WDR48, GDI1, SRA1, BMI1, SMG7, KIF15, BABAM1, PCM1, ELOB, ERMAP, BBS4, MIOS, NCOA3, NME3, CACYBP, RHOF, COPZ1, SDHAF2, EXOC4, EXOC6, PTMA, NIP7, URM1, CIPC, MIS12, RPL11, XIAP, PSMB6, PSMB4, PSMB5, RPS15A, EXOSC10, SRP72, SNX27, CUX1, HSF1, RPS3, USP1, RPL14, NCDN, PAK4, LMLN, KIDINS220, CARD8, NR1H3, RAB11A, ARCN1, PPP1CA, MKLN1, ETAA1, PSMC5, PSMC6, PSMC3, FABP5, SNX17, DLC1, CAPZA1, CAPZA2, NBR1, UBAP1, CENPM, CTNNB1, NCAPD2, CENPO, UBXN2B, NUP188, CRTC1, DGKA, CSE1L, CASC3, NR3C1, CDC14A, ABHD10, IPO9, CEP135, TRAPPC2L, PIPOX, RNF40, RBX1, PPIE, PSMD11, CUL5, HMBOX1, IRAK1, STK36, TBC1D14, NDUFV2, MAP2K7, MYH10, EIF2B5, OSBPL9, BRPF3, FBXO38, VTA1, ASPSCR1, TBCB, CNOT4, NSFL1C, COPS6, EIF2S3, UBXN11, CNOT2, CNOT3, PIN1, TAB2, UBA1, TAB1, UBE2K, LRCH3, EIF4G1, KDM5B, CHD9, SCHIP1, YBX3, SENP6, DUSP12, RBM4, PPP6R2, DBT, PPP6R3, CASP2, TNPO1, ACP1, USP47, RAD23A, OXSR1, ARAP1, PPP2R5C, GIGYF1, POLR1C, ATG4B, USP40, DOCK1, CRK, RAB1A, VAC14, USP10, HDAC1, GOSR1, EHBP1, GNA13, HECTD2, DNAJB4, SAP18, EIF4B, PTCD3, FKRP, USP21, RPL35A, FBXL18, CDC42BPA, NECAP1, RPS6KB1, APC, KANSL2, EIF3L, DNAJA3, POLR3E, BAX, NUP35, ACIN1, RAN, TNRC6B, METAP2	512	5629	20660	1.51255634881862	0.00000000279	9.31E-10	8.97E-10
GOTERM_CC_DIRECT	GO:0005743	mitochondrial inner membrane	39	7.00179533213645	7.07E-10	SLC25A3, MTCH2, NDUFB5, MRPS11, MRPL19, MRPS12, SPG7, UQCR10, MRPL37, COX6A1, COX7C, MRPL35, MRPL32, RCC1L, MRPL11, MRPL1, GRPEL2, RPS3, CYC1, NDUFV2, NDUFA9, PTCD3, UQCC2, NDUFA3, NDUFC1, SDHC, EXOG, COQ9, MRPL52, COQ4, OXA1L, NDUFS7, NDUFS4, TMEM126A, SPNS1, NDUFS3, UQCRC2, COX20, DAP3	512	494	20660	3.18564967105263	0.000000369	0.0000000922	0.0000000889
GOTERM_CC_DIRECT	GO:0005739	mitochondrion	76	13.6445242369838	0.00000000142	ISCA2, SLC25A3, MTCH2, MRPS11, DCAF8, MRPL37, COX6A1, NR3C1, COX7C, MRPL35, MRPL32, NFU1, NGRN, ABHD10, MRPL1, AUH, PCF11, DBT, CASP2, BCKDHA, MIGA1, SDHC, QRSL1, NIPSNAP2, MRPL52, OXA1L, SDHAF2, NDUFS4, TMEM126A, DNLZ, NDUFS3, ATG4B, UQCRC2, DAP3, BCAT2, DMAC2, NDUFB5, MRPL19, AFG1L, SPG7, MIEF1, HSD17B10, MRPL11, PSMB6, BCL2L13, PSMB4, SAMM50, GRPEL2, CYC1, NDUFV2, PPARGC1B, MARK2, NDUFA9, PTCD3, METAP1D, PTCD2, UQCC2, NDUFA3, COQ9, EXOG, ACADSB, GPN1, TRIT1, COQ4, LYRM2, NDUFAF8, RPS6KB1, DNAJA3, NBR1, BAX, CCM2, UBA1, SLIRP, TARDBP, NIT1, COX20	512	1467	20660	2.09046949556919	0.000000743	0.000000149	0.000000143
GOTERM_CC_DIRECT	GO:0000502	proteasome complex	11	1.97486535008977	0.00000141	PSMB6, PSMC5, PSMB4, PSMD11, PSMC6, PSMB5, PSMC3, UBE3C, RAD23A, PSMF1, PAAF1	512	58	20660	7.65288254310345	0.000736	0.000123	0.000118
GOTERM_BP_DIRECT	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	23	4.12926391382406	0.000000084	KLHDC2, PSMD11, UBXN2B, USP44, KCTD2, RAD23A, PPP2R5C, RBX1, PSMB6, NSFL1C, PSMC5, PSMB4, PSMC6, MAEA, PSMB5, APC, PSMC3, UBXN11, KAT5, CTNNB1, PSMF1, BTRC, UBE2K	499	225	19462	3.98687152081942	0.00016	0.00016	0.000158
GOTERM_CC_DIRECT	GO:0005840	ribosome	18	3.23159784560144	0.00000256	PTCD3, RPL41, MRPS11, MRPS12, MRPL19, RPL11, RPL35A, MRPL37, MRPL35, MRPL32, MRPL11, RPS28, RPS15A, RPS27, RPS6KB1, RPS3, RPL14, DAP3	512	180	20660	4.03515625	0.00133583614611954	0.000191	0.000184
