Category	term	Term_desc	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654	nucleoplasm	235	36.2095531587057	1.34E-30	ATF1, TCERG1, POP5, VEZT, CCNK, DCAF8, PHAX, SMC4, NFU1, KAT5, PPP4R2, CPNE1, MAP1S, WDR74, WDR75, ARMC8, MED6, THAP1, UHMK1, RUFY1, EWSR1, WDR82, UQCRC2, KIF20A, LETMD1, XPA, BRCC3, HTATSF1, CDKN2AIP, OAZ3, MIER3, CSTF1, DHX38, HOXC4, PSMF1, ZNF143, ZNF383, TRIP4, PUM1, GPN1, HNRNPM, RPS28, RPS27, HNRNPC, NOL11, INTS8, ITPA, RPAIN, SUV39H2, WDR48, SRA1, ASH2L, RPTOR, BABAM1, ING5, ING2, ING3, PCF11, BRD2, MIOS, SPHK2, PRMT1, CACYBP, PPRC1, SREBF2, MED29, MRPL52, MED24, SLTM, MTF2, PTMA, SF3B2, NIP7, CIPC, SPESP1, RPL11, WDR20, XIAP, CENPC, GNAI2, PSMB6, PTPA, PSMB4, PSMB5, RPS15A, EXOSC10, SNX27, CUX1, HSF1, RPS3, USP1, PCGF1, GIT2, WDR18, NFYC, CARD8, NR1H3, ELP4, WDR13, MKLN1, ETAA1, PSMC5, GFI1B, PSMC6, PSMC3, NBR1, TRIP11, CTNNB1, NCAPD2, CENPO, EEF1AKMT3, TARDBP, FOXA3, NEK11, RIF1, CRTC1, SPPL2B, JADE1, CASC3, NR3C1, CDC14A, MAEA, PAPOLG, CWC22, GTF2I, PIAS3, MORC3, RNF40, EMSY, RBX1, PIAS1, MORF4L1, ILF3, HNRNPUL1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, SRSF3, UBE2V1, SRSF5, SNRPA, ANKRD17, PSMD11, PSMD13, RPF2, GTF2E1, ATXN3, EMG1, HMBOX1, TBC1D14, E4F1, RPRD1A, NDUFV2, ZNF300, CHTOP, POU2F1, VTA1, ASPSCR1, SUPT5H, ZC3HC1, NSFL1C, COPS6, ARPC2, SP1, CNOT2, SP3, NF1, PIN1, TAB2, UBA1, SAE1, C2ORF42, DDX47, CHD9, CELF1, PPWD1, HMGB1, CTDSPL2, CDC73, DUSP12, PTBP1, NGRN, RBM4, SNAPC3, ZIC1, TLK1, POLK, HIF1AN, RBM5, USP47, UTP11, RBM19, RAD23A, ARID1A, MASTL, SETBP1, NUP50, POLR1C, LUC7L3, MCM5, NSRP1, DAGLB, DOCK1, BCAT2, ATG4D, HDAC5, SMARCD1, USP15, RBM48, NDUFB5, USP10, PMF1-BGLAP, RBM4B, LIN9, NR2C2, SAP18, NDUFA9, SLC35A2, PTCD3, ATF7IP, FKRP, USP21, U2SURP, PNRC2, POLE4, RPS6KB1, APC, RPS6KB2, TAF8, NUP35, ACIN1, RAN, TNRC6B	586	4077	20660	2.0321691399602	7.62E-28	7.62E-28	7.39E-28
GOTERM_MF_DIRECT	GO:0005515	protein binding	487	75.0385208012327	4.97E-21	TRIR, ITSN2, ATF1, POP5, DCAF8, PHAX, SMC4, RNF114, PPP4R2, WDR90, GPBP1, STMN1, PWWP2A, CEP97, CDK5RAP3, CHGB, WSB1, MAP1S, TYW3, WDR74, ARMC8, SCAMP1, KNSTRN, ATG13, MED6, RUFY1, EWSR1, WDR82, ACOT2, TCEANC2, UQCRC2, NHLRC2, LETMD1, VPS28, RABL6, NAA60, UNC119B, LRPAP1, TERC, C12ORF60, XPA, PRDM11, OAZ1, OAZ3, MRPL11, C2, PRPSAP2, HMGXB4, AFMID, WBP2NL, HOXC4, PSMF1, C19ORF38, BTF3, ZNF264, ZNF143, RPL41, ZNF383, RDX, TRIP4, BRAF, GPN1, HNRNPM, PPT1, HNRNPC, CDC42SE2, WDR48, ASH2L, SMG7, MRPL32, C12ORF43, FARS2, ING5, ING2, FASTK, AP3S1, BRD2, MIOS, SPHK2, MRPL49, MED29, SRP9, SUMF1, MED24, MED21, EXOC4, PICK1, EXOC6, SF3B2, NIP7, CIPC, URM1, RPL11, WDR20, FIGN, CENPC, PSMB6, PSMB4, RPS15A, EXOSC10, PSMB5, SRP72, SNX27, PPP1R7, RPS3, USP1, RPL14, PCGF1, ZNF227, RPL19, YTHDF3, PBDC1, WDR18, CARD8, NR1H3, ELP4, ARCN1, MKLN1, PSMC5, LYRM2, PSMC6, PSMC3, SNX17, LYRM7, UBAP1, NCAPD2, CENPO, EEF1AKMT3, MTCH2, RIF1, FBXO28, CASC3, CDC14A, MFSD13A, IPO9, FNTA, MAP3K4, GTF2I, PIAS3, MAP2K4, IST1, PIPOX, UBALD1, LEMD3, FTSJ1, RNF40, EMSY, PIAS1, FAM118B, RBX1, MORF4L1, ILF3, KAT6B, DMWD, SRSF3, SRSF5, ZNF675, SNRPA, ANKRD17, TSACC, CUL5, SMYD5, MAZ, KLC1, GTF2E1, RCC1L, ATXN3, BCL2L13, HMBOX1, STK36, BRIX1, E4F1, TSNAXIP1, ZNF300, OSBPL9, EIF2B5, CHTOP, BRPF3, TVP23B, TOR1B, NBDY, ZC3HC1, DRAP1, CNOT4, NSFL1C, COPS6, ARPC2, SP1, CNOT2, SP3, CNOT3, NF1, PIN1, LRCH3, MCU, EIF4G1, CELF1, BICD1, CDC73, DUSP12, NGRN, PTBP1, MRPL1, TLK1, ZNF524, HIF1AN, ZNF764, TNPO1, ACP1, PAAF1, ACTR2, TRPC1, GPX8, FAM219B, RAD23A, ZFP90, NIPSNAP2, QTRT1, POLR1C, MCM5, NSRP1, DAGLB, CRK, R3HCC1L, SMARCD1, PRPS1, RAB1A, HDAC5, NDUFB5, RAB1B, GTPBP10, AFG1L, DPCD, MESD, HSD17B10, GANAB, HECTD4, SAP18, RAB28, C3ORF33, EIF4B, SH2B1, SLC35A2, NDUFA9, SLC35A1, FKRP, NDUFA3, RPL35A, CFLAR, CDC42BPA, TPD52L2, PNRC2, NECAP1, APC, DNAJA3, EIF3J, ST7, ZNF613, CCM2, BET1, TNRC6B, METAP2, ISCA2, TCERG1, CCNK, TXNDC15, CYB5D2, NFU1, KAT5, PPP2R1B, CPNE1, UBAP2L, TBC1D22B, EIF2A, MFSD11, THAP1, UHMK1, THAP6, PREB, KIF20A, INTU, STXBP3, BRCC3, UBE2J2, HTATSF1, CDKN2AIP, DHX30, PRRC1, SNX2, CSTF1, TSPAN4, DHX38, BBS1, CRADD, ZHX1-C8ORF76, ERAL1, PUM1, UBAC2, RPS28, NDUFAF8, RPS27, NOL11, INTS8, RPAIN, SUV39H2, COX7B, GDI1, FASTKD2, MRPS14, MRPS11, MRPS12, SRA1, N4BP2L2, COX7C, KIF15, RPTOR, BABAM1, MAP1LC3B, HINT2, TMED2, ERMAP, BBS4, CCDC112, PSENEN, PRMT1, CACYBP, CCDC117, ZDHHC16, ZDHHC17, SREBF2, SLTM, PTMA, NAPB, SSNA1, MIS12, XIAP, ZNF2, UQCR10, GNAI2, PTPA, ATP5F1B, ORMDL2, HSF1, EMC2, EPS15, AAMDC, PAK4, GIT2, MTX1, NFYC, AP3D1, XPO7, RAB11A, ETAA1, GFI1B, SPCS2, DLC1, CAPZA2, NBR1, TRIP11, CTNNB1, TARDBP, FOXA3, NEK11, UBE3C, UBXN2B, ZWILCH, CRTC1, SPPL2B, JADE1, COMT, COX6A1, NR3C1, EEF1B2, CHCHD5, CWC22, NUSAP1, MORC3, TRAPPC2L, MIGA1, CCDC157, SDHC, SDHD, OXA1L, HNRNPUL1, PSPC1, RPL7L1, SCN8A, SPNS1, UBE2V2, PPIE, UBE2V1, ISCU, KLHL18, PSMD11, DIABLO, USP54, BTF3L4, COX7A2, RPF2, EMG1, TBC1D14, CYC1, RPRD1A, NDUFV2, TBC1D17, TBC1D15, POU2F1, UQCC2, KLHL26, VTA1, UQCC1, ASPSCR1, COQ9, SUPT5H, TJAP1, COQ6, COQ4, EIF2S3, UBXN11, OSTC, CAPRIN1, MKRN1, UBA1, TAB2, TAB1, SAE1, UBE2K, YWHAE, C2ORF42, MRFAP1L1, DDX47, PRKCSH, HMGB1, CTDSPL2, USE1, RBM4, SNAPC3, ZIC1, CASP2, RBM5, BCKDHA, USP47, UTP11, ARID1A, QRSL1, LMBRD1, NDUFS8, SETBP1, NDUFS7, RER1, NUP50, CRY2, NDUFS4, NDUFS3, LUC7L3, ATG4B, DOCK1, VAC14, USP15, RBM48, SFSWAP, USP10, TM2D1, RBM4B, LIN9, SPG7, NR2C2, THBS4, GNA13, ABCF3, ATF7IP, PTCD3, RRM1, USP21, ZNF180, U2SURP, POLE4, RPS6KB1, SHLD1, TAF8, NUP35, ACIN1, BAX, SLIRP, ABCE1, RAN	582	12657	18976	1.2545265825493	3.29E-18	3.29E-18	3.26E-18
GOTERM_MF_DIRECT	GO:0003723	RNA binding	108	16.6409861325116	2.15E-17	TRIR, TCERG1, PHAX, CASC3, NR3C1, PAPOLG, GPBP1, CWC22, NUSAP1, UBAP2L, MORC3, WDR75, UHMK1, ILF3, HNRNPUL1, EWSR1, PSPC1, RPL7L1, SRSF3, PPIE, SRSF5, SNRPA, ANKRD17, MAZ, UBFD1, RPF2, HTATSF1, CDKN2AIP, RCC1L, MRPL11, DHX30, EMG1, CSTF1, DHX38, BRIX1, BTF3, RPL41, CHTOP, RDX, ERAL1, SUPT5H, PUM1, CNOT4, HNRNPM, RPS28, RPS27, CAPRIN1, MKRN1, UBA1, NOL11, HNRNPC, EIF4G1, YWHAE, DDX47, FASTKD2, CELF1, MRPS14, PRKCSH, MRPS11, MRPS12, MRPL37, HMGB1, MRPL32, RBM4, PTBP1, NGRN, MRPL1, FASTK, TNPO1, RBM5, UTP11, PRMT1, RBM19, PPRC1, SRP9, SLTM, LUC7L3, NSRP1, SF3B2, RBM48, SFSWAP, USP10, NIP7, RPL11, GTPBP10, RBM4B, HSD17B10, GANAB, EXOSC10, RPS15A, SRP72, RPS3, RPL14, SAP18, EIF4B, RPL19, PTCD3, YTHDF3, RPL35A, TPD52L2, U2SURP, ARCN1, ACIN1, SLIRP, TARDBP, RAN, TNRC6B, METAP2	582	1483	18976	2.37445690332358	1.42E-14	7.11E-15	7.04E-15
GOTERM_CC_DIRECT	GO:0005739	mitochondrion	100	15.4083204930663	3.38E-16	ISCA2, PANK2, MTCH2, DCAF8, COX6A1, NR3C1, NFU1, CHCHD5, ABHD10, SLC25A44, MIGA1, SDHC, SDHD, ATG13, OXA1L, ILF3, TMEM126A, ACOT2, UQCRC2, LETMD1, ISCU, DIABLO, MRPL11, DHX30, BCL2L13, CYC1, NDUFV2, UQCC2, UQCC1, BRAF, ERAL1, COQ9, GPN1, COQ6, COQ4, NDUFAF8, UBA1, NIT1, MCU, YWHAE, COX7B, SLC25A3, FASTKD2, MRPS14, MRPS11, MRPL37, COX7C, MRPL35, CLYBL, MRPL32, FARS2, NGRN, MAP1LC3B, HINT2, MRPL1, AUH, PCF11, DBT, CASP2, BCKDHA, SPHK2, MRPL49, QRSL1, CA5BP1, NIPSNAP2, MRPL52, NDUFS8, NDUFS4, CRY2, ST20-MTHFS, NDUFS3, ATG4B, BCAT2, ATG4D, USP15, DMAC2, NDUFB5, GTPBP10, AFG1L, SPG7, HSD17B10, PSMB6, PSMB4, ATP5F1B, NDUFA9, PTCD3, METAP1D, RRM1, NDUFA3, EXOG, TRIT1, LYRM2, RPS6KB1, DNAJA3, NBR1, BAX, CCM2, SLIRP, TARDBP, ABCE1	586	1467	20660	2.40327012244347	1.89E-13	8.91E-14	8.64E-14
GOTERM_CC_DIRECT	GO:0005634	nucleus	265	40.8320493066256	4.71E-16	ATF1, TCERG1, CCNK, PANK2, TP53TG3D, ZNF292, DCAF8, PHAX, SMC4, NFU1, RNF114, KAT5, PPP4R2, GPBP1, CPNE1, PWWP2A, UBAP2L, CDK5RAP3, MAP1S, WDR74, ARMC8, KNSTRN, MED6, THAP1, UHMK1, EWSR1, ARHGAP19-SLIT1, TCEANC2, PREB, KIF20A, PRR11, RABL6, XPA, BRCC3, PRDM11, UBE2J2, HTATSF1, OAZ1, CDKN2AIP, OAZ3, DHX30, HMGXB4, MIER3, AFMID, WBP2NL, DHX38, HOXC4, ZNF268, BTF3, ZNF264, CRADD, RANBP17, TRIP4, BRAF, GPN1, HNRNPM, RPS27, PPT1, HNRNPC, INTS8, RPAIN, PHF3, SUV39H2, WDR48, SRA1, ASH2L, SMG7, N4BP2L2, BABAM1, ING5, ING2, ING3, PCF11, BBS4, BRD2, CNTD1, SPHK2, PRMT1, CACYBP, CCDC117, PPRC1, SREBF2, MED29, MED24, SLTM, MED21, MTF2, PTMA, ZSWIM1, SF3B2, URM1, SSNA1, CIPC, MIS12, XIAP, ZNF2, CENPC, PSMB6, PTPA, PSMB4, PSMB5, EXOSC10, ATP5F1B, CUX1, PPP1R7, HSF1, RPS3, USP1, PCGF1, ZNF227, ZNF226, NFYC, CARD8, NR1H3, XPO7, ELP4, WDR13, HIPK3, PSMC5, GFI1B, PSMC6, PSMC3, DLC1, CTNNB1, NCAPD2, CENPO, TARDBP, FOXA3, NEK11, MTCH2, UBXN2B, RIF1, UBE3C, CRTC1, JADE1, CASC3, NR3C1, TATDN3, MAEA, PAPOLG, CWC22, NUSAP1, GTF2I, PIAS3, MAP2K4, MORC3, TRAPPC2L, FTSJ1, RNF40, RBX1, PIAS1, ILF3, HNRNPUL1, KAT6B, PSPC1, DMWD, UBE2V2, PPIE, UBE2V1, ZNF675, ISCU, SNRPA, ANKRD17, PSMD11, CUL5, PSMD13, MAZ, GTF2E1, ATXN3, BCL2L13, EMG1, HMBOX1, STK36, CYC1, RPRD1A, ZNF300, EIF2B5, CHTOP, POU2F1, BRPF3, ASPSCR1, SUPT5H, CNOT4, ZC3HC1, DRAP1, NSFL1C, COPS6, ARPC2, SP1, CNOT2, SP3, CNOT3, NF1, PIN1, UBA1, TAB1, NIT1, SAE1, UBE2K, EIF4G1, YWHAE, C2ORF42, DDX47, CELF1, HMGB1, CDC73, DUSP12, PTBP1, NGRN, RBM4, SNAPC3, ZIC1, TLK1, CASP2, ZNF524, POLK, HIF1AN, TNPO1, ZNF764, RBM5, USP47, ACTR2, RAD23A, ARID1A, MASTL, ZFP90, QTRT1, POLR1C, CRY2, LUC7L3, MCM5, USP40, NSRP1, CRK, ZNF630, HDAC5, SMARCD1, USP15, SFSWAP, USP10, LIN9, DPCD, GNA13, ZNF507, SAP18, ZNF621, SH2B1, NDUFA9, ATF7IP, ZNF180, EXOG, U2SURP, PNRC2, POLE4, RPS6KB1, APC, DNAJA3, RPS6KB2, ZNF615, TAF8, ZNF613, BAX, ACIN1, SLIRP, RAN	586	6106	20660	1.53010690542174	2.52E-13	8.91E-14	8.64E-14
GOTERM_CC_DIRECT	GO:0005829	cytosol	244	37.5963020030817	2.78E-14	ITSN2, VEZT, PANK2, DCAF8, PHAX, SMC4, NFU1, RNF114, KAT5, GPBP1, STMN1, CPNE1, CEP97, CDK5RAP3, WSB1, MAP1S, ARMC8, ATG13, RUFY1, GNPAT, CD109, ARHGAP19-SLIT1, ACOT2, NHLRC2, VPS28, RABL6, UNC119B, STXBP3, BRCC3, PRDM11, UBE2J2, OAZ1, OAZ3, DHX30, SNX2, AFMID, PSMF1, ZNF268, BTF3, BBS1, RPL41, CRADD, TRIP4, BRAF, ERAL1, PUM1, GPN1, RPS28, RPS27, PPT1, HNRNPC, ITPA, WDR48, GDI1, SRA1, SMG7, KIF15, RPTOR, BABAM1, MAP1LC3B, ERMAP, BBS4, MIOS, SPHK2, PRMT1, CACYBP, RHOF, SREBF2, SRP9, COPZ1, EXOC4, PICK1, EXOC6, PTMA, NIP7, URM1, SSNA1, CIPC, SPESP1, MIS12, RPL11, XIAP, CENPC, GNAI2, PSMB6, PSMB4, PSMB5, RPS15A, EXOSC10, SRP72, SNX27, CUX1, HSF1, RPS3, USP1, RPL14, EPS15, PAK4, RPL19, LMLN, YTHDF3, KIDINS220, CARD8, NR1H3, RAB11A, HIPK3, ARCN1, MKLN1, ETAA1, PSMC5, PSMC6, PSMC3, SNX17, DLC1, CAPZA2, NBR1, UBAP1, CTNNB1, NCAPD2, CENPO, EEF1AKMT3, UBXN2B, NUP188, ZWILCH, CRTC1, DGKA, JADE1, CASC3, COMT, NR3C1, CDC14A, EEF1B2, ABHD10, IPO9, FNTA, PAPOLG, CWC22, MAP2K4, TRAPPC2L, IST1, PIPOX, FTSJ1, RNF40, RBX1, PPIE, UBE2V1, SRSF5, ISCU, PSMD11, CUL5, PSMD13, DIABLO, KLC1, GTF2E1, ATXN3, HMBOX1, STK36, TBC1D14, NDUFV2, TBC1D17, EIF2B5, OSBPL9, BRPF3, VTA1, ASPSCR1, CNOT4, NSFL1C, COPS6, EIF2S3, ARPC2, UBXN11, CNOT2, CAPRIN1, SP3, MKRN1, CNOT3, TBXAS1, NF1, PIN1, TAB2, UBA1, TAB1, UBE2K, LRCH3, EIF4G1, YWHAE, CHD9, BICD1, CDC73, DUSP12, RBM4, DBT, CASP2, HIF1AN, TNPO1, ACP1, USP47, ACTR2, RAD23A, SETBP1, POLR1C, CRY2, ST20-MTHFS, ATG4B, MCM5, USP40, DOCK1, CRK, DCTN6, RAB1A, HDAC5, VAC14, PRPS1, USP15, USP10, RAB1B, GOSR1, RBM4B, GNA13, SAP18, EIF4B, SH2B1, PTCD3, ATF7IP, RRM1, FKRP, USP21, RPL35A, FBXL18, CFLAR, CDC42BPA, PNRC2, NECAP1, RPS6KB1, APC, DNAJA3, EIF3J, BAX, NUP35, ACIN1, ABCE1, RAN, TNRC6B, METAP2	586	5629	20660	1.52823900122295	1.58E-11	3.94E-12	3.83E-12
GOTERM_CC_DIRECT	GO:0005743	mitochondrial inner membrane	48	7.3959938366718	3.86E-13	SLC25A3, COX7B, MTCH2, NDUFB5, MRPS14, MRPS11, MRPS12, SPG7, UQCR10, MRPL37, COX6A1, COX7C, MRPL35, MRPL32, RCC1L, MRPL11, MRPL1, ATP5F1B, RPS3, CYC1, ATP5MF-PTCD1, NDUFV2, NDUFA9, PTCD3, UQCC2, SPHK2, UQCC1, NDUFA3, MRPL49, NDUFC1, SDHC, EXOG, ERAL1, SDHD, COQ9, COQ6, MRPL52, COQ4, OXA1L, NDUFS8, NDUFS7, NDUFS4, TMEM126A, SPNS1, NDUFS3, UQCRC2, LETMD1, MCU	586	494	20660	3.42568155752995	2.19E-10	4.38E-11	4.25E-11
GOTERM_CC_DIRECT	GO:0005737	cytoplasm	228	35.1309707241911	0.00000000807	ITSN2, TP53TG3D, DCAF8, TPGS1, NFU1, KAT5, PPP2R1B, PPP4R2, WDR90, STMN1, CPNE1, UBAP2L, CDK5RAP3, EIF2A, ABHD14A-ACY1, WSB1, TYW3, ARMC8, ATG13, KNSTRN, RUFY1, EWSR1, ARHGAP19-SLIT1, ACOT2, PRR11, VPS28, RABL6, INTU, TERC, BRCC3, OAZ1, OAZ3, DHX30, PRPSAP2, PRRC1, SNX2, AFMID, PSMF1, ZNF268, BTF3, RPL41, ZNF383, CRADD, RDX, RANBP17, TRIP4, PUM1, GPN1, HNRNPM, RPS28, CCSER2, ITPA, CDC42SE2, RPAIN, WDR48, GDI1, MRPS11, SRA1, SMG7, KIF15, FARS2, RPTOR, BABAM1, HINT2, PCF11, RSPRY1, CCDC112, BRD2, CNTD1, MIOS, SPHK2, PRMT1, CACYBP, CCDC117, CA5BP1, SREBF2, MTF2, EXOC4, PICK1, RPL11, XIAP, FIGN, GNAI2, PSMB6, PTPA, PSMB4, PSMB5, RPS15A, EXOSC10, SRP72, PPP1R7, HSF1, EMC2, RPS3, RPL14, EPS15, AAMDC, PAK4, RPL19, LMLN, MTX1, YTHDF3, CARD8, NR1H3, XPO7, ELP4, HIPK3, MKLN1, PSMC5, PSMC6, PSMC3, SNX17, DLC1, SGSM2, UBAP1, CTNNB1, NCAPD2, EEF1AKMT3, NEK11, RIF1, CRTC1, JADE1, CASC3, NR3C1, CDC14A, EEF1B2, PTAR1, MAEA, IPO9, FNTA, NUSAP1, MAP3K4, GTF2I, PIAS3, TRAPPC2L, KCTD2, FTSJ1, RBX1, ILF3, MAP7D3, PSPC1, DMWD, UBE2V2, PPIE, SRSF3, UBE2V1, ISCU, ANKRD17, TSACC, KLC1, ATXN3, EMG1, HMBOX1, STK36, E4F1, TSNAXIP1, TBC1D17, TBC1D15, EIF2B5, ARHGEF37, ASPSCR1, NSFL1C, COPS6, EIF2S3, ARPC2, SP1, CNOT2, CAPRIN1, CNOT3, NF1, PIN1, TAB2, UBA1, NIT1, SAE1, UBE2K, LRCH3, ZCCHC2, EIF4G1, YWHAE, DDX47, CELF1, DUSP12, RBM4, DBT, ZIC1, CASP2, WDR7, HIF1AN, TNPO1, ACP1, USP47, ACTR2, UTP11, RBM19, RAD23A, MASTL, RER1, CRY2, ST20-MTHFS, ATG4B, DOCK1, CRK, CCDC40, ATG4D, DCTN6, HDAC5, PRPS1, USP15, USP10, AFG1L, HSD17B10, GNA13, RAB28, USP21, RPL35A, CFLAR, CDC42BPA, TPD52L2, RPS6KB1, APC, DNAJA3, RPS6KB2, BAX, CCM2, ABCE1, RAN, METAP2	586	5796	20660	1.38688091351691	0.00000458	0.000000763	0.00000074
GOTERM_CC_DIRECT	GO:0000502	proteasome complex	12	1.84899845916795	0.000000582	PSMB6, PSMC5, PSMB4, PSMD11, PSMC6, PSMB5, PSMC3, UBE3C, PSMD13, RAD23A, PSMF1, PAAF1	586	58	20660	7.2943391785336	0.00033	0.0000471	0.0000457
GOTERM_CC_DIRECT	GO:0016607	nuclear speck	32	4.9306625577812	0.00000433	HDAC5, TCERG1, SF3B2, JADE1, RBM4B, CASC3, NR3C1, SMC4, RBM4, CWC22, SAP18, BRD2, PIAS3, CHTOP, RBM19, PIAS1, UHMK1, RUFY1, MORF4L1, PSPC1, CRY2, ACIN1, PPIE, SRSF3, LUC7L3, TRIP11, PIN1, TAB1, SRSF5, TARDBP, NSRP1, DOCK1	586	445	20660	2.53526095793228	0.00245063206524965	0.000307	0.000298
