TF Name	TF Count	Comparison Name	Comparison Count	Combination	Combination Count
CEBPB	23	HES2	1	CEBPB-HES2	1
NFE2L2	6	FOSL2	4	CEBPB-FOSL2	1
ATF2	5	JUNB	2	CEBPB-JUNB	1
ATF7	6	JUN	6	CEBPB-JUN	2
FOS	4	CREB1	2	NFE2L2-FOSL2	1
NFE2	1	SPI1	2	NFE2L2-JUNB	1
NFYB	7	RUNX3	2	ATF2-CREB1	1
PBX3	1	IRF3	3	ATF2-SPI1	1
PKNOX1	1	USF2	5	ATF2-RUNX3	1
RUNX3	1	FOS	9	ATF7-CREB1	1
SPI1	5	SP1	1	ATF7-SPI1	1
USF1	9	NFYA	3	ATF7-RUNX3	1
YY1	7	PKNOX1	2	FOS-IRF3	1
ZBTB2	1	NFYB	2	NFE2-USF2	1
MAX	3	CBFB	1	NFYB-FOS	1
USF2	3	IRF4	1	NFYB-SP1	1
ZNF143	1	ATF3	7	NFYB-IRF3	1
ATF3	7	MAX	5	NFYB-NFYA	2
EGR2	2	TAF1	3	PBX3-PKNOX1	1
ZIC2	1	CTCF	8	PKNOX1-NFYB	1
ZNF10	1	TEAD4	1	RUNX3-CBFB	1
ZNF121	1	MYC	1	SPI1-IRF4	1
ZNF280D	1	NRF1	1	USF1-USF2	3
ZNF580	2	USF1	3	USF1-ATF3	2
ZNF623	2	SIX5	1	USF1-MAX	2
ZNF629	3	JUND	8	YY1-TAF1	3
IRF3	3	FOSL1	4	ZBTB2-CTCF	1
JUN	4	ZBTB21	2	CEBPB-CTCF	3
CEBPG	4	SP2	2	CEBPB-TEAD4	1
ELF1	1	MAZ	7	MAX-MYC	1
FOXA3	1	ZNF362	1	MAX-USF2	1
HLF	2	ZNF580	2	USF2-ATF3	1
JUND	5	ZNF146	1	USF2-MAX	1
MNT	2	ZNF664	1	YY1-NRF1	1
NFIL3	1	ZNF558	1	YY1-USF1	1
RFX1	4	ZNF629	1	ZNF143-SIX5	1
RFX3	1	ATF2	3	ATF3-JUND	2
BHLHE40	1	TFAP2A	1	ATF3-FOSL1	2
AFF1	1	NFE2L2	1	CEBPB-FOSL1	1
CEBPD	4	HLF	1	CEBPB-JUND	3
EGR1	1	ELF3	1	CEBPB-ATF3	2
ETV6	2	HMG20A	1	USF1-FOSL1	1
MAFF	1	NFIL3	1	ATF2-ZBTB21	1
NFE2L1	1	CEBPG	2	ATF2-SP2	1
NRF1	1	ATF7	4	EGR2-SP2	1
CREB1	3	SP5	1	EGR2-MAZ	1
ESRRA	1	ELF1	3	ZIC2-CTCF	1
GRHL2	1	ZNF184	1	ZNF10-CTCF	1
REST	1	ATF4	2	ZNF121-ZNF362	1
MXI1	2	CEBPD	1	ZNF280D-ZNF580	1
		CEBPB	2	ZNF580-ZNF580	1
		KLF13	1	ZNF580-ZNF146	1
		E4F1	2	ZNF623-ZNF664	1
		ELF4	2	ZNF623-ZNF558	1
		MAFG	1	ZNF629-ZNF629	1
		C11orf30	1	ZNF629-ATF2	1
		ZBTB2	1	ZNF629-ZBTB21	1
		GABPB1	2	CEBPB-FOS	3
		GRHL2	3	CEBPB-TFAP2A	1
		TFAP2C	2	IRF3-IRF3	1
		GABPA	1	IRF3-NFYA	1
		NR2F2	1	IRF3-NFYB	1
		DPF2	1	JUN-NFE2L2	1
		SMARCE1	1	NFE2L2-JUN	1
		MXI1	2	NFE2L2-JUND	1
				CEBPG-HLF	1
				ELF1-ELF3	1
				FOXA3-HMG20A	1
				HLF-NFIL3	1
				HLF-CEBPG	1
				JUN-JUN	1
				JUN-ATF7	1
				JUN-ATF2	1
				JUND-JUND	1
				JUND-ATF7	1
				JUND-ATF2	1
				JUND-JUN	1
				JUND-FOSL2	1
				MNT-MAX	1
				MNT-USF1	1
				NFIL3-CEBPG	1
				RFX1-SP5	1
				RFX1-ELF1	1
				RFX3-ELF1	1
				BHLHE40-MAZ	1
				NFE2L2-FOS	1
				NFE2L2-MAZ	1
				USF2-MAZ	1
				AFF1-ZNF184	1
				ATF3-ATF3	1
				ATF3-FOS	1
				ATF3-JUN	1
				CEBPB-ATF4	1
				CEBPB-ATF7	1
				CEBPD-CEBPD	1
				CEBPD-CEBPB	1
				CEBPD-ATF4	1
				CEBPD-ATF3	1
				EGR1-KLF13	1
				ETV6-E4F1	1
				ETV6-ELF4	1
				MAFF-MAFG	1
				NFE2L1-C11orf30	1
				NFYB-MAZ	1
				NFYB-PKNOX1	1
				NRF1-ZBTB2	1
				RFX1-MAZ	1
				SPI1-GABPB1	1
				SPI1-E4F1	1
				SPI1-ELF4	1
				SPI1-ELF1	1
				YY1-MAZ	1
				YY1-GABPB1	1
				ATF7-FOS	1
				ATF7-CEBPB	1
				ATF7-GRHL2	1
				CEBPB-GRHL2	1
				CEBPB-TFAP2C	1
				CEBPG-ATF7	1
				CEBPG-FOS	1
				CEBPG-GRHL2	1
				CREB1-FOS	1
				CREB1-TFAP2C	1
				CREB1-GABPA	1
				ESRRA-NR2F2	1
				FOS-FOSL2	1
				FOS-JUND	1
				FOS-DPF2	1
				GRHL2-SMARCE1	1
				REST-CTCF	1
				RFX1-CTCF	1
				MAX-MXI1	1
				MXI1-MAX	1
				MXI1-USF1	1
				USF1-MXI1	1
