peak_id	comparison	SqDiff
MM1_HSA_A549_BHLHE40	BHLHE40	0.005476316461904112
MM1_HSA_A549_BHLHE40	USF2	0.0359197805477127
MM1_HSA_A549_BHLHE40	CTCF	0.0033834670894268134
MM1_HSA_A549_BHLHE40	SREBF1	0.0462988844618612
MM1_HSA_A549_BHLHE40	MYC	0.038963327032136105
MM1_HSA_A549_CEBPB	CEBPB	6.000701793612295e-4
MM1_HSA_A549_CEBPB	HES2	0.1902273733280035
MM1_HSA_A549_CEBPB	FOSL2	0.2786944318054353
MM1_HSA_A549_CEBPB	JUNB	0.2624853559670797
MM1_HSA_A549_CEBPB	JUN	0.4185830005993652
MM1_HSA_A549_CHD2	CHD2	1.3323633036089193e-5
MM1_HSA_A549_CHD2	CTCF	0.0028097922674893317
MM1_HSA_A549_CHD2	E2F6	0.01218586608196998
MM1_HSA_A549_CHD2	USF2	0.011896072296145145
MM1_HSA_A549_CHD2	BHLHE40	0.011482652041142759
MM1_HSA_A549_CTCF	CTCF	6.264191489182557e-7
MM1_HSA_A549_CTCF	MAFK	0.004048706142741869
MM1_HSA_A549_CTCF	MAX	0.0027239449494602655
MM1_HSA_A549_CTCF	E2F6	0.01762456604060459
MM1_HSA_A549_CTCF	BHLHE40	0.01277465885342168
MM1_HSA_A549_E2F6	E2F6	9.641548270781559e-5
MM1_HSA_A549_E2F6	CTCF	0.006938544707911671
MM1_HSA_A549_E2F6	USF2	0.011485086412703687
MM1_HSA_A549_E2F6	MYC	0.013132554976176339
MM1_HSA_A549_E2F6	BHLHE40	0.015571782035806836
MM1_HSA_A549_ELK1	ELK1	0.0027700831024930744
MM1_HSA_A549_ELK1	CTCF	0.0027700831024930744
MM1_HSA_A549_ESRRA	ESRRA	0.0014936449759945145
MM1_HSA_A549_FOSL2	FOSL2	0.010647881070514306
MM1_HSA_A549_FOSL2	JUNB	0.020300437281789253
MM1_HSA_A549_FOSL2	JUN	0.016163238264639272
MM1_HSA_A549_FOSL2	NFE2L2	0.015188521280766986
MM1_HSA_A549_FOSL2	CEBPB	0.027825647624958663
MM1_HSA_A549_JUNB	JUNB	0.010345586110339526
MM1_HSA_A549_JUNB	FOSL2	0.01492763421575732
MM1_HSA_A549_JUNB	JUN	0.02291473781668209
MM1_HSA_A549_JUNB	NFE2L2	0.06858595193411317
MM1_HSA_A549_MAFK	MAFK	2.2313342542877373e-4
MM1_HSA_A549_MAFK	NFE2L2	0.023597019806850392
MM1_HSA_A549_MYC	MAX	0.02107180020811654
MM1_HSA_A549_MYC	CTCF	0.0042718612499466025
MM1_HSA_A549_MYC	USF2	0.00254081565205896
MM1_HSA_A549_MYC	BHLHE40	0.006694214876033058
MM1_HSA_A549_NFE2L2	NFE2L2	6.375585444095609e-4
MM1_HSA_A549_NFE2L2	MAFK	0.009273300399873641
MM1_HSA_A549_NFE2L2	FOSL2	0.11768052557871381
MM1_HSA_A549_NFE2L2	JUNB	0.15453173767696857
MM1_HSA_A549_PBX3	PBX3	3.25625662466615e-5
MM1_HSA_A549_REST	REST	2.7766479303577996e-5
MM1_HSA_A549_RFX5	RFX5	6.276487209135837e-4
MM1_HSA_A549_SREBF1	SREBF1	0.0452292963314688
MM1_HSA_A549_SREBF1	USF2	0.060290784844746356
MM1_HSA_A549_SREBF1	BHLHE40	0.034741430622177084
MM1_HSA_A549_SREBF1	CTCF	0.008224000384467514
MM1_HSA_A549_USF2	USF2	0.00403410393041303
MM1_HSA_A549_USF2	BHLHE40	0.037557796418285806
MM1_HSA_A549_USF2	SREBF1	0.029488191068166508
MM1_HSA_A549_USF2	CTCF	0.015955387476831243
MM1_HSA_A549_USF2	MYC	0.06501773524565548
MM1_HSA_A549_ZFP36	ZFP36	1.6926803687821804e-4
MM1_HSA_GM12878_ATF2	ATF2	0.006391653703139262
MM1_HSA_GM12878_ATF2	ATF7	0.0227490487641166
MM1_HSA_GM12878_ATF2	CREB1	0.3228291029420612
MM1_HSA_GM12878_ATF2	SPI1	0.3112355276683769
MM1_HSA_GM12878_ATF2	RUNX3	0.2150862380258736
MM1_HSA_GM12878_ATF3	ATF3	0.005584599536203985
MM1_HSA_GM12878_ATF3	USF1	0.006475333333333332
MM1_HSA_GM12878_ATF3	USF2	0.021890161984347064
MM1_HSA_GM12878_ATF3	NFE2	0.009318850331099854
MM1_HSA_GM12878_ATF3	MAX	0.030290373386935368
MM1_HSA_GM12878_ATF7	ATF7	0.0648873010705472
MM1_HSA_GM12878_ATF7	ATF2	0.08278909604046797
MM1_HSA_GM12878_ATF7	CREB1	0.33652915372777487
MM1_HSA_GM12878_ATF7	SPI1	0.18471021055278947
MM1_HSA_GM12878_ATF7	RUNX3	0.17748400890036992
MM1_HSA_GM12878_BACH1	BACH1	0.0030231645721500357
MM1_HSA_GM12878_BATF	BATF	0.009599469487746893
MM1_HSA_GM12878_BATF	JUNB	0.022204276569401903
MM1_HSA_GM12878_BATF	BATF3	0.012201415087079746
MM1_HSA_GM12878_BATF	RUNX3	0.008231298928031861
MM1_HSA_GM12878_BATF	SPI1	0.03039101405212742
MM1_HSA_GM12878_BCL11A	IRF4	0.025069444444444443
MM1_HSA_GM12878_BCL11A	ETV6	0.01986397009143732
MM1_HSA_GM12878_BHLHE40	BHLHE40	0.0020946987130462578
MM1_HSA_GM12878_BHLHE40	USF1	0.023704052022483414
MM1_HSA_GM12878_BHLHE40	USF2	0.029595332771758992
MM1_HSA_GM12878_BHLHE40	ATF3	0.04097855710867416
MM1_HSA_GM12878_BHLHE40	NFE2	0.04250921699548635
MM1_HSA_GM12878_CBFB	CBFB	0.0015519164455753108
MM1_HSA_GM12878_CBFB	RUNX3	0.004261752590134983
MM1_HSA_GM12878_CBFB	SPI1	0.010854063017820173
MM1_HSA_GM12878_CBFB	BCL11A	0.019009722222222226
MM1_HSA_GM12878_CBFB	ETV6	0.013088888888888891
MM1_HSA_GM12878_CREB1	CREB1	0.010264170676199417
MM1_HSA_GM12878_CREB1	ATF7	0.02330914299649357
MM1_HSA_GM12878_CREB1	ATF2	0.022980612003427034
MM1_HSA_GM12878_CREB1	SPI1	0.025919087053449672
MM1_HSA_GM12878_CREB1	SP1	0.039540233703460714
MM1_HSA_GM12878_CTCF	CTCF	0.06120143217123743
MM1_HSA_GM12878_CTCF	ZBTB2	0.07249757818991555
MM1_HSA_GM12878_CTCF	TRIM22	0.03148066480185555
MM1_HSA_GM12878_CTCF	ELF1	0.024488666161645595
MM1_HSA_GM12878_CTCF	SP1	0.023516617118651294
MM1_HSA_GM12878_E2F8	ELK1	0.003025
MM1_HSA_GM12878_E4F1	E4F1	0.0027126736111111114
MM1_HSA_GM12878_E4F1	ELF1	0.0027126736111111114
MM1_HSA_GM12878_E4F1	ELK1	0.010184327918525377
MM1_HSA_GM12878_E4F1	GABPA	0.0044444444444444444
MM1_HSA_GM12878_EBF1	EBF1	0.012537256491750899
MM1_HSA_GM12878_EBF1	MEF2B	0.036280314479238046
MM1_HSA_GM12878_EGR1	EGR1	4.865782052974597e-4
MM1_HSA_GM12878_EGR1	SP1	0.06929654831254556
MM1_HSA_GM12878_EGR1	ELF1	0.07070065822446456
MM1_HSA_GM12878_EGR1	CTCF	0.01259213474205014
MM1_HSA_GM12878_ELF1	ELF1	4.137615496953297e-4
MM1_HSA_GM12878_ELF1	SPI1	0.007524184629622769
