peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_A549_CEBPB	CEBPB	HES2	0.1902273733280035
MM1_HSA_A549_CEBPB	CEBPB	FOSL2	0.2786944318054353
MM1_HSA_A549_CEBPB	CEBPB	JUNB	0.2624853559670797
MM1_HSA_A549_CEBPB	CEBPB	JUN	0.4185830005993652
MM1_HSA_A549_NFE2L2	NFE2L2	FOSL2	0.11768052557871381
MM1_HSA_A549_NFE2L2	NFE2L2	JUNB	0.15453173767696857
MM1_HSA_GM12878_ATF2	ATF2	CREB1	0.3228291029420612
MM1_HSA_GM12878_ATF2	ATF2	SPI1	0.3112355276683769
MM1_HSA_GM12878_ATF2	ATF2	RUNX3	0.2150862380258736
MM1_HSA_GM12878_ATF7	ATF7	CREB1	0.33652915372777487
MM1_HSA_GM12878_ATF7	ATF7	SPI1	0.18471021055278947
MM1_HSA_GM12878_ATF7	ATF7	RUNX3	0.17748400890036992
MM1_HSA_GM12878_FOS	FOS	IRF3	0.09509208406916494
MM1_HSA_GM12878_NFE2	NFE2	USF2	0.1807514805537418
MM1_HSA_GM12878_NFYB	NFYB	FOS	0.16143736493020422
MM1_HSA_GM12878_NFYB	NFYB	SP1	0.10289514399492342
MM1_HSA_GM12878_NFYB	NFYB	IRF3	0.49853525094672796
MM1_HSA_GM12878_NFYB	NFYB	NFYA	0.4670323936733203
MM1_HSA_GM12878_PBX3	PBX3	PKNOX1	0.08532654320987654
MM1_HSA_GM12878_PKNOX1	PKNOX1	NFYB	0.10158568911604578
MM1_HSA_GM12878_RUNX3	RUNX3	CBFB	0.14645146172362275
MM1_HSA_GM12878_SPI1	SPI1	IRF4	0.09487939322411115
MM1_HSA_GM12878_USF1	USF1	USF2	0.13653979873550612
MM1_HSA_GM12878_USF1	USF1	ATF3	0.10868093792275757
MM1_HSA_GM12878_USF1	USF1	MAX	0.13172442482302246
MM1_HSA_GM12878_YY1	YY1	TAF1	0.12963749977037367
MM1_HSA_GM12878_ZBTB2	ZBTB2	CTCF	0.08631706242558769
MM1_HSA_H1-hESC_CEBPB	CEBPB	CTCF	0.2643839612107999
MM1_HSA_H1-hESC_CEBPB	CEBPB	TEAD4	0.23527964301324966
MM1_HSA_H1-hESC_MAX	MAX	MYC	0.32037015269807534
MM1_HSA_H1-hESC_MAX	MAX	USF2	0.1753078381168379
MM1_HSA_H1-hESC_USF1	USF1	USF2	0.1286147920740062
MM1_HSA_H1-hESC_USF1	USF1	MAX	0.15357095784968636
MM1_HSA_H1-hESC_USF1	USF1	ATF3	0.2372223585620664
MM1_HSA_H1-hESC_USF2	USF2	ATF3	0.16307020245413473
MM1_HSA_H1-hESC_USF2	USF2	MAX	0.15026649366728773
MM1_HSA_H1-hESC_YY1	YY1	TAF1	0.20902863028945728
MM1_HSA_H1-hESC_YY1	YY1	NRF1	0.3451675743025985
MM1_HSA_H1-hESC_YY1	YY1	USF1	0.08879571051140288
MM1_HSA_H1-hESC_ZNF143	ZNF143	SIX5	0.0853321053687395
MM1_HSA_HCT116_ATF3	ATF3	JUND	0.1202140869352913
