chr,start,end,annotation,geneName,transcript,distanceToTSS
chr1,16367028,16367028,promoter-TSS,SZRD1,ENST00000471507.5;ENST00000401089.3;ENST00000486763.5;ENST00000401088.9;ENST00000476423.5;ENST00000475554.5;ENST00000472351.5;ENST00000492354.1;ENST00000472461.1,59;196;206;213;214;214;218;236;682
chr1,25905115,25905115,promoter-TSS,STMN1,ENST00000374291.5,12
chr1,26900457,26900457,promoter-TSS,,ENST00000361720.10,9
chr1,31645165,31645165,promoter-TSS,,ENST00000585413.5;ENST00000609033.5;ENST00000589462.5;ENST00000624388.3;ENST00000593188.5;ENST00000609373.5;ENST00000587445.5;ENST00000591929.5;ENST00000609338.3;ENST00000373703.5;ENST00000478502.5;ENST00000489164.5;ENST00000492061.5;ENST00000496805.5;ENST00000472443.1,87;97;97;122;122;130;130;153;156;288;268;575;563;609;568
chr1,46303459,46303459,promoter-TSS,,ENST00000311672.10;ENST00000489056.5;ENST00000486951.1;ENST00000496387.5;ENST00000343304.10;ENST00000615587.4;ENST00000498402.2,238;238;247;249;92;195;184
chr1,52404672,52404672,promoter-TSS,,ENST00000257181.10;ENST00000487160.1;ENST00000474048.1;ENST00000371568.8;ENST00000371566.1,69;51;43;248;284
chr1,77682790,77682790,promoter-TSS,,ENST00000370801.8;ENST00000433749.5;ENST00000469944.1;ENST00000458763.2,131;114;146;114
chr1,77978302,77978302,promoter-TSS,DNAJB4,ENST00000487931.1;ENST00000477671.2;ENST00000484662.1,872;929;978
chr1,100249777,100249777,promoter-TSS,DBT,ENST00000370132.8;ENST00000681617.1;ENST00000681780.1;ENST00000370131.3,56;45;55;42
chr1,110034489,110034489,promoter-TSS,,ENST00000369795.8;ENST00000489059.1;ENST00000485775.5,134;136;142
