chr,start,end,annotation,geneName,transcript,distanceToTSS
chr1,778627,778627,promoter-TSS,,ENST00000655765.1;ENST00000412115.2;ENST00000670700.1;ENST00000429505.6;ENST00000657896.1;ENST00000434264.6;ENST00000457084.1;ENST00000658648.1;ENST00000656571.1;ENST00000665867.1;ENST00000669749.1;ENST00000666217.1;ENST00000665719.1;ENST00000651411.1;ENST00000589899.5;ENST00000609830.1;ENST00000443772.2;ENST00000506640.3;ENST00000692781.2,119;119;130;132;132;142;154;168;174;181;181;184;184;221;302;309;344;35;60
chr8,17156768,17156768,promoter-TSS,ZDHHC2,ENST00000523132.1,665
chr8,17414019,17414019,promoter-TSS,,ENST00000180173.10;ENST00000521857.5;ENST00000517317.5;ENST00000521177.1,667;691;711;490
chr8,22245116,22245116,promoter-TSS,,ENST00000306433.9;ENST00000519237.5;ENST00000397802.8;ENST00000518039.1;ENST00000385302.1,16;49;118;315;72
chr8,22440800,22440800,promoter-TSS,PPP3CC,ENST00000518852.5;ENST00000240139.10;ENST00000289963.12;ENST00000397775.7;ENST00000522000.1,18;277;323;335;564
chr8,22566425,22566425,promoter-TSS,SORBS3,ENST00000523348.1,612
chr8,23019318,23019318,promoter-TSS,,ENST00000665917.1;ENST00000502083.2,56;16
chr8,23084415,23084415,promoter-TSS,,ENST00000397703.6;ENST00000520607.1,59;11
chr8,25000074,25000074,promoter-TSS,,ENST00000670816.1,361
chr8,25184865,25184865,promoter-TSS,DOCK5,ENST00000481100.5;ENST00000653303.1,92;630
chr8,26291542,26291542,promoter-TSS,,ENST00000380737.8;ENST00000518254.5;ENST00000520329.5;ENST00000524169.5;ENST00000518397.5;ENST00000522535.5;ENST00000665949.1;ENST00000522150.5;ENST00000523473.5;ENST00000521095.5;ENST00000660435.1,33;13;13;2;71;292;439;570;574;576;742
chr8,27491207,27491207,promoter-TSS,EPHX2,ENST00000520623.5;ENST00000517536.5;ENST00000521400.6;ENST00000521780.5;ENST00000380476.7;ENST00000518379.5;ENST00000520666.1;ENST00000521684.1,81;81;63;55;40;14;11;2
chr8,27772686,27772686,promoter-TSS,RNU6-1276P,ENST00000365372.1;ENST00000356537.9;ENST00000520486.5;ENST00000520202.5;ENST00000523841.5;ENST00000519509.5;ENST00000522915.5;ENST00000524084.5;ENST00000517979.1,958;45;32;46;78;45;51;58;72
chr8,27774299,27774299,promoter-TSS,,ENST00000305188.13;ENST00000522378.5;ENST00000519637.1,254;254;369
chr8,28701502,28701502,promoter-TSS,,ENST00000696179.1;ENST00000696180.1;ENST00000696181.1;ENST00000220562.9;ENST00000696182.1;ENST00000696183.1;ENST00000696184.1;ENST00000696185.1;ENST00000696186.1;ENST00000519886.5;ENST00000696187.1;ENST00000501224.3;ENST00000659934.1;ENST00000523789.2;ENST00000520023.1;ENST00000519870.1,1;1;1;0;0;10;77;93;95;102;110;182;389;971;37;248
chr8,30094755,30094755,promoter-TSS,,ENST00000321250.13;ENST00000518001.1;ENST00000650149.1;ENST00000520682.5;ENST00000442880.6;ENST00000523116.5;ENST00000520739.5;ENST00000518192.5,652;654;660;664;669;724;731;893
chr8,30442722,30442722,promoter-TSS,RBPMS,ENST00000523717.5,1
chr8,37560359,37560359,promoter-TSS,,ENST00000522643.3;ENST00000665576.1;ENST00000661112.1;ENST00000669346.1;ENST00000667254.1;ENST00000661933.1;ENST00000662854.1,8;2;2;2;2;6;23
chr8,37762500,37762500,promoter-TSS,PLPBP,ENST00000520073.5;ENST00000523358.5;ENST00000523187.5;ENST00000518036.5;ENST00000328195.8;ENST00000523994.1,94;99;99;109;144;154
chr8,38380856,38380856,promoter-TSS,NSD3,ENST00000534539.1,34
chr1,244652919,244652919,promoter-TSS,DESI2,ENST00000263831.11;ENST00000484738.1;ENST00000302550.16;ENST00000418162.1,183;206;206;831
chr8,38787521,38787521,promoter-TSS,TACC1,ENST00000521528.6;ENST00000520973.5;ENST00000521935.5;ENST00000523834.1;ENST00000521154.1,584;584;641;800;839
chr8,38996241,38996241,promoter-TSS,,ENST00000678474.1;ENST00000676765.1;ENST00000466936.5;ENST00000676617.1;ENST00000677137.1;ENST00000677359.1;ENST00000678540.1;ENST00000676669.1;ENST00000677582.1;ENST00000679268.1;ENST00000676643.1;ENST00000481058.2;ENST00000676936.1;ENST00000677004.1;ENST00000677165.1;ENST00000677908.1;ENST00000678730.1;ENST00000678253.1;ENST00000487273.7;ENST00000676489.1;ENST00000481513.5;ENST00000481873.7;ENST00000379917.7;ENST00000468065.5;ENST00000521060.1,512;524;627;672;672;672;672;672;672;672;672;672;672;672;672;672;701;731;731;733;744;784;784;784;616
chr1,244863373,244863373,promoter-TSS,,ENST00000610145.2;ENST00000639628.2;ENST00000440865.2;ENST00000366525.8;ENST00000639880.1;ENST00000640001.1;ENST00000638301.1;ENST00000639667.1,408;978;266;422;991;991;997;991
chr8,42051972,42051972,promoter-TSS,,ENST00000265713.8;ENST00000406337.6;ENST00000396930.4;ENST00000648335.1;ENST00000649827.1;ENST00000485568.5;ENST00000647809.1;ENST00000648030.1;ENST00000650356.1;ENST00000470574.2;ENST00000426524.6,14;21;17;14;14;14;11;14;21;14;14
chr8,42338532,42338532,promoter-TSS,POLB,ENST00000532157.5;ENST00000520008.5;ENST00000518925.5;ENST00000519094.5;ENST00000530566.1;ENST00000522297.1;ENST00000265421.9;ENST00000522610.5;ENST00000519771.5,77;72;49;37;37;37;37;24;72
chr1,244971054,244971054,promoter-TSS,,ENST00000607453.1,33
chr8,43056302,43056302,promoter-TSS,FNTA,ENST00000526755.5;ENST00000302279.8;ENST00000527153.5;ENST00000533383.5;ENST00000533998.5;ENST00000524546.5;ENST00000531266.5;ENST00000533368.1;ENST00000525699.5;ENST00000529687.5,5;20;25;27;28;52;59;112;289;370
chr8,51899282,51899282,promoter-TSS,,ENST00000656129.1;ENST00000684825.1;ENST00000518942.3;ENST00000423716.1;ENST00000520357.1;ENST00000521612.1;ENST00000544451.2;ENST00000360540.9;ENST00000522514.6;ENST00000519559.1;ENST00000521344.1;ENST00000521046.1,13;0;32;366;432;451;95;183;245;311;168;257
chr8,55102464,55102464,promoter-TSS,XKR4,ENST00000622811.1,6
chr8,56211210,56211210,promoter-TSS,CHCHD7,ENST00000521831.5;ENST00000303759.3;ENST00000518169.1;ENST00000522366.5;ENST00000517636.5;ENST00000517933.5;ENST00000523532.5;ENST00000523667.5;ENST00000521982.5;ENST00000522166.1;ENST00000355315.8;ENST00000518801.5;ENST00000523975.5;ENST00000396723.9;ENST00000523061.5;ENST00000521524.5;ENST00000316981.8;ENST00000423799.6;ENST00000429357.2,475;545;575;578;578;578;578;578;578;578;578;587;587;588;597;599;62;89;89
chr8,56445478,56445478,promoter-TSS,,ENST00000518662.5;ENST00000685796.1;ENST00000662661.1,328;365;758
chr8,60660733,60660733,promoter-TSS,,ENST00000373384.4,86
chr8,63168640,63168640,promoter-TSS,YTHDF3,ENST00000617200.1;ENST00000623280.3;ENST00000522282.1;ENST00000519428.5;ENST00000539294.6;ENST00000621957.4;ENST00000517371.5;ENST00000615676.1;ENST00000621413.4;ENST00000612880.4;ENST00000617952.4;ENST00000619337.4;ENST00000621890.4;ENST00000613853.4;ENST00000621820.4;ENST00000603538.2,86;86;77;18;18;11;13;14;20;46;320;362;362;379;381;174
chr1,246566599,246566599,promoter-TSS,CNST,ENST00000366511.1;ENST00000366514.5,84;337
chr8,66667454,66667454,promoter-TSS,SGK3,ENST00000520044.5;ENST00000521113.1;ENST00000519289.1;ENST00000661636.1;ENST00000521889.5;ENST00000310421.5,141;160;161;163;197;222
chr8,67343758,67343758,promoter-TSS,,ENST00000607397.1;ENST00000262215.8;ENST00000519436.1,216;22;80
chr8,70403806,70403806,promoter-TSS,,ENST00000452400.7,1
chr8,73008880,73008880,promoter-TSS,,ENST00000678358.1;ENST00000679115.1;ENST00000517390.2;ENST00000522018.2;ENST00000677031.1;ENST00000678860.1;ENST00000678997.1;ENST00000276602.10;ENST00000676483.1;ENST00000678518.1;ENST00000276603.10;ENST00000518874.6;ENST00000518695.2,23;19;19;15;15;15;15;15;15;15;15;2;27
chr8,73747073,73747073,promoter-TSS,,ENST00000524300.6;ENST00000523558.5;ENST00000521210.5;ENST00000355780.9;ENST00000521451.5;ENST00000517542.5;ENST00000518502.5;ENST00000521293.5;ENST00000521447.5;ENST00000524104.5;ENST00000522962.5;ENST00000521419.5;ENST00000524191.5;ENST00000524113.5;ENST00000520945.5;ENST00000521736.5;ENST00000521845.5;ENST00000519818.5;ENST00000522061.5,232;232;232;232;188;193;169;232;223;232;254;184;190;232;232;232;232;229;232
chr8,73878815,73878815,promoter-TSS,,ENST00000702030.1;ENST00000651715.1;ENST00000358757.5;ENST00000602593.6;ENST00000517608.5;ENST00000650817.1;ENST00000422906.6;ENST00000651945.1;ENST00000419880.7;ENST00000519277.5;ENST00000519255.2,230;230;38;46;94;94;59;46;93;38;44
chr8,74321264,74321264,promoter-TSS,,ENST00000674612.1;ENST00000676354.1;ENST00000676143.1;ENST00000519947.1,175;240;429;62
chr8,75278375,75278375,promoter-TSS,,ENST00000504531.3;ENST00000675884.1,85;46
chr8,85177408,85177408,promoter-TSS,E2F5,ENST00000256117.9;ENST00000562577.1;ENST00000566000.1,203;366;345
chr1,248826092,248826092,promoter-TSS,MIR3124,ENST00000582636.1;ENST00000366472.6;ENST00000475978.1,284;176;456
chr10,135255,135255,promoter-TSS,,ENST00000704340.1;ENST00000704336.1;ENST00000704315.1;ENST00000381604.9;ENST00000381584.6;ENST00000602682.6;ENST00000704339.1;ENST00000403354.5;ENST00000704335.1;ENST00000704306.1;ENST00000627286.2;ENST00000704343.1;ENST00000402736.5;ENST00000704307.1;ENST00000397955.7;ENST00000704301.1;ENST00000704303.1,180;182;195;199;208;216;216;228;233;250;252;253;253;263;263;557;943
chr8,94553469,94553469,promoter-TSS,,ENST00000658286.1;ENST00000691473.1;ENST00000657799.1;ENST00000659133.3;ENST00000662944.1;ENST00000523011.1;ENST00000691575.1;ENST00000701441.1;ENST00000670081.1;ENST00000700813.1;ENST00000686492.1;ENST00000297591.10;ENST00000421249.2,198;198;205;228;243;252;254;261;261;286;296;0;59
chr8,95024994,95024994,promoter-TSS,,ENST00000519804.2;ENST00000396124.9;ENST00000518258.5;ENST00000523337.5;ENST00000517976.5;ENST00000520632.5;ENST00000522683.5;ENST00000518608.5;ENST00000454358.6;ENST00000520757.1,4;4;0;11;26;38;71;73;73;73
chr8,95134106,95134106,promoter-TSS,PLEKHF2,ENST00000519516.1,29
chr8,95269177,95269177,promoter-TSS,,ENST00000286688.6,23
chr8,97644216,97644216,promoter-TSS,,ENST00000336273.8;ENST00000519934.5;ENST00000522313.1;ENST00000659172.1,31;329;576;334
chr8,101262903,101262903,promoter-TSS,,ENST00000523121.1,0
chr10,1056907,1056907,promoter-TSS,,ENST00000704638.1;ENST00000704671.1;ENST00000704738.1;ENST00000650072.1;ENST00000704673.1;ENST00000704672.1,84;71;59;59;57;23
chr8,116765986,116765986,promoter-TSS,UTP23,ENST00000521703.5;ENST00000517814.1;ENST00000521071.1;ENST00000309822.7;ENST00000519443.1;ENST00000517820.1,518;521;522;537;569;585
chr8,118111133,118111133,promoter-TSS,EXT1,ENST00000436216.2,718
chr8,122782330,122782330,promoter-TSS,,ENST00000607710.2,738
chr8,124474814,124474814,promoter-TSS,,ENST00000303545.4;ENST00000499418.2;ENST00000669597.1;ENST00000530778.2;ENST00000690375.1;ENST00000519861.2;ENST00000693326.1,65;249;231;231;295;249;236
chr8,124848077,124848077,promoter-TSS,,ENST00000661165.1;ENST00000525292.7;ENST00000655637.1;ENST00000663965.2;ENST00000654805.1;ENST00000663940.1;ENST00000660300.1;ENST00000528090.5;ENST00000657296.1;ENST00000533516.2,520;535;542;542;593;657;664;688;966;34
chr8,134713032,134713032,promoter-TSS,,ENST00000377838.8;ENST00000523924.5;ENST00000523243.5;ENST00000523399.5,0;5;16;69
chr8,140511483,140511483,promoter-TSS,CHRAC1,ENST00000518971.1;ENST00000519618.1,434;498
chr8,143578238,143578238,promoter-TSS,,ENST00000623257.1;ENST00000449291.7;ENST00000525583.5;ENST00000488096.5;ENST00000532645.1;ENST00000480946.6;ENST00000462059.1,119;91;19;322;79;44;82
chr8,143716412,143716412,promoter-TSS,MAPK15,ENST00000484654.1;ENST00000475376.1;ENST00000338033.9;ENST00000395107.8;ENST00000395108.2,71;62;62;33;33
chr8,143793917,143793917,promoter-TSS,SCRIB,ENST00000525051.5,328
chr8,144522781,144522781,promoter-TSS,LRRC14,ENST00000530242.1;ENST00000529995.1,490;881
chr8,144792406,144792406,promoter-TSS,RPL8,ENST00000531975.5;ENST00000529163.5;ENST00000526668.5;ENST00000528296.5;ENST00000394920.6;ENST00000528957.6;ENST00000527914.5;ENST00000529920.5;ENST00000533397.5;ENST00000532702.1;ENST00000525232.5;ENST00000531767.1;ENST00000612162.1,348;15;446;280;16;15;16;262;252;21;14;13;414
chr9,3526706,3526706,promoter-TSS,RFX3-AS1,ENST00000423112.2;ENST00000382004.7;ENST00000617270.5;ENST00000449190.5,16;722;704;701
chr10,5412545,5412545,promoter-TSS,,ENST00000355029.9,11
chr9,4678829,4678829,promoter-TSS,CDC37L1,ENST00000381858.5;ENST00000381854.4;ENST00000479095.1,729;739;885
chr9,6015628,6015628,promoter-TSS,,ENST00000259569.6;ENST00000485372.1;ENST00000623170.1,3;15;2
chr9,14203612,14203612,promoter-TSS,,ENST00000435137.1,635
chr9,14779479,14779479,promoter-TSS,,ENST00000658686.1;ENST00000380894.5,450;53
chr9,19128300,19128300,promoter-TSS,,ENST00000276914.7;ENST00000380465.7;ENST00000380464.7;ENST00000475923.1;ENST00000472715.1,807;823;809;824;809
chr9,21813192,21813192,promoter-TSS,TUBB8P1,ENST00000447235.1,844
chr9,33290135,33290135,promoter-TSS,NFX1,ENST00000379521.8;ENST00000379540.8;ENST00000318524.6,376;380;409
chr9,33676794,33676794,promoter-TSS,,ENST00000667245.1;ENST00000667902.1;ENST00000627688.1;ENST00000447117.1,8;168;473;142
chr9,34620549,34620549,promoter-TSS,DCTN3,ENST00000378916.8;ENST00000259632.12;ENST00000421919.5;ENST00000341694.6;ENST00000477738.6;ENST00000378913.6;ENST00000378911.3,25;53;105;74;80;67;84
chr9,35675915,35675915,promoter-TSS,CA9,ENST00000493245.1;ENST00000490638.5,247;48
chr9,35812151,35812151,promoter-TSS,SPAG8,ENST00000463889.5;ENST00000484764.5;ENST00000497810.1;ENST00000479751.5;ENST00000495667.5;ENST00000472605.1;ENST00000471631.1,3;36;4;734;21;1;23
chr9,35814980,35814980,promoter-TSS,HINT2,ENST00000472085.5;ENST00000259667.6;ENST00000461169.1,11;61;40
chr10,7409808,7409808,promoter-TSS,SFMBT2,ENST00000361972.8,466
chr10,7411036,7411036,promoter-TSS,,ENST00000623134.1;ENST00000397167.6;ENST00000684547.1;ENST00000673876.1;ENST00000682896.1;ENST00000682101.1;ENST00000682043.1,562;1;62;45;152;65;29
chr9,38620984,38620984,promoter-TSS,FAM201A,ENST00000377680.3;ENST00000399703.6;ENST00000703205.1,103;387;620
chr9,62898140,62898140,promoter-TSS,,ENST00000467494.2;ENST00000667498.1;ENST00000654225.1;ENST00000586625.6;ENST00000662817.1;ENST00000666775.1;ENST00000591993.5;ENST00000445604.7;ENST00000654882.1;ENST00000585533.2;ENST00000665356.1,33;434;430;426;52;369;432;44;44;432;46
chr10,7623096,7623096,promoter-TSS,ITIH5,ENST00000476417.5,618
chr9,69672231,69672231,promoter-TSS,,ENST00000567129.1,517
chr9,78032351,78032351,promoter-TSS,,ENST00000286548.9,539
chr9,83979616,83979616,promoter-TSS,,ENST00000704057.1;ENST00000704058.1;ENST00000704014.1,4;4;163
chr9,87410244,87410244,promoter-TSS,,ENST00000692245.1,647
chr9,88388892,88388892,promoter-TSS,SPIN1,ENST00000483785.1,478
chr9,92670237,92670237,promoter-TSS,,ENST00000287996.8,105
chr9,93109315,93109315,promoter-TSS,CARD19,ENST00000488630.1,576
chr9,93184989,93184989,promoter-TSS,,ENST00000448039.6;ENST00000432730.6;ENST00000395477.6,58;58;58
chr9,93451281,93451281,promoter-TSS,,ENST00000277165.11;ENST00000375389.7;ENST00000698944.1;ENST00000483056.5;ENST00000428152.1;ENST00000428378.1,403;609;625;72;166;297
chr9,94166376,94166376,promoter-TSS,MIRLET7A1HG,ENST00000602703.1;ENST00000660581.1,86;85
chr9,95875956,95875956,promoter-TSS,,ENST00000426805.2;ENST00000466840.5;ENST00000433656.2;ENST00000412446.6;ENST00000660645.1;ENST00000660143.1;ENST00000429781.1;ENST00000669049.1;ENST00000702117.1;ENST00000657579.1;ENST00000427259.1;ENST00000670189.2;ENST00000671508.1;ENST00000691767.1;ENST00000448465.2;ENST00000321517.3,49;186;475;92;3;404;368;876;477;372;685;52;494;399;48;19
chr9,97238235,97238235,promoter-TSS,SUGT1P4-STRA6LP,ENST00000527128.5;ENST00000375204.2;ENST00000375206.6;ENST00000532209.1,213;247;261;409
chr9,97983932,97983932,promoter-TSS,ANP32B,ENST00000473205.1,659
chr9,97984548,97984548,promoter-TSS,ANP32B,ENST00000473205.1,43
chr9,98255859,98255859,promoter-TSS,,ENST00000465784.7;ENST00000375064.5;ENST00000342112.9;ENST00000375066.6,209;278;268;225
chr9,99819899,99819899,promoter-TSS,,ENST00000652827.1;ENST00000427039.1;ENST00000701815.1;ENST00000701763.1;ENST00000701493.1;ENST00000700913.1,21;9;9;3;19;4
chr10,12069033,12069033,promoter-TSS,,ENST00000263035.9;ENST00000437298.1,78;8
chr9,107490125,107490125,promoter-TSS,KLF4,ENST00000493306.1;ENST00000374672.5;ENST00000610832.1;ENST00000411706.1,687;355;358;994
chr9,109119929,109119929,promoter-TSS,,ENST00000374586.8,17
chr9,111661658,111661658,promoter-TSS,,ENST00000374293.5,52
chr9,111760203,111760203,promoter-TSS,SHOC1,ENST00000394777.8;ENST00000394779.7,669;669
chr9,113275561,113275561,promoter-TSS,,ENST00000374199.9;ENST00000374198.5;ENST00000490408.5;ENST00000374206.4,80;96;11;10
chr9,114845584,114845584,promoter-TSS,,ENST00000380194.3,9
chr9,120877336,120877336,promoter-TSS,,ENST00000373896.8;ENST00000436309.5;ENST00000312189.10;ENST00000456291.1,147;309;147;902
chr9,121370667,121370667,promoter-TSS,,ENST00000688457.1;ENST00000286713.7;ENST00000538954.5;ENST00000347359.3,72;416;362;413
chr9,122093396,122093396,promoter-TSS,,ENST00000321582.11;ENST00000373778.5;ENST00000474723.5;ENST00000685478.1;ENST00000487468.5,87;587;111;354;629
chr10,13348919,13348919,promoter-TSS,,ENST00000327347.10;ENST00000545675.5;ENST00000378614.8,625;620;638
chr9,123463011,123463011,promoter-TSS,DENND1A,ENST00000479305.5,987
chr9,125189701,125189701,promoter-TSS,PPP6C,ENST00000456642.1,81
chr9,125426130,125426130,promoter-TSS,,ENST00000655188.1,38
chr9,125748719,125748719,promoter-TSS,PBX3,ENST00000492314.3,211
chr1,1574618,1574618,promoter-TSS,,ENST00000366221.3;ENST00000378725.3;ENST00000359060.5,356;30;33
chr9,127264796,127264796,promoter-TSS,,ENST00000373387.9;ENST00000373386.6;ENST00000464616.6,21;126;205
chr9,127715756,127715756,promoter-TSS,,ENST00000373289.4;ENST00000335223.5;ENST00000543175.5;ENST00000456267.5;ENST00000414832.2;ENST00000416214.1,322;108;92;151;124;104
chr9,129111360,129111360,promoter-TSS,PTPA,ENST00000357197.8;ENST00000348141.9;ENST00000347048.8;ENST00000337738.6;ENST00000355007.7;ENST00000393370.7;ENST00000414331.5;ENST00000452489.6;ENST00000453358.5;ENST00000680523.1;ENST00000318080.7;ENST00000681689.1;ENST00000455396.2;ENST00000681118.1;ENST00000679520.1;ENST00000681911.1;ENST00000681622.1;ENST00000680093.1;ENST00000681325.1;ENST00000681627.1;ENST00000681040.1;ENST00000680117.1;ENST00000458362.5;ENST00000681725.1;ENST00000464290.5;ENST00000415948.6;ENST00000441796.1;ENST00000393384.3;ENST00000455830.2,45;23;48;52;53;54;74;327;507;568;566;814;678;676;649;649;612;608;568;622;577;568;577;568;170;649;590;648;687
chr9,130713063,130713063,promoter-TSS,,ENST00000372348.9;ENST00000674075.1;ENST00000393293.4,19;562;916
chr9,135499850,135499850,promoter-TSS,MRPS2,ENST00000371785.5;ENST00000462948.6;ENST00000472852.2;ENST00000485333.6;ENST00000488610.6;ENST00000241600.10;ENST00000429260.7;ENST00000371786.3;ENST00000419770.1,133;780;780;780;780;831;18;828;331
chr9,136849465,136849465,promoter-TSS,,ENST00000247665.12;ENST00000462205.5;ENST00000497413.1;ENST00000463215.1,55;39;38;313
chr9,137086624,137086624,promoter-TSS,,ENST00000682881.1;ENST00000683324.1;ENST00000684138.1;ENST00000683135.1;ENST00000542372.2;ENST00000371587.9;ENST00000684366.1;ENST00000684229.1;ENST00000683355.1;ENST00000682425.1;ENST00000683475.1;ENST00000682117.1;ENST00000682210.1;ENST00000684645.1;ENST00000684297.1;ENST00000544448.6;ENST00000682212.1;ENST00000545539.6;ENST00000683987.1;ENST00000684144.1;ENST00000371589.9;ENST00000475449.7;ENST00000535144.6;ENST00000683979.1;ENST00000684272.1;ENST00000684759.1;ENST00000545096.1;ENST00000540346.2,232;245;269;279;286;311;326;332;338;340;340;340;351;355;360;360;360;360;360;360;360;360;360;360;360;360;459;733
chr9,137188574,137188574,promoter-TSS,SSNA1,ENST00000459860.1;ENST00000322310.10;ENST00000463511.1;ENST00000464553.2;ENST00000323927.3;ENST00000618649.1,85;101;124;131;13;24
chr9,137200713,137200713,promoter-TSS,TPRN,ENST00000333046.8;ENST00000409012.6,607;27
chr9,137241344,137241344,promoter-TSS,,ENST00000340384.5;ENST00000604929.1,56;55
chr9,137665875,137665875,promoter-TSS,EHMT1,ENST00000636027.1,80
chrX,7148100,7148100,promoter-TSS,,ENST00000381077.10;ENST00000412827.6;ENST00000424830.6;ENST00000486446.3;ENST00000498474.2,52;52;57;24;51
