chr,start,end,annotation,geneName,transcript,distanceToTSS
chr22,49918421,49918421,promoter-TSS,,ENST00000328268.9;ENST00000404488.7;ENST00000483652.5;ENST00000403427.3;ENST00000407217.7;ENST00000482956.5;ENST00000330817.11,212;213;311;311;311;348;16
chr1,174999603,174999603,promoter-TSS,CACYBP,ENST00000483307.1;ENST00000367679.7;ENST00000473925.1;ENST00000406752.1;ENST00000405362.1;ENST00000670650.1,341;343;351;577;609;19
chr1,175023438,175023438,promoter-TSS,MRPS14,ENST00000476371.1;ENST00000367677.3;ENST00000383932.1,12;22;857
chr22,50343367,50343367,promoter-TSS,PPP6R2,ENST00000359139.7;ENST00000395741.7;ENST00000612753.5;ENST00000395744.7,62;43;39;35
chr22,50475051,50475051,promoter-TSS,,ENST00000689129.1;ENST00000380817.8;ENST00000688848.1;ENST00000693052.1;ENST00000693440.1;ENST00000690990.1;ENST00000688124.1;ENST00000348911.11;ENST00000691233.1;ENST00000689981.1;ENST00000685809.1;ENST00000687016.1;ENST00000690369.1;ENST00000684986.1;ENST00000687704.1;ENST00000686222.1;ENST00000691792.1;ENST00000686427.1;ENST00000688066.1;ENST00000686801.1;ENST00000399627.4;ENST00000691344.1;ENST00000690155.1,19;15;54;44;38;31;27;25;17;15;9;34;264;25;31;27;20;117;40;26;201;15;24
chr22,50508241,50508241,promoter-TSS,,ENST00000420993.7;ENST00000395698.7;ENST00000395701.7;ENST00000518394.5;ENST00000523045.5;ENST00000418794.1;ENST00000299821.15;ENST00000474879.7;ENST00000216080.5;ENST00000507607.1,16;1;2;3;4;17;18;538;556;990
chr22,50582242,50582242,promoter-TSS,CHKB-DT,ENST00000380711.3;ENST00000656328.1;ENST00000648558.1;ENST00000666183.1,783;877;913;936
chr3,12664149,12664149,promoter-TSS,,ENST00000702772.1;ENST00000688543.1;ENST00000685348.1;ENST00000251849.9;ENST00000442415.7;ENST00000688444.1;ENST00000692093.1;ENST00000691724.1;ENST00000423275.6;ENST00000688803.1;ENST00000687326.1;ENST00000689876.1;ENST00000686455.1;ENST00000684903.1;ENST00000693312.1;ENST00000688625.1;ENST00000692773.1;ENST00000690460.1;ENST00000686762.1;ENST00000693664.1;ENST00000691899.1;ENST00000689097.1;ENST00000693705.1;ENST00000688269.1;ENST00000687923.1;ENST00000685738.1;ENST00000690397.1;ENST00000691779.1;ENST00000692558.1;ENST00000692311.1;ENST00000689914.1;ENST00000690625.1;ENST00000689389.1;ENST00000687257.1;ENST00000686409.1;ENST00000689540.1;ENST00000691396.1;ENST00000685437.1;ENST00000689418.1;ENST00000687940.1;ENST00000689481.1;ENST00000491290.2;ENST00000686479.1;ENST00000689033.1;ENST00000692777.1;ENST00000689226.1;ENST00000685740.1;ENST00000691718.1;ENST00000692959.1;ENST00000688779.1,160;37;13;31;31;36;22;37;49;32;31;35;0;51;53;59;58;31;61;53;640;282;262;63;37;31;31;23;1;9;18;59;28;27;71;656;22;31;26;13;229;13;7;863;34;50;31;31;31;31
chr3,14178867,14178867,promoter-TSS,,ENST00000306024.4;ENST00000285021.12;ENST00000476581.6;ENST00000511155.1,49;265;265;245
chr3,14948246,14948246,promoter-TSS,NR2C2,ENST00000475707.5;ENST00000424349.1;ENST00000655923.1;ENST00000665738.1;ENST00000661022.1;ENST00000417835.1;ENST00000440079.1;ENST00000693748.1,385;738;707;736;479;352;740;787
chr3,32570782,32570782,promoter-TSS,,ENST00000273130.9;ENST00000481915.5;ENST00000432458.6;ENST00000413350.5;ENST00000424991.1;ENST00000475193.1;ENST00000474077.1,75;88;75;528;75;42;75
chr3,38453913,38453913,promoter-TSS,,ENST00000352511.5;ENST00000465020.5,22;405
chr3,38496436,38496436,promoter-TSS,EXOG,ENST00000443942.5;ENST00000287675.10;ENST00000630638.1;ENST00000431472.5;ENST00000447573.5;ENST00000489813.1;ENST00000422077.6;ENST00000454803.6;ENST00000438992.5;ENST00000457367.5;ENST00000453767.1;ENST00000450732.1;ENST00000470291.6;ENST00000474071.5,95;95;93;93;92;90;90;90;70;70;44;48;55;301
chr3,39052022,39052022,promoter-TSS,WDR48,ENST00000423296.6;ENST00000413099.6;ENST00000302313.10;ENST00000433841.6;ENST00000420940.6;ENST00000441361.1;ENST00000302328.9;ENST00000668754.1;ENST00000665106.1;ENST00000676333.1;ENST00000675269.1,8;5;5;2;1;278;77;80;80;58;37
chr3,40453211,40453211,promoter-TSS,ENTPD3-AS1,ENST00000439293.5;ENST00000669707.1;ENST00000425156.5;ENST00000668358.1;ENST00000452768.5;ENST00000689117.1;ENST00000702495.1,24;36;93;84;30;30;36
chr3,41199488,41199488,promoter-TSS,CTNNB1,ENST00000396185.8;ENST00000642986.1;ENST00000644678.1;ENST00000396183.7;ENST00000643031.1;ENST00000645982.1;ENST00000453024.6;ENST00000647264.1;ENST00000645900.1;ENST00000646174.1;ENST00000643992.1;ENST00000647390.1;ENST00000642886.1;ENST00000643052.1;ENST00000488914.2;ENST00000644138.1;ENST00000645276.1;ENST00000646074.1;ENST00000642426.1;ENST00000349496.11;ENST00000646116.1;ENST00000644873.1;ENST00000643865.1;ENST00000644867.1;ENST00000646725.1;ENST00000645493.1;ENST00000646369.1;ENST00000647413.1;ENST00000643977.1;ENST00000644524.1;ENST00000645305.1;ENST00000643297.1;ENST00000450969.6;ENST00000642315.1,98;70;68;53;53;45;42;17;17;15;8;1;1;0;11;16;16;16;16;16;36;49;114;132;147;212;224;247;247;591;621;622;623;654
chr1,180632055,180632055,promoter-TSS,,ENST00000367590.9;ENST00000367589.3,32;22
chr3,44761676,44761676,promoter-TSS,KIF15,ENST00000438321.5;ENST00000326047.9;ENST00000481166.6;ENST00000484437.1;ENST00000296121.6,44;117;185;164;56
chr3,44861893,44861893,promoter-TSS,MIR564,ENST00000385049.1;ENST00000477126.1;ENST00000302392.5,4;10;18
chr3,45388580,45388580,promoter-TSS,,ENST00000650792.2;ENST00000414984.5;ENST00000265537.8;ENST00000431023.6;ENST00000651549.1;ENST00000645846.2;ENST00000652135.1;ENST00000430399.1;ENST00000642274.1,18;15;6;3;3;3;25;38;255
chr3,47282945,47282945,promoter-TSS,KLHL18,ENST00000433449.5;ENST00000232766.6;ENST00000437353.5;ENST00000461084.5;ENST00000442272.1;ENST00000483201.1;ENST00000684063.1;ENST00000444589.6;ENST00000452770.6;ENST00000487440.5;ENST00000443784.5;ENST00000456548.5;ENST00000425853.5;ENST00000432493.5;ENST00000425452.1;ENST00000498584.1,27;0;0;0;1;13;145;97;367;97;407;192;426;178;746;178
