chr,start,end,annotation,geneName,transcript,distanceToTSS
chr8,17923003,17923003,promoter-TSS,PCM1,ENST00000518930.1;ENST00000325083.13;ENST00000517545.5;ENST00000517730.5;ENST00000518537.5;ENST00000518936.5;ENST00000523055.5;ENST00000519253.5,34;14;12;12;3;2;6;24
chr8,20197404,20197404,promoter-TSS,,ENST00000276390.7;ENST00000523482.5;ENST00000523478.5;ENST00000520830.1;ENST00000519667.1,22;0;0;19;34
chr8,21919779,21919779,promoter-TSS,XPO7,ENST00000521303.5;ENST00000519769.5,21;18
chr8,28890376,28890376,promoter-TSS,HMBOX1,ENST00000519662.5;ENST00000558662.5;ENST00000287701.15;ENST00000523613.5;ENST00000560599.5;ENST00000397358.7;ENST00000560357.5;ENST00000519047.5;ENST00000521516.5;ENST00000560269.1;ENST00000355231.9;ENST00000523303.5;ENST00000521022.6;ENST00000416984.6;ENST00000521777.5;ENST00000522363.5;ENST00000520983.5;ENST00000523436.5;ENST00000518510.5;ENST00000520184.1;ENST00000520831.1,18;18;18;27;27;27;33;248;248;547;939;462;406;133;460;433;454;466;448;441;397
chr8,30082969,30082969,promoter-TSS,,ENST00000256255.11;ENST00000521265.5;ENST00000518340.1;ENST00000522794.1;ENST00000522055.1;ENST00000517569.1;ENST00000521083.1,94;20;3;544;94;1;73
chr8,38105540,38105540,promoter-TSS,ASH2L,ENST00000545394.2;ENST00000517719.5;ENST00000343823.11;ENST00000517496.5;ENST00000428278.6;ENST00000521652.5,46;39;10;9;252;398
chr1,244835357,244835357,promoter-TSS,COX20,ENST00000366528.3;ENST00000391839.6;ENST00000411948.7;ENST00000498262.1;ENST00000666823.1,258;298;300;301;345
chr8,42843331,42843331,promoter-TSS,THAP1,ENST00000254250.7;ENST00000345117.2;ENST00000529779.1;ENST00000532093.1,5;25;129;542
chr8,43093900,43093900,promoter-TSS,,ENST00000675501.1,550
chr8,48008485,48008485,promoter-TSS,UBE2V2,ENST00000523432.5;ENST00000521346.5;ENST00000523111.7;ENST00000518360.5;ENST00000517630.5,69;65;53;42;33
chr8,58411373,58411373,promoter-TSS,UBXN2B,ENST00000522978.1;ENST00000399598.7;ENST00000520732.5;ENST00000523409.5,13;11;7;7
chr8,74350468,74350468,promoter-TSS,,ENST00000675928.1;ENST00000674754.1;ENST00000675706.1;ENST00000676443.1;ENST00000675625.1;ENST00000674934.1;ENST00000676112.1;ENST00000674926.1;ENST00000674710.1;ENST00000675060.1;ENST00000434412.3;ENST00000674944.1;ENST00000675832.1;ENST00000675336.1;ENST00000675633.1;ENST00000675165.1;ENST00000674973.1;ENST00000220822.12;ENST00000675999.1;ENST00000523640.2;ENST00000524195.2;ENST00000675560.1;ENST00000675472.1;ENST00000675463.1;ENST00000676207.1;ENST00000522568.2;ENST00000674865.1;ENST00000524366.6;ENST00000676049.1;ENST00000674756.1;ENST00000676415.1;ENST00000675661.1;ENST00000675007.1;ENST00000674946.1;ENST00000676120.1;ENST00000675265.1;ENST00000520797.6;ENST00000675565.1;ENST00000521872.1,72;72;72;72;72;71;71;71;67;64;64;64;64;64;64;64;64;64;64;64;64;64;58;58;54;51;49;41;33;33;23;23;23;23;21;13;276;871;417
chr8,80030239,80030239,promoter-TSS,,ENST00000276585.9;ENST00000519386.5;ENST00000521434.5;ENST00000521605.1;ENST00000519120.1;ENST00000520946.1;ENST00000518271.1;ENST00000522987.1,19;399;326;49;274;264;6;14
chr8,81280663,81280663,promoter-TSS,FABP5,ENST00000396359.1;ENST00000517670.1,203;11
chr8,81721256,81721256,promoter-TSS,,ENST00000220669.10;ENST00000523096.5;ENST00000522520.5;ENST00000519464.5;ENST00000521895.5;ENST00000521287.5;ENST00000523431.5;ENST00000517588.5;ENST00000519523.5;ENST00000517450.5;ENST00000518419.5;ENST00000520076.5;ENST00000524339.5;ENST00000519820.5;ENST00000523012.1,43;43;32;30;25;38;33;6;31;43;14;26;38;43;11
chr1,15976078,15976078,promoter-TSS,,ENST00000375743.9;ENST00000537142.5;ENST00000375733.6;ENST00000479282.5,22;0;53;25
chr8,93740993,93740993,promoter-TSS,,ENST00000523945.1;ENST00000519109.6;ENST00000517700.6;ENST00000518597.2;ENST00000520560.6;ENST00000399300.7,199;274;3;7;15;23
chr8,94823280,94823280,promoter-TSS,INTS8,ENST00000521860.5;ENST00000523731.6;ENST00000519457.5;ENST00000519053.5;ENST00000524333.5;ENST00000523321.5;ENST00000343161.8;ENST00000523206.5,69;6;9;17;18;26;95;95
chr8,96235523,96235523,promoter-TSS,,ENST00000520575.1;ENST00000671278.1;ENST00000287022.10;ENST00000517603.5;ENST00000521036.5;ENST00000518876.1;ENST00000518406.5;ENST00000523920.1;ENST00000519322.1,95;117;21;19;22;20;15;22;21
chr8,102412685,102412685,promoter-TSS,,ENST00000520539.6;ENST00000220959.8;ENST00000521922.5,14;3;73
chr8,108248698,108248698,promoter-TSS,,ENST00000678042.1;ENST00000678773.1;ENST00000220849.10;ENST00000678937.1;ENST00000523674.2;ENST00000677674.1;ENST00000676892.1;ENST00000676706.1;ENST00000518100.6;ENST00000521297.2;ENST00000522352.6;ENST00000676698.1;ENST00000519627.2;ENST00000519030.6;ENST00000518345.2;ENST00000522445.6;ENST00000677965.1;ENST00000676642.1;ENST00000678901.1;ENST00000678243.1;ENST00000678004.1;ENST00000677590.1;ENST00000677272.1;ENST00000677746.1;ENST00000677447.1;ENST00000676548.1;ENST00000521440.6;ENST00000522887.1,25;31;18;18;20;20;76;27;17;20;21;31;27;34;31;19;11;17;19;19;19;166;20;6;31;31;28;18
