chr,start,end,annotation,geneName,transcript,distanceToTSS
chr1,3900680,3900680,promoter-TSS,C1orf174,ENST00000486765.5;ENST00000474140.1;ENST00000361605.4;ENST00000680169.1;ENST00000679946.1;ENST00000681823.1;ENST00000680279.1;ENST00000680054.1;ENST00000679703.1;ENST00000680535.1;ENST00000679929.1,432;386;407;458;428;421;419;407;401;421;426
chr1,26694907,26694907,promoter-TSS,,ENST00000569378.1,775
chr1,27914710,27914710,promoter-TSS,,ENST00000373912.8;ENST00000373909.7;ENST00000313433.11;ENST00000444045.1,134;35;196;121
chr1,28328881,28328881,promoter-TSS,MED18,ENST00000479574.5;ENST00000373842.9;ENST00000398997.2;ENST00000475655.1,120;158;173;180
chr1,77779542,77779542,promoter-TSS,MIGA1,ENST00000443751.3;ENST00000645756.1;ENST00000643143.1;ENST00000643390.1;ENST00000642959.1;ENST00000370791.8;ENST00000646892.1;ENST00000645526.1;ENST00000410917.1,81;87;87;87;93;106;220;232;361
chr1,89994854,89994854,promoter-TSS,,ENST00000340281.9;ENST00000394583.7;ENST00000361911.9;ENST00000370447.3;ENST00000380526.2,255;257;279;282;532
chr1,100037275,100037275,promoter-TSS,,ENST00000370152.8,819
chr1,111449461,111449461,promoter-TSS,,ENST00000369722.8;ENST00000369721.8;ENST00000483994.1;ENST00000468818.1;ENST00000464154.1;ENST00000235090.10;ENST00000449340.1;ENST00000459665.1,2;3;22;23;220;204;731;569
chr1,151070689,151070689,promoter-TSS,,ENST00000368918.8;ENST00000489549.5;ENST00000486076.5;ENST00000439374.6,71;87;114;363
chr1,151458256,151458256,promoter-TSS,,ENST00000703169.1,578
chr1,155219099,155219099,promoter-TSS,GBAP1,ENST00000459805.5;ENST00000689679.1;ENST00000692121.2;ENST00000691206.2;ENST00000692285.1;ENST00000486869.5;ENST00000693555.1;ENST00000687403.1;ENST00000685784.1;ENST00000691677.1;ENST00000689471.1;ENST00000691975.1;ENST00000688011.1;ENST00000692779.1;ENST00000462587.2;ENST00000687187.1;ENST00000692820.1;ENST00000702765.1;ENST00000689512.1;ENST00000685216.1;ENST00000687632.1;ENST00000473223.5;ENST00000486197.6;ENST00000689630.1;ENST00000701450.1;ENST00000701919.1;ENST00000701657.1;ENST00000702851.1;ENST00000566701.5,174;84;66;58;73;155;105;100;99;93;87;87;81;79;75;74;65;58;54;53;53;80;79;110;76;74;54;79;224
chr1,155934623,155934623,promoter-TSS,KHDC4,ENST00000368320.7;ENST00000368321.8;ENST00000368319.3;ENST00000482337.5;ENST00000466713.1;ENST00000491599.1,223;209;249;232;224;222
chr1,156193948,156193948,promoter-TSS,SLC25A44,ENST00000423538.6;ENST00000684582.1;ENST00000359511.5,15;154;155
chr1,161132859,161132859,promoter-TSS,,ENST00000368006.8;ENST00000458050.6;ENST00000545495.5;ENST00000489249.5;ENST00000490843.6;ENST00000464113.1;ENST00000473679.6;ENST00000463227.5;ENST00000496632.1,191;392;170;286;191;270;408;382;707
chr1,161765533,161765533,promoter-TSS,,ENST00000680688.1;ENST00000679853.1;ENST00000681779.1;ENST00000681801.1;ENST00000681738.1;ENST00000681492.1;ENST00000679886.1;ENST00000681169.1;ENST00000681001.1;ENST00000367942.4;ENST00000680462.1;ENST00000681187.1;ENST00000680180.1;ENST00000680481.1;ENST00000680633.1;ENST00000681912.1;ENST00000681557.1;ENST00000679833.1;ENST00000681541.1,764;775;777;777;777;786;786;786;786;786;787;787;787;787;788;808;808;822;981
chr1,167936338,167936338,promoter-TSS,DCAF6,ENST00000470919.5;ENST00000432587.6;ENST00000367843.7;ENST00000470721.5;ENST00000367840.4;ENST00000312263.10;ENST00000455334.5;ENST00000367846.8,63;220;322;334;344;369;814;297
chr1,169894189,169894189,promoter-TSS,,ENST00000367771.11;ENST00000367772.8;ENST00000423670.1;ENST00000470238.1,292;229;77;236
chr1,170538776,170538776,promoter-TSS,GORAB,ENST00000498600.2;ENST00000684929.1,285;403
chr1,173824526,173824526,promoter-TSS,DARS2,ENST00000648960.1;ENST00000648807.1;ENST00000647788.1;ENST00000649067.1;ENST00000647730.1;ENST00000649689.2;ENST00000648271.1;ENST00000647645.1;ENST00000471476.2;ENST00000648055.1;ENST00000650297.1;ENST00000648458.1;ENST00000356198.6;ENST00000345664.10;ENST00000367710.7;ENST00000496683.5;ENST00000460816.5;ENST00000484920.5;ENST00000493233.1;ENST00000495275.1,126;126;134;136;136;146;157;181;185;316;320;433;203;393;351;394;190;506;380;52
chr1,179954612,179954612,promoter-TSS,,ENST00000706241.1;ENST00000490047.2;ENST00000706238.1;ENST00000491495.2;ENST00000357434.3;ENST00000367607.8;ENST00000706263.1;ENST00000706265.1;ENST00000418229.6;ENST00000429851.6;ENST00000567904.2,61;125;133;160;192;197;448;448;448;448;92
chr1,222712730,222712730,promoter-TSS,BROX,ENST00000537020.5;ENST00000539697.5;ENST00000426638.1;ENST00000473962.5;ENST00000469236.5;ENST00000489191.1;ENST00000340020.11;ENST00000474863.5;ENST00000355727.3;ENST00000470437.5,590;590;638;645;650;670;238;6;301;466
chr1,234606328,234606328,promoter-TSS,,ENST00000436039.1,679
chr1,234608094,234608094,promoter-TSS,IRF2BP2,ENST00000491430.1,0
chr1,248826109,248826109,promoter-TSS,MIR3124,ENST00000582636.1;ENST00000366472.6;ENST00000475978.1,267;193;473
chr10,51699871,51699871,promoter-TSS,,ENST00000331173.6,275
chr10,63133057,63133057,promoter-TSS,NRBF2,ENST00000435510.6;ENST00000277746.11,189;270
chr10,84139267,84139267,promoter-TSS,,ENST00000691609.1;ENST00000372134.6;ENST00000690587.1;ENST00000686583.1;ENST00000691751.1;ENST00000690067.1;ENST00000687085.1;ENST00000692871.1;ENST00000691155.1;ENST00000690920.1;ENST00000688802.1;ENST00000686247.1;ENST00000690283.1,214;241;265;273;287;287;290;291;301;306;316;328;545
chr10,101353764,101353764,promoter-TSS,BTRC,ENST00000393441.8;ENST00000475200.5;ENST00000408038.6;ENST00000370187.8;ENST00000465182.1;ENST00000370183.2,268;304;342;400;417;769
chr10,102453018,102453018,promoter-TSS,RPARP-AS1,ENST00000598368.1,821
chr10,102743628,102743628,promoter-TSS,,ENST00000448841.7;ENST00000647664.1,319;353
chr11,16738278,16738278,promoter-TSS,C11orf58,ENST00000524439.5;ENST00000228136.9;ENST00000528634.5;ENST00000525684.1;ENST00000525256.1,365;368;379;379;380
chr11,17170082,17170082,promoter-TSS,PIK3C2A,ENST00000265970.11,340
chr11,33039476,33039476,promoter-TSS,TCP11L1,ENST00000532687.5;ENST00000530419.5;ENST00000334274.9;ENST00000527661.5;ENST00000530171.5;ENST00000528107.5;ENST00000602733.5;ENST00000432887.5;ENST00000528898.1;ENST00000531632.6,58;58;95;95;110;309;325;538;551;554
chr11,45355402,45355402,promoter-TSS,,ENST00000524410.1;ENST00000667593.1;ENST00000668755.3;ENST00000669834.2;ENST00000687184.2;ENST00000670220.1;ENST00000660758.1;ENST00000656602.2;ENST00000524488.1;ENST00000524565.1,30;26;50;57;62;67;67;74;97;98
chr11,64270155,64270155,promoter-TSS,GPR137,ENST00000546139.5,92
chr11,65487475,65487475,promoter-TSS,,ENST00000665037.1;ENST00000689737.2,408;490
chr11,65498579,65498579,promoter-TSS,MALAT1,ENST00000620902.1;ENST00000617791.1;ENST00000544868.2;ENST00000602344.2,462;462;462;37
chr11,67006618,67006618,promoter-TSS,SYT12,ENST00000393946.6,159
chr11,75400208,75400208,promoter-TSS,SNORD15A,ENST00000384214.1;ENST00000528847.1;ENST00000525933.1;ENST00000525690.1;ENST00000530170.1,182;195;483;483;486
chr11,123059249,123059249,promoter-TSS,HSPA8,ENST00000526686.1;ENST00000384390.1,151;253
chr12,1747838,1747838,promoter-TSS,,ENST00000650086.1,738
chr12,2877647,2877647,promoter-TSS,,ENST00000359843.8;ENST00000627656.2;ENST00000342628.6;ENST00000361953.7,472;491;660;606
chr12,6663497,6663497,promoter-TSS,,ENST00000341550.9;ENST00000619641.4;ENST00000396807.8;ENST00000446105.6;ENST00000469749.5;ENST00000472002.5;ENST00000488381.5;ENST00000412586.6;ENST00000423703.6;ENST00000444704.5;ENST00000437149.6;ENST00000467678.5;ENST00000479301.5;ENST00000493873.1;ENST00000493267.1,377;354;356;354;382;382;367;395;395;395;377;413;367;411;392
chr12,8082077,8082077,promoter-TSS,NECAP1,ENST00000546181.2;ENST00000542095.6;ENST00000638237.1;ENST00000639276.1;ENST00000450991.6;ENST00000639368.1;ENST00000639038.1;ENST00000639595.1;ENST00000639071.1;ENST00000339754.11;ENST00000640099.1;ENST00000640209.1;ENST00000638787.1;ENST00000639811.1;ENST00000639167.1;ENST00000537796.2;ENST00000544891.6;ENST00000541948.2;ENST00000638883.1;ENST00000640481.1;ENST00000545807.6;ENST00000540083.1;ENST00000624929.1,150;177;188;190;190;191;193;193;196;196;199;199;202;202;202;202;202;203;213;222;230;709;85
chr12,14385277,14385277,promoter-TSS,ATF7IP,ENST00000541654.1,38
chr12,27094930,27094930,promoter-TSS,,ENST00000603769.1,706
chr12,31715430,31715430,promoter-TSS,AMN1,ENST00000506446.6,478
chr12,39467614,39467614,promoter-TSS,,ENST00000396414.4,268
chr12,50025724,50025724,promoter-TSS,RACGAP1,ENST00000427314.6;ENST00000312377.10;ENST00000454520.6;ENST00000547905.5;ENST00000548320.5;ENST00000548598.5;ENST00000552310.5;ENST00000550149.5;ENST00000546786.5;ENST00000546595.5;ENST00000551145.5;ENST00000548824.5;ENST00000551260.5;ENST00000548644.5;ENST00000546723.5;ENST00000552921.5;ENST00000552157.5;ENST00000546764.5;ENST00000549777.5;ENST00000550651.5;ENST00000552004.2,285;229;323;229;230;262;275;246;260;307;205;289;288;272;287;166;280;240;288;229;235
chr12,54280333,54280333,promoter-TSS,,ENST00000677375.1;ENST00000677210.1;ENST00000677385.1;ENST00000677249.1;ENST00000678418.1;ENST00000676725.1;ENST00000550482.2;ENST00000679101.1;ENST00000340913.11;ENST00000547708.5;ENST00000547566.5;ENST00000679228.1;ENST00000547870.2;ENST00000551702.5;ENST00000676794.1;ENST00000330752.12;ENST00000678365.1;ENST00000678690.1;ENST00000678919.1;ENST00000547276.5;ENST00000677220.1;ENST00000678077.1;ENST00000548688.5;ENST00000209875.9;ENST00000618078.1;ENST00000692885.2,329;329;329;357;364;364;370;392;392;414;414;415;422;429;441;441;441;446;446;446;474;538;672;210;199;634
chr12,55660749,55660749,promoter-TSS,,ENST00000556606.1,953
chr12,64883412,64883412,promoter-TSS,LINC02389,ENST00000535058.1;ENST00000661071.1;ENST00000655129.1;ENST00000662789.1;ENST00000667999.1;ENST00000653818.1;ENST00000665647.1;ENST00000671328.1;ENST00000649369.1;ENST00000653132.1;ENST00000540024.1;ENST00000661511.1,17;290;312;312;327;327;331;331;354;359;361;393
chr12,93677357,93677357,promoter-TSS,CRADD,ENST00000552983.5;ENST00000549615.5;ENST00000332896.8;ENST00000552033.5;ENST00000548483.5;ENST00000551065.5;ENST00000542893.2,17;17;17;19;41;41;359
chr12,101280190,101280190,promoter-TSS,,ENST00000261637.5;ENST00000551825.1,84;61
chr12,107718820,107718820,promoter-TSS,,ENST00000488371.1,778
chr12,108561477,108561477,promoter-TSS,,ENST00000546815.6;ENST00000651280.1;ENST00000228284.8;ENST00000546728.5;ENST00000431469.6;ENST00000547528.5;ENST00000552221.1;ENST00000546611.1,303;303;317;315;317;316;308;76
chr12,109996499,109996499,promoter-TSS,GIT2,ENST00000457474.6;ENST00000361006.9;ENST00000355312.8;ENST00000553118.5;ENST00000551209.5;ENST00000550186.5;ENST00000547815.5;ENST00000320063.10;ENST00000551455.5;ENST00000548643.5,203;194;130;109;274;274;202;207;125;130
chr12,109999042,109999042,promoter-TSS,ANKRD13A,ENST00000553025.5;ENST00000550404.1;ENST00000261739.9;ENST00000624844.1,143;387;387;84
chr12,130873201,130873201,promoter-TSS,RAN,ENST00000539498.1,97
chr13,32538773,32538773,promoter-TSS,N4BP2L2,ENST00000504114.5;ENST00000674456.1;ENST00000674161.1;ENST00000674272.1;ENST00000674422.1;ENST00000674452.1;ENST00000674384.1;ENST00000505213.5;ENST00000674219.1;ENST00000267068.6;ENST00000674349.1;ENST00000674428.1;ENST00000674421.1;ENST00000674465.1;ENST00000674297.1;ENST00000674180.1;ENST00000674480.1;ENST00000674377.1;ENST00000674437.1;ENST00000674327.1;ENST00000674196.1;ENST00000674399.1;ENST00000674163.1;ENST00000511143.5;ENST00000674484.1;ENST00000674433.1;ENST00000674408.1;ENST00000674494.1;ENST00000512755.2;ENST00000674276.1;ENST00000674369.1;ENST00000674462.1;ENST00000483088.2,86;89;51;39;51;45;43;59;51;21;51;18;25;51;18;21;41;41;20;51;45;51;41;18;28;51;4;41;52;51;51;51;45
chr13,97276272,97276272,promoter-TSS,,ENST00000692685.1,67
chr14,21511490,21511490,promoter-TSS,,ENST00000298717.9;ENST00000537163.5;ENST00000543235.5;ENST00000544248.1;ENST00000536201.5;ENST00000542054.5;ENST00000538267.5;ENST00000367606.7;ENST00000545319.1;ENST00000545788.1,149;149;179;151;149;149;230;149;149;147
chr14,22226517,22226517,promoter-TSS,TRAV36DV7,ENST00000390463.3,228
chr14,22519982,22519982,promoter-TSS,TRAJ24,ENST00000390513.1;ENST00000390514.1,12;433
chr14,23007340,23007340,promoter-TSS,C14orf93,ENST00000556896.1;ENST00000623843.1,216;216
chr14,23035188,23035188,promoter-TSS,PSMB5,ENST00000555895.5;ENST00000361611.11;ENST00000493471.2;ENST00000460922.2;ENST00000425762.2;ENST00000334454.10,460;287;297;293;41;302
chr14,49585936,49585936,promoter-TSS,RN7SL1,ENST00000618786.1,643
chr14,65103641,65103641,promoter-TSS,MAX,ENST00000557277.5;ENST00000556892.5,950;945
chr14,69398468,69398468,promoter-TSS,SLC39A9,ENST00000555245.5;ENST00000538956.5;ENST00000556605.5;ENST00000628474.2;ENST00000031146.8;ENST00000336643.10;ENST00000554059.1;ENST00000555840.5;ENST00000557046.1;ENST00000557016.6;ENST00000216520.6;ENST00000555373.1,81;77;221;223;223;223;239;269;901;168;196;168
chr14,103427771,103427771,promoter-TSS,,ENST00000676745.1,22
chr15,44710381,44710381,promoter-TSS,,ENST00000695792.1,976
chr15,63595679,63595679,promoter-TSS,USP3-AS1,ENST00000559861.1,974
chr15,66504638,66504638,promoter-TSS,ZWILCH,ENST00000535141.6;ENST00000613446.4;ENST00000446801.6;ENST00000563698.5;ENST00000565627.5;ENST00000564309.5;ENST00000567926.5;ENST00000564179.5;ENST00000565960.1;ENST00000307897.10,320;444;478;656;656;661;661;661;687;687
chr15,78596851,78596851,promoter-TSS,CHRNA3,ENST00000559002.5,118
chr15,84631844,84631844,promoter-TSS,SCAND2P,ENST00000530891.3;ENST00000541103.2,16;118
chr15,88467113,88467113,promoter-TSS,MRPS11,ENST00000560708.5;ENST00000559125.1;ENST00000557974.5;ENST00000559323.5;ENST00000560850.1;ENST00000325844.9;ENST00000353598.6;ENST00000558406.5;ENST00000559557.1,339;564;591;592;594;594;604;622;849
chr15,92885037,92885037,promoter-TSS,LINC01578,ENST00000555227.1,286
chr15,92900323,92900323,promoter-TSS,,ENST00000700549.1;ENST00000627622.1;ENST00000629346.2;ENST00000628375.2;ENST00000420239.7;ENST00000700550.1;ENST00000700551.1;ENST00000635856.1;ENST00000394196.9;ENST00000625990.3;ENST00000700552.1,31;1;0;0;0;0;0;0;0;18;373
