chr,start,end,annotation,geneName,transcript,distanceToTSS
chr10,103918134,103918134,promoter-TSS,,ENST00000698297.1;ENST00000698299.1;ENST00000224950.8;ENST00000466828.6;ENST00000698301.1;ENST00000698302.1;ENST00000698303.1;ENST00000698304.1,78;53;49;58;806;482;409;126
chr10,110497902,110497902,promoter-TSS,,ENST00000369583.4,4
chr10,118046968,118046968,promoter-TSS,,ENST00000665675.1;ENST00000454781.6;ENST00000454857.6;ENST00000426021.5;ENST00000439517.2;ENST00000355624.8;ENST00000369199.5,2;13;13;25;87;26;375
chr10,121928162,121928162,promoter-TSS,ATE1-AS1,ENST00000437593.1;ENST00000224652.12;ENST00000369043.8;ENST00000689393.1;ENST00000692329.1;ENST00000689057.1;ENST00000684967.1;ENST00000686786.1;ENST00000687319.1;ENST00000686451.1;ENST00000693276.1;ENST00000687583.1;ENST00000685890.1;ENST00000686907.1;ENST00000685289.1;ENST00000691573.1;ENST00000687144.1;ENST00000692278.1;ENST00000690324.1;ENST00000693395.1;ENST00000690706.1;ENST00000692255.1;ENST00000684876.1;ENST00000687607.1;ENST00000688424.1;ENST00000688057.1;ENST00000685427.1;ENST00000689297.1;ENST00000691108.1;ENST00000692513.1;ENST00000691226.1;ENST00000692743.1;ENST00000369040.9;ENST00000687089.1;ENST00000690355.1;ENST00000691087.1;ENST00000691765.1;ENST00000691830.1;ENST00000693486.1;ENST00000687206.1;ENST00000685007.1;ENST00000686811.1;ENST00000423243.7;ENST00000689455.1;ENST00000687458.1;ENST00000685072.1;ENST00000692087.1;ENST00000690415.1;ENST00000687935.1;ENST00000687251.1;ENST00000690795.1;ENST00000687168.1,149;130;130;916;868;375;212;212;212;197;140;126;86;996;849;844;441;441;212;212;155;141;140;140;140;131;130;130;130;130;126;126;86;86;86;86;86;86;86;86;86;129;98;158;86;86;119;86;963;437;500;206
chr1,20552134,20552134,promoter-TSS,,ENST00000332947.6,438
chr11,12009577,12009577,promoter-TSS,,ENST00000396505.7;ENST00000683431.1;ENST00000527132.1;ENST00000326932.8;ENST00000532873.5;ENST00000533813.5;ENST00000534511.5;ENST00000529338.1;ENST00000534479.5;ENST00000533900.1,494;950;946;206;679;365;952;439;246;364
chr11,33039548,33039548,promoter-TSS,,ENST00000334274.9;ENST00000527661.5;ENST00000530171.5;ENST00000528107.5;ENST00000602733.5;ENST00000432887.5;ENST00000528898.1;ENST00000531632.6,23;23;38;237;253;466;479;482
chr11,45146649,45146649,promoter-TSS,,ENST00000534751.3;ENST00000683152.1;ENST00000424263.6;ENST00000622142.5,9;9;693;693
chr11,57530684,57530684,promoter-TSS,,ENST00000257245.9;ENST00000525158.1,69;49
chr11,57638371,57638371,promoter-TSS,,ENST00000530595.1,4
chr11,64935810,64935810,promoter-TSS,,ENST00000279168.7;ENST00000533257.1;ENST00000532246.1,82;286;71
chr11,65570468,65570468,promoter-TSS,SSSCA1,ENST00000531405.5;ENST00000309328.8;ENST00000527920.5;ENST00000526877.1;ENST00000533115.5;ENST00000526433.1;ENST00000527413.1;ENST00000623234.2;ENST00000567594.1,7;8;16;18;134;213;348;9;194
chr11,72040818,72040818,promoter-TSS,NUMA1,ENST00000544129.5;ENST00000535947.5,992;107
chr11,75815217,75815217,promoter-TSS,,ENST00000356136.8;ENST00000533945.5;ENST00000533590.5;ENST00000527219.1;ENST00000653975.1;ENST00000531263.3,6;640;643;661;432;389
chr11,85719593,85719593,promoter-TSS,SYTL2,ENST00000532995.5;ENST00000529581.5;ENST00000389958.7;ENST00000533892.5;ENST00000533057.6;ENST00000527794.5;ENST00000526999.5;ENST00000533577.1;ENST00000534554.1;ENST00000528566.1,517;454;424;494;510;364;215;442;412;424
chr11,95231206,95231206,promoter-TSS,,ENST00000668554.2;ENST00000685622.1;ENST00000540692.1;ENST00000690619.1;ENST00000687462.1;ENST00000536441.7;ENST00000416495.6,47;341;526;748;769;3;159
