chr,start,end,id,tag_fold_change
chr7,22499207,22499208,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_1,20.90858
chr7,22611299,22611300,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_2,8.59884
chr7,23490385,23490386,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_3,7.78766
chr7,23531980,23531981,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_4,16.62424
chr7,24827834,24827835,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_5,7.62364
chr1,230269032,230269033,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_6,6.51619
chr7,25893028,25893029,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_7,30.41044
chr7,26200352,26200353,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_8,31.72907
chr1,230642478,230642479,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_9,24.00702
chr7,26864866,26864867,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_10,13.16829
chr7,27161102,27161103,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_11,18.29243
chr7,28002815,28002816,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_12,15.22636
chr1,230978821,230978822,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_13,5.89433
chr7,28988966,28988967,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_14,14.18648
chr7,29685584,29685585,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_15,10.7484
chr7,29988018,29988019,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_16,16.13187
chr7,30804130,30804131,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_17,6.10113
chr1,231241223,231241224,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_18,25.01411
chr7,32062340,32062341,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_19,11.98967
chr7,32506417,32506418,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_20,7.39825
chr7,32728207,32728208,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_21,9.40737
chr7,33063206,33063207,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_22,7.61607
chr7,33129558,33129559,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_23,3.54409
chr1,231422679,231422680,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_24,12.47505
chr7,33846085,33846086,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_25,9.28557
chr7,34155424,34155425,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_26,8.52797
chr1,28232996,28232997,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_27,21.17308
chr7,34374115,34374116,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_28,8.40506
chr7,35800916,35800917,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_29,22.33169
chr7,36128819,36128820,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_30,5.95049
chr1,231827522,231827523,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_31,7.81942
chr7,36396331,36396332,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_32,7.70812
chr1,232142688,232142689,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_33,20.06594
chr7,39623250,39623251,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_34,12.45968
chr7,39686676,39686677,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_35,8.3167
chr7,40493986,40493987,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_36,4.28165
chr7,40586327,40586328,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_37,8.28963
chr1,28328888,28328889,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_38,35.10054
chr7,41885199,41885200,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_39,7.63294
chr7,41886973,41886974,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_40,7.7136
chr7,42912114,42912115,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_41,28.31061
chr7,42932379,42932380,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_42,21.60423
chr1,232805442,232805443,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_43,14.27081
chr7,43659500,43659501,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_44,11.40333
chr7,43869482,43869483,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_45,17.72695
chr7,44490893,44490894,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_46,27.85345
chr1,232950244,232950245,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_47,15.42348
chr7,44796938,44796939,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_48,15.73703
chr7,44999778,44999779,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_49,13.34474
chr1,28369623,28369624,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_50,19.06292
chr7,54759964,54759965,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_51,7.345
chr7,54933202,54933203,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_52,12.41572
chr7,55366042,55366043,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_53,6.50444
chr7,55887456,55887457,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_54,21.34088
chr7,55964611,55964612,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_55,15.27553
chr7,64314008,64314009,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_56,12.5572
chr1,234516036,234516037,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_57,7.74203
chr7,64562764,64562765,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_58,9.47671
chr7,64666485,64666486,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_59,9.09071
chr7,65374160,65374161,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_60,12.39569
chr7,65873391,65873392,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_61,6.31021
chr7,65982285,65982286,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_62,25.42228
chr7,66281757,66281758,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_63,6.09277
chr7,66845065,66845066,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_64,5.83984
chr7,66995765,66995766,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_65,8.02633
chr7,66996849,66996850,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_66,35.84788
chr1,234606311,234606312,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_67,6.4022
chr7,69502582,69502583,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_68,9.06269
chr7,72829351,72829352,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_69,6.85416
chr7,73522289,73522290,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_70,9.0174
chr7,73683415,73683416,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_71,20.94407
chr7,74174357,74174358,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_72,15.36559
chr7,74657446,74657447,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_73,22.87925
chr7,74851335,74851336,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_74,19.04253
chr7,75046622,75046623,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_75,10.33551
chr7,75073807,75073808,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_76,17.69937
chr7,75092794,75092795,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_77,11.53784
chr7,76358739,76358740,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_78,14.62243
chr7,76421229,76421230,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_79,6.82606
chr7,76924976,76924977,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_80,9.52314
chr7,77696470,77696471,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_81,22.06456
chr1,235018416,235018417,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_82,12.65889
