chr,start,end,id,tag_fold_change
chr7,23531980,23531981,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_4,16.62424
chr1,230642478,230642479,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_9,24.00702
chr1,231241223,231241224,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_18,25.01411
chr7,33063206,33063207,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_22,7.61607
chr7,33129558,33129559,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_23,3.54409
chr1,28232996,28232997,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_27,21.17308
chr7,35800916,35800917,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_29,22.33169
chr7,42932379,42932380,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_42,21.60423
chr7,43869482,43869483,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_45,17.72695
chr7,44490893,44490894,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_46,27.85345
chr7,44999778,44999779,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_49,13.34474
chr7,55964611,55964612,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_55,15.27553
chr7,65982285,65982286,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_62,25.42228
chr7,66845065,66845066,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_64,5.83984
chr7,66996849,66996850,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_66,35.84788
chr7,72829351,72829352,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_69,6.85416
chr7,73522289,73522290,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_70,9.0174
chr7,74657446,74657447,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_73,22.87925
chr7,75073807,75073808,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_76,17.69937
chr7,77696470,77696471,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_81,22.06456
chr7,83162792,83162793,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_89,7.26355
chr1,235910898,235910899,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_93,12.22238
chr7,87039756,87039757,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_94,29.27242
chr7,87152841,87152842,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_95,26.05403
chr7,90346729,90346730,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_96,4.69698
chr7,91940882,91940883,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_98,17.69489
chr7,92528813,92528814,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_99,20.29183
chr7,94004378,94004379,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_102,4.40436
chr7,94510094,94510095,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_105,31.68251
chr7,95435021,95435022,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_106,6.96604
chr7,98106876,98106877,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_110,11.33812
chr7,99466224,99466225,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_111,14.77492
chr7,100088991,100088992,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_112,24.08735
chr7,100119359,100119360,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_113,29.08799
chr7,100126963,100126964,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_114,15.10365
chr7,101816027,101816028,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_122,19.63748
chr7,106661076,106661077,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_138,29.11742
chr7,107167779,107167780,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_141,17.22915
chr7,112790375,112790376,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_144,23.94228
chr7,113118545,113118546,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_145,19.12682
chr7,116862606,116862607,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_150,11.73904
chr7,116953548,116953549,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_151,9.23173
chr7,120950795,120950796,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_153,18.09231
chr7,123749066,123749067,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_155,23.542
chr7,128343945,128343946,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_157,23.26664
chr7,129054890,129054891,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_159,13.58185
chr7,129611661,129611662,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_162,16.10393
chr7,130051380,130051381,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_164,35.66334
chr7,131327902,131327903,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_166,18.86601
chr7,133253105,133253106,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_168,28.34143
chr7,135281688,135281689,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_172,5.85256
chr7,135510065,135510066,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_173,18.95738
chr7,135557955,135557956,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_174,20.40322
chr7,139036029,139036030,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_179,7.21836
chr7,139231274,139231275,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_180,18.68432
chr7,139777700,139777701,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_186,11.87795
chr7,140176950,140176951,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_187,19.16499
chr7,140479356,140479357,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_188,20.35355
chr7,140924707,140924708,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_189,18.10871
chr7,143288461,143288462,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_193,10.82545
chr1,244971072,244971073,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_197,30.52621
chr7,149460591,149460592,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_199,22.02068
chr7,151080792,151080793,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_201,41.80515
chr7,151233245,151233246,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_202,11.33869
chr7,151252115,151252116,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_203,6.71405
chr7,156949723,156949724,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_208,27.22175
chr7,157138963,157138964,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_209,13.01549
chr8,6406668,6406669,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_210,18.9662
chr8,6834765,6834766,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_212,15.82808
chr8,9555938,9555939,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_215,14.15346
chr8,11201597,11201598,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_216,31.28347
chr8,13133242,13133243,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_219,6.4022
chr8,20197416,20197417,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_224,23.28072
chr8,21919775,21919776,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_225,12.01711
chr8,22245108,22245109,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_226,38.12584
