chr,start,end,id,tag_fold_change
chr1,778626,778627,MM1_HSA_H1-hESC_YY1_peaks_with_motif_1,8.40908
chr8,14500302,14500303,MM1_HSA_H1-hESC_YY1_peaks_with_motif_2,15.38951
chr8,14723142,14723143,MM1_HSA_H1-hESC_YY1_peaks_with_motif_3,15.78044
chr8,15562033,15562034,MM1_HSA_H1-hESC_YY1_peaks_with_motif_4,10.75047
chr8,16477632,16477633,MM1_HSA_H1-hESC_YY1_peaks_with_motif_5,12.38675
chr8,16670148,16670149,MM1_HSA_H1-hESC_YY1_peaks_with_motif_6,10.6036
chr8,17156767,17156768,MM1_HSA_H1-hESC_YY1_peaks_with_motif_7,13.52562
chr8,17414018,17414019,MM1_HSA_H1-hESC_YY1_peaks_with_motif_8,7.56182
chr8,17898558,17898559,MM1_HSA_H1-hESC_YY1_peaks_with_motif_9,19.39366
chr8,17923002,17923003,MM1_HSA_H1-hESC_YY1_peaks_with_motif_10,37.48309
chr8,18006877,18006878,MM1_HSA_H1-hESC_YY1_peaks_with_motif_11,13.52833
chr8,18361590,18361591,MM1_HSA_H1-hESC_YY1_peaks_with_motif_12,15.4001
chr8,19777393,19777394,MM1_HSA_H1-hESC_YY1_peaks_with_motif_13,11.66714
chr8,20197403,20197404,MM1_HSA_H1-hESC_YY1_peaks_with_motif_14,34.23116
chr8,20312992,20312993,MM1_HSA_H1-hESC_YY1_peaks_with_motif_15,12.34824
chr8,21919778,21919779,MM1_HSA_H1-hESC_YY1_peaks_with_motif_16,20.68509
chr8,22141409,22141410,MM1_HSA_H1-hESC_YY1_peaks_with_motif_17,14.3435
chr1,242467743,242467744,MM1_HSA_H1-hESC_YY1_peaks_with_motif_18,11.05063
chr8,22245115,22245116,MM1_HSA_H1-hESC_YY1_peaks_with_motif_19,51.96447
chr8,22440799,22440800,MM1_HSA_H1-hESC_YY1_peaks_with_motif_20,22.96899
chr8,22566424,22566425,MM1_HSA_H1-hESC_YY1_peaks_with_motif_21,10.79145
chr8,23019317,23019318,MM1_HSA_H1-hESC_YY1_peaks_with_motif_22,41.79135
chr8,23084414,23084415,MM1_HSA_H1-hESC_YY1_peaks_with_motif_23,25.68096
chr8,23692812,23692813,MM1_HSA_H1-hESC_YY1_peaks_with_motif_24,13.54421
chr8,23879668,23879669,MM1_HSA_H1-hESC_YY1_peaks_with_motif_25,9.3734
chr8,24415182,24415183,MM1_HSA_H1-hESC_YY1_peaks_with_motif_26,5.92749
chr8,24508588,24508589,MM1_HSA_H1-hESC_YY1_peaks_with_motif_27,12.82184
chr8,25000073,25000074,MM1_HSA_H1-hESC_YY1_peaks_with_motif_28,10.48654
chr8,25184864,25184865,MM1_HSA_H1-hESC_YY1_peaks_with_motif_29,9.7675
chr8,25509956,25509957,MM1_HSA_H1-hESC_YY1_peaks_with_motif_30,8.48711
chr8,25515035,25515036,MM1_HSA_H1-hESC_YY1_peaks_with_motif_31,9.90516
chr8,25599914,25599915,MM1_HSA_H1-hESC_YY1_peaks_with_motif_32,11.55008
chr8,25908933,25908934,MM1_HSA_H1-hESC_YY1_peaks_with_motif_33,11.31962
chr8,26088843,26088844,MM1_HSA_H1-hESC_YY1_peaks_with_motif_34,12.23397
chr8,26291541,26291542,MM1_HSA_H1-hESC_YY1_peaks_with_motif_35,42.3624
chr8,26321592,26321593,MM1_HSA_H1-hESC_YY1_peaks_with_motif_36,10.08242
chr8,26752438,26752439,MM1_HSA_H1-hESC_YY1_peaks_with_motif_37,16.18717
chr1,243492182,243492183,MM1_HSA_H1-hESC_YY1_peaks_with_motif_38,10.64457
chr8,27454705,27454706,MM1_HSA_H1-hESC_YY1_peaks_with_motif_39,17.70443
chr8,27491206,27491207,MM1_HSA_H1-hESC_YY1_peaks_with_motif_40,37.89145
chr8,27772685,27772686,MM1_HSA_H1-hESC_YY1_peaks_with_motif_41,85.11939
chr8,27774298,27774299,MM1_HSA_H1-hESC_YY1_peaks_with_motif_42,33.103
chr8,28576798,28576799,MM1_HSA_H1-hESC_YY1_peaks_with_motif_43,8.48711
chr8,28701501,28701502,MM1_HSA_H1-hESC_YY1_peaks_with_motif_44,30.07105
chr8,28890375,28890376,MM1_HSA_H1-hESC_YY1_peaks_with_motif_45,41.45675
chr1,243819787,243819788,MM1_HSA_H1-hESC_YY1_peaks_with_motif_46,9.15712
chr1,243849157,243849158,MM1_HSA_H1-hESC_YY1_peaks_with_motif_47,15.18572
chr8,29350237,29350238,MM1_HSA_H1-hESC_YY1_peaks_with_motif_48,11.04117
chr8,29647513,29647514,MM1_HSA_H1-hESC_YY1_peaks_with_motif_49,7.87731
chr8,30034620,30034621,MM1_HSA_H1-hESC_YY1_peaks_with_motif_50,31.41056
chr8,30082968,30082969,MM1_HSA_H1-hESC_YY1_peaks_with_motif_51,52.54099
chr8,30094754,30094755,MM1_HSA_H1-hESC_YY1_peaks_with_motif_52,12.61362
chr1,243856203,243856204,MM1_HSA_H1-hESC_YY1_peaks_with_motif_53,13.62489
chr8,30442721,30442722,MM1_HSA_H1-hESC_YY1_peaks_with_motif_54,12.66322
chr8,30931629,30931630,MM1_HSA_H1-hESC_YY1_peaks_with_motif_55,9.01888
chr8,31937791,31937792,MM1_HSA_H1-hESC_YY1_peaks_with_motif_56,9.55595
chr8,34280112,34280113,MM1_HSA_H1-hESC_YY1_peaks_with_motif_57,11.50047
chr8,35534083,35534084,MM1_HSA_H1-hESC_YY1_peaks_with_motif_58,10.31715
chr8,36924270,36924271,MM1_HSA_H1-hESC_YY1_peaks_with_motif_59,9.68889
chr1,244369908,244369909,MM1_HSA_H1-hESC_YY1_peaks_with_motif_60,7.5384
chr8,37560358,37560359,MM1_HSA_H1-hESC_YY1_peaks_with_motif_61,14.16372
chr8,37657891,37657892,MM1_HSA_H1-hESC_YY1_peaks_with_motif_62,20.34912
chr8,37675820,37675821,MM1_HSA_H1-hESC_YY1_peaks_with_motif_63,20.95005
chr8,37762499,37762500,MM1_HSA_H1-hESC_YY1_peaks_with_motif_64,72.63474
chr8,38105539,38105540,MM1_HSA_H1-hESC_YY1_peaks_with_motif_65,35.96181
chr8,38380855,38380856,MM1_HSA_H1-hESC_YY1_peaks_with_motif_66,15.76149
chr1,244652918,244652919,MM1_HSA_H1-hESC_YY1_peaks_with_motif_67,66.62713
chr8,38440756,38440757,MM1_HSA_H1-hESC_YY1_peaks_with_motif_68,24.71908
chr8,38513174,38513175,MM1_HSA_H1-hESC_YY1_peaks_with_motif_69,9.99208
chr8,38530902,38530903,MM1_HSA_H1-hESC_YY1_peaks_with_motif_70,7.93324
chr8,38650808,38650809,MM1_HSA_H1-hESC_YY1_peaks_with_motif_71,11.32987
chr8,38787520,38787521,MM1_HSA_H1-hESC_YY1_peaks_with_motif_72,16.25978
chr8,38866895,38866896,MM1_HSA_H1-hESC_YY1_peaks_with_motif_73,9.01888
chr8,38867789,38867790,MM1_HSA_H1-hESC_YY1_peaks_with_motif_74,20.44131
chr8,38996240,38996241,MM1_HSA_H1-hESC_YY1_peaks_with_motif_75,9.32074
chr8,39802417,39802418,MM1_HSA_H1-hESC_YY1_peaks_with_motif_76,13.54725
chr8,39892165,39892166,MM1_HSA_H1-hESC_YY1_peaks_with_motif_77,9.3734
chr8,40761476,40761477,MM1_HSA_H1-hESC_YY1_peaks_with_motif_78,12.52904
chr1,244815663,244815664,MM1_HSA_H1-hESC_YY1_peaks_with_motif_79,10.99429
chr1,244835356,244835357,MM1_HSA_H1-hESC_YY1_peaks_with_motif_80,52.10207
chr1,244863372,244863373,MM1_HSA_H1-hESC_YY1_peaks_with_motif_81,13.05111
chr8,41828953,41828954,MM1_HSA_H1-hESC_YY1_peaks_with_motif_82,12.8964
chr8,42051971,42051972,MM1_HSA_H1-hESC_YY1_peaks_with_motif_83,64.41457
chr8,42266764,42266765,MM1_HSA_H1-hESC_YY1_peaks_with_motif_84,9.55065
chr8,42338531,42338532,MM1_HSA_H1-hESC_YY1_peaks_with_motif_85,11.04807
chr8,42843330,42843331,MM1_HSA_H1-hESC_YY1_peaks_with_motif_86,43.37959
chr1,244971053,244971054,MM1_HSA_H1-hESC_YY1_peaks_with_motif_87,49.61053
chr8,43056301,43056302,MM1_HSA_H1-hESC_YY1_peaks_with_motif_88,28.86122
chr8,43093899,43093900,MM1_HSA_H1-hESC_YY1_peaks_with_motif_89,32.06218
chr8,47822082,47822083,MM1_HSA_H1-hESC_YY1_peaks_with_motif_90,9.90115
chr8,48008484,48008485,MM1_HSA_H1-hESC_YY1_peaks_with_motif_91,30.82139
chr8,48789028,48789029,MM1_HSA_H1-hESC_YY1_peaks_with_motif_92,11.50047
chr8,51095294,51095295,MM1_HSA_H1-hESC_YY1_peaks_with_motif_93,10.86948
chr8,51618018,51618019,MM1_HSA_H1-hESC_YY1_peaks_with_motif_94,26.70779
chr8,51899281,51899282,MM1_HSA_H1-hESC_YY1_peaks_with_motif_95,15.04559
chr8,52407827,52407828,MM1_HSA_H1-hESC_YY1_peaks_with_motif_96,28.45623
chr8,53318402,53318403,MM1_HSA_H1-hESC_YY1_peaks_with_motif_97,23.78075
chr1,15834991,15834992,MM1_HSA_H1-hESC_YY1_peaks_with_motif_98,85.20086
chr8,54351610,54351611,MM1_HSA_H1-hESC_YY1_peaks_with_motif_99,9.60136
chr8,55102463,55102464,MM1_HSA_H1-hESC_YY1_peaks_with_motif_100,11.66714
chr8,55560359,55560360,MM1_HSA_H1-hESC_YY1_peaks_with_motif_101,12.8964
chr8,55843654,55843655,MM1_HSA_H1-hESC_YY1_peaks_with_motif_102,31.53041
chr8,56211209,56211210,MM1_HSA_H1-hESC_YY1_peaks_with_motif_103,20.80585
chr8,56445477,56445478,MM1_HSA_H1-hESC_YY1_peaks_with_motif_104,21.37529
chr1,245673458,245673459,MM1_HSA_H1-hESC_YY1_peaks_with_motif_105,37.85606
chr8,58411372,58411373,MM1_HSA_H1-hESC_YY1_peaks_with_motif_106,25.85822
chr8,59029769,59029770,MM1_HSA_H1-hESC_YY1_peaks_with_motif_107,11.94815
chr8,59174682,59174683,MM1_HSA_H1-hESC_YY1_peaks_with_motif_108,11.40125
chr8,60660732,60660733,MM1_HSA_H1-hESC_YY1_peaks_with_motif_109,13.91026
chr1,245816498,245816499,MM1_HSA_H1-hESC_YY1_peaks_with_motif_110,9.60136
chr8,60680528,60680529,MM1_HSA_H1-hESC_YY1_peaks_with_motif_111,9.90171
chr8,60681376,60681377,MM1_HSA_H1-hESC_YY1_peaks_with_motif_112,10.79145
chr8,60872405,60872406,MM1_HSA_H1-hESC_YY1_peaks_with_motif_113,11.06792
chr8,61121399,61121400,MM1_HSA_H1-hESC_YY1_peaks_with_motif_114,11.84404
chr8,61164503,61164504,MM1_HSA_H1-hESC_YY1_peaks_with_motif_115,16.10267
chr8,61274038,61274039,MM1_HSA_H1-hESC_YY1_peaks_with_motif_116,10.86948
chr8,62971125,62971126,MM1_HSA_H1-hESC_YY1_peaks_with_motif_117,16.45305
chr8,63145849,63145850,MM1_HSA_H1-hESC_YY1_peaks_with_motif_118,8.35947
chr8,63168639,63168640,MM1_HSA_H1-hESC_YY1_peaks_with_motif_119,30.29491
chr8,63976376,63976377,MM1_HSA_H1-hESC_YY1_peaks_with_motif_120,52.7141
chr8,64374323,64374324,MM1_HSA_H1-hESC_YY1_peaks_with_motif_121,10.61948
chr8,65864715,65864716,MM1_HSA_H1-hESC_YY1_peaks_with_motif_122,48.63489
chr8,66114490,66114491,MM1_HSA_H1-hESC_YY1_peaks_with_motif_123,10.61948
chr1,246566598,246566599,MM1_HSA_H1-hESC_YY1_peaks_with_motif_124,8.81316
chr8,66667453,66667454,MM1_HSA_H1-hESC_YY1_peaks_with_motif_125,27.95831
