chr,start,end,annotation,geneName,transcript,distanceToTSS
chr7,23490386,23490386,promoter-TSS,RPS2P32,ENST00000439199.1,86
chr7,26200353,26200353,promoter-TSS,CBX3,ENST00000337620.8;ENST00000677075.1;ENST00000678035.1;ENST00000678075.1,808;210;210;210
chr7,26864867,26864867,promoter-TSS,,ENST00000345317.7;ENST00000497511.5;ENST00000487720.1,276;279;281
chr1,230978822,230978822,promoter-TSS,ARV1,ENST00000497753.1;ENST00000366658.6;ENST00000310256.7;ENST00000480519.5;ENST00000450711.5;ENST00000435927.5;ENST00000366662.8;ENST00000366661.9;ENST00000481976.6;ENST00000522821.5;ENST00000522399.1;ENST00000466507.2,158;271;271;288;293;323;36;38;52;25;38;12
chr7,29685585,29685585,promoter-TSS,,ENST00000688393.1;ENST00000442865.1;ENST00000426767.1;ENST00000454624.1,230;329;446;392
chr7,29988019,29988019,promoter-TSS,,ENST00000419103.1;ENST00000422239.6,580;580
chr7,30804131,30804131,promoter-TSS,,ENST00000440376.1,720
chr7,32728208,32728208,promoter-TSS,ZNRF2P1,ENST00000441407.1;ENST00000650302.1,360;629
chr1,231422680,231422680,promoter-TSS,,ENST00000366641.4,392
chr7,39623251,39623251,promoter-TSS,RALA,ENST00000468201.1;ENST00000005257.7;ENST00000436179.1;ENST00000663389.1,313;320;634;49
chr7,39686677,39686677,promoter-TSS,RALA,ENST00000434466.1,9
chr1,28328889,28328889,promoter-TSS,MED18,ENST00000479574.5;ENST00000373842.9;ENST00000398997.2;ENST00000475655.1,112;150;165;172
chr7,42912115,42912115,promoter-TSS,,ENST00000350427.5;ENST00000447342.5;ENST00000438029.1;ENST00000432637.1,44;24;204;170
chr1,232805443,232805443,promoter-TSS,,ENST00000418460.4,26
chr1,232950245,232950245,promoter-TSS,NTPCR,ENST00000494689.5;ENST00000366628.10;ENST00000490807.5;ENST00000496662.5;ENST00000366627.4;ENST00000479125.5,359;365;368;387;394;596
