chr,start,end,id,tag_fold_change
chr8,17923002,17923003,MM1_HSA_H1-hESC_YY1_peaks_with_motif_10,37.48309
chr8,20197403,20197404,MM1_HSA_H1-hESC_YY1_peaks_with_motif_14,34.23116
chr8,21919778,21919779,MM1_HSA_H1-hESC_YY1_peaks_with_motif_16,20.68509
chr8,28890375,28890376,MM1_HSA_H1-hESC_YY1_peaks_with_motif_45,41.45675
chr1,243849157,243849158,MM1_HSA_H1-hESC_YY1_peaks_with_motif_47,15.18572
chr8,30082968,30082969,MM1_HSA_H1-hESC_YY1_peaks_with_motif_51,52.54099
chr8,38105539,38105540,MM1_HSA_H1-hESC_YY1_peaks_with_motif_65,35.96181
chr1,244815663,244815664,MM1_HSA_H1-hESC_YY1_peaks_with_motif_79,10.99429
chr1,244835356,244835357,MM1_HSA_H1-hESC_YY1_peaks_with_motif_80,52.10207
chr8,42843330,42843331,MM1_HSA_H1-hESC_YY1_peaks_with_motif_86,43.37959
chr8,43093899,43093900,MM1_HSA_H1-hESC_YY1_peaks_with_motif_89,32.06218
chr8,48008484,48008485,MM1_HSA_H1-hESC_YY1_peaks_with_motif_91,30.82139
chr1,15834991,15834992,MM1_HSA_H1-hESC_YY1_peaks_with_motif_98,85.20086
chr8,55843654,55843655,MM1_HSA_H1-hESC_YY1_peaks_with_motif_102,31.53041
chr8,58411372,58411373,MM1_HSA_H1-hESC_YY1_peaks_with_motif_106,25.85822
chr8,64374323,64374324,MM1_HSA_H1-hESC_YY1_peaks_with_motif_121,10.61948
chr8,65864715,65864716,MM1_HSA_H1-hESC_YY1_peaks_with_motif_122,48.63489
chr8,71716437,71716438,MM1_HSA_H1-hESC_YY1_peaks_with_motif_134,32.84725
chr8,74350467,74350468,MM1_HSA_H1-hESC_YY1_peaks_with_motif_146,21.95858
chr8,74741799,74741800,MM1_HSA_H1-hESC_YY1_peaks_with_motif_147,19.98693
chr8,80030238,80030239,MM1_HSA_H1-hESC_YY1_peaks_with_motif_156,59.08373
chr8,81280662,81280663,MM1_HSA_H1-hESC_YY1_peaks_with_motif_158,10.44357
chr8,81721255,81721256,MM1_HSA_H1-hESC_YY1_peaks_with_motif_159,19.12248
chr1,247448203,247448204,MM1_HSA_H1-hESC_YY1_peaks_with_motif_161,29.30985
chr1,15976077,15976078,MM1_HSA_H1-hESC_YY1_peaks_with_motif_170,39.25164
chr8,93740992,93740993,MM1_HSA_H1-hESC_YY1_peaks_with_motif_175,21.52073
chr8,94823279,94823280,MM1_HSA_H1-hESC_YY1_peaks_with_motif_179,45.90255
chr8,96235522,96235523,MM1_HSA_H1-hESC_YY1_peaks_with_motif_184,20.4072
chr8,97295635,97295636,MM1_HSA_H1-hESC_YY1_peaks_with_motif_186,12.03224
chr8,102412684,102412685,MM1_HSA_H1-hESC_YY1_peaks_with_motif_195,26.9927
chr8,103501492,103501493,MM1_HSA_H1-hESC_YY1_peaks_with_motif_198,25.64194
chr8,108248697,108248698,MM1_HSA_H1-hESC_YY1_peaks_with_motif_203,26.93234
chr8,108443662,108443663,MM1_HSA_H1-hESC_YY1_peaks_with_motif_204,21.15569
chr8,116755795,116755796,MM1_HSA_H1-hESC_YY1_peaks_with_motif_210,35.07553
chr8,116874788,116874789,MM1_HSA_H1-hESC_YY1_peaks_with_motif_212,69.89577
chr1,16048904,16048905,MM1_HSA_H1-hESC_YY1_peaks_with_motif_221,13.8048
chr8,123274248,123274249,MM1_HSA_H1-hESC_YY1_peaks_with_motif_224,62.45102
chr8,124450756,124450757,MM1_HSA_H1-hESC_YY1_peaks_with_motif_229,75.89078
chr8,133364633,133364634,MM1_HSA_H1-hESC_YY1_peaks_with_motif_242,15.22285
chr8,135790817,135790818,MM1_HSA_H1-hESC_YY1_peaks_with_motif_246,11.17977
chr8,143609524,143609525,MM1_HSA_H1-hESC_YY1_peaks_with_motif_252,32.3124
