chr,start,end,id,tag_fold_change
chr1,3900679,3900680,MM1_HSA_GM12878_YY1_peaks_with_motif_1,23.14
chr1,8603302,8603303,MM1_HSA_GM12878_YY1_peaks_with_motif_2,9.63
chr1,8876930,8876931,MM1_HSA_GM12878_YY1_peaks_with_motif_3,11.39
chr1,9078442,9078443,MM1_HSA_GM12878_YY1_peaks_with_motif_4,7.17
chr1,9207390,9207391,MM1_HSA_GM12878_YY1_peaks_with_motif_5,44.74
chr1,13920872,13920873,MM1_HSA_GM12878_YY1_peaks_with_motif_6,23.27
chr1,16367027,16367028,MM1_HSA_GM12878_YY1_peaks_with_motif_7,25.81
chr1,20601349,20601350,MM1_HSA_GM12878_YY1_peaks_with_motif_8,29.03
chr1,22754265,22754266,MM1_HSA_GM12878_YY1_peaks_with_motif_9,11.39
chr1,23745089,23745090,MM1_HSA_GM12878_YY1_peaks_with_motif_10,9.14
chr1,25109877,25109878,MM1_HSA_GM12878_YY1_peaks_with_motif_11,21.77
chr1,25901570,25901571,MM1_HSA_GM12878_YY1_peaks_with_motif_12,20.28
chr1,25905114,25905115,MM1_HSA_GM12878_YY1_peaks_with_motif_13,21.51
chr1,26237512,26237513,MM1_HSA_GM12878_YY1_peaks_with_motif_14,6.45
chr1,26694906,26694907,MM1_HSA_GM12878_YY1_peaks_with_motif_15,15.77
chr1,26900456,26900457,MM1_HSA_GM12878_YY1_peaks_with_motif_16,12.9
chr1,27418441,27418442,MM1_HSA_GM12878_YY1_peaks_with_motif_17,15.77
chr1,27914709,27914710,MM1_HSA_GM12878_YY1_peaks_with_motif_18,11.25
chr1,28328880,28328881,MM1_HSA_GM12878_YY1_peaks_with_motif_19,8.62
chr1,31606168,31606169,MM1_HSA_GM12878_YY1_peaks_with_motif_20,19.02
chr1,31645164,31645165,MM1_HSA_GM12878_YY1_peaks_with_motif_21,9.13
chr1,31929928,31929929,MM1_HSA_GM12878_YY1_peaks_with_motif_22,15.75
chr1,33130459,33130460,MM1_HSA_GM12878_YY1_peaks_with_motif_23,9.45
chr1,35160234,35160235,MM1_HSA_GM12878_YY1_peaks_with_motif_24,12.9
chr1,35533726,35533727,MM1_HSA_GM12878_YY1_peaks_with_motif_25,23.23
chr1,38594712,38594713,MM1_HSA_GM12878_YY1_peaks_with_motif_26,18.75
chr1,41925836,41925837,MM1_HSA_GM12878_YY1_peaks_with_motif_27,10.95
chr1,42026703,42026704,MM1_HSA_GM12878_YY1_peaks_with_motif_28,15.45
chr1,42684313,42684314,MM1_HSA_GM12878_YY1_peaks_with_motif_29,43.39
chr1,45378507,45378508,MM1_HSA_GM12878_YY1_peaks_with_motif_30,15.67
chr1,45685694,45685695,MM1_HSA_GM12878_YY1_peaks_with_motif_31,13.53
chr1,46303458,46303459,MM1_HSA_GM12878_YY1_peaks_with_motif_32,8.61
