chr,start,end,annotation,geneName,transcript,distanceToTSS
chr7,23531981,23531981,promoter-TSS,,ENST00000297071.9;ENST00000392502.8;ENST00000538367.6;ENST00000621813.4;ENST00000494255.5;ENST00000474586.5;ENST00000490942.1;ENST00000448549.1,0;59;59;59;0;300;0;41
chr1,230642479,230642479,promoter-TSS,,ENST00000366669.9;ENST00000494371.5;ENST00000468893.6;ENST00000473671.1;ENST00000366668.7;ENST00000534989.1,1;9;25;41;87;331
chr1,231241224,231241224,promoter-TSS,GNPAT,ENST00000436239.5;ENST00000366647.9;ENST00000416000.1;ENST00000644483.1;ENST00000318906.6;ENST00000366651.7;ENST00000366649.7;ENST00000451322.1;ENST00000471936.1,16;11;7;7;53;45;48;133;36
chr7,33063207,33063207,promoter-TSS,,ENST00000610140.7;ENST00000456458.5,430;410
chr7,33129559,33129559,promoter-TSS,,ENST00000673230.1;ENST00000671890.1;ENST00000350941.7;ENST00000355070.6;ENST00000396127.6;ENST00000671871.1;ENST00000673431.1;ENST00000465037.5;ENST00000672973.1;ENST00000433714.5;ENST00000671963.1;ENST00000242067.11;ENST00000482941.1;ENST00000673219.1;ENST00000673056.1;ENST00000671952.1;ENST00000416825.1,48;28;18;18;18;8;5;1;0;2;4;4;7;237;260;262;415
chr1,28232997,28232997,promoter-TSS,,ENST00000263697.6;ENST00000489277.5;ENST00000482674.5;ENST00000488868.1,31;27;6;22
chr7,35800917,35800917,promoter-TSS,SEPT7,ENST00000399034.7;ENST00000435235.6;ENST00000350320.11;ENST00000672279.1;ENST00000705486.1;ENST00000634600.1;ENST00000635669.1;ENST00000493626.5;ENST00000475109.5;ENST00000635047.1;ENST00000635175.1;ENST00000473201.2;ENST00000437235.7;ENST00000412856.6;ENST00000670426.1;ENST00000665516.1;ENST00000658573.1;ENST00000424194.1;ENST00000692566.2,14;121;139;268;268;298;300;301;301;301;301;314;310;308;292;240;388;300;31
chr7,42932380,42932380,promoter-TSS,MRPL32,ENST00000432845.1;ENST00000223324.3;ENST00000442788.5;ENST00000677234.1;ENST00000677660.1;ENST00000676779.1;ENST00000431882.4;ENST00000677768.1;ENST00000433579.1;ENST00000223321.9;ENST00000677581.1;ENST00000457444.6;ENST00000436986.5;ENST00000677578.1;ENST00000678407.1;ENST00000677139.1;ENST00000445517.1;ENST00000411875.1,3;3;205;197;197;177;197;177;208;205;165;213;225;205;205;197;194;207
chr7,43869483,43869483,promoter-TSS,,ENST00000317534.6;ENST00000418740.5;ENST00000483330.1;ENST00000414932.1,33;33;333;23
chr7,44490894,44490894,promoter-TSS,,ENST00000355451.8;ENST00000464812.1;ENST00000497978.1,235;287;628
chr7,44999779,44999779,promoter-TSS,CCM2,ENST00000541586.5;ENST00000544363.5;ENST00000478582.5;ENST00000258781.11;ENST00000488727.5;ENST00000648329.1,408;408;409;421;469;520
chr7,55964612,55964612,promoter-TSS,NIPSNAP2,ENST00000446778.5;ENST00000322090.8;ENST00000470036.5;ENST00000456204.5;ENST00000437587.5;ENST00000487370.5;ENST00000472404.1,30;26;16;5;349;385;500
chr7,65982286,65982286,promoter-TSS,,ENST00000304895.9;ENST00000447929.5;ENST00000430730.5;ENST00000421103.5;ENST00000475316.5;ENST00000476486.5;ENST00000446111.1,72;89;70;74;197;314;72
chr7,66845066,66845066,promoter-TSS,,ENST00000692850.2;ENST00000457166.5;ENST00000650401.3;ENST00000693187.1;ENST00000702809.1;ENST00000702090.1;ENST00000685827.2,62;239;163;179;179;142;154
chr7,66996850,66996850,promoter-TSS,TYW1,ENST00000442959.5;ENST00000359626.10;ENST00000475392.1;ENST00000361660.8,29;16;4;2
chr7,72829352,72829352,promoter-TSS,,ENST00000423945.6;ENST00000685034.2;ENST00000702913.1;ENST00000691023.2;ENST00000415772.5;ENST00000456312.5;ENST00000437201.5;ENST00000453858.3,72;107;112;116;137;148;154;303
chr7,73522290,73522290,promoter-TSS,,ENST00000339594.9;ENST00000404251.1,2;11
chr7,74657447,74657447,promoter-TSS,GTF2I,ENST00000613513.1;ENST00000573035.6;ENST00000614986.4;ENST00000620879.4;ENST00000621734.4;ENST00000443166.5,219;270;310;310;310;583
chr7,75073808,75073808,promoter-TSS,RCC1L,ENST00000614461.4;ENST00000610322.5;ENST00000616051.1;ENST00000618035.4,72;5;17;72
chr7,77696471,77696471,promoter-TSS,,ENST00000334955.13;ENST00000445288.5;ENST00000659053.1;ENST00000440088.5;ENST00000665948.1;ENST00000430801.6;ENST00000663454.1;ENST00000664660.1;ENST00000654794.2;ENST00000663654.3;ENST00000398043.3;ENST00000687769.2;ENST00000687850.2;ENST00000690779.1;ENST00000416650.5;ENST00000447009.1,11;679;215;205;215;205;203;203;193;180;205;208;202;208;208;217
chr7,83162793,83162793,promoter-TSS,,ENST00000333891.14,90
chr7,87152842,87152842,promoter-TSS,,ENST00000670440.2;ENST00000433446.1;ENST00000446309.1,496;559;421
chr7,90346730,90346730,promoter-TSS,GTPBP10,ENST00000257659.12;ENST00000417207.5;ENST00000477972.1;ENST00000380058.7;ENST00000222511.11;ENST00000439832.5;ENST00000623448.1,64;34;27;22;13;0;511
chr7,91940883,91940883,promoter-TSS,,ENST00000680072.1;ENST00000680513.1;ENST00000680534.1;ENST00000679554.1;ENST00000679821.1;ENST00000681722.1;ENST00000680181.1;ENST00000356239.8;ENST00000679521.1;ENST00000680074.1;ENST00000679722.1;ENST00000679457.1;ENST00000679474.1;ENST00000680952.1;ENST00000680047.1;ENST00000681412.1;ENST00000679448.1;ENST00000680766.1;ENST00000493453.1;ENST00000394564.5;ENST00000674381.2;ENST00000359028.7,42;42;42;22;22;20;20;20;20;4;4;4;4;4;4;4;4;4;32;42;195;216
chr7,92528814,92528814,promoter-TSS,RBM48,ENST00000481551.5;ENST00000265732.10;ENST00000496410.1;ENST00000438045.5;ENST00000248633.9;ENST00000484913.5;ENST00000428214.5,40;18;6;372;293;374;378
chr7,94004379,94004379,promoter-TSS,BET1,ENST00000357520.8;ENST00000650276.1;ENST00000222547.8;ENST00000433727.5;ENST00000425626.1,23;49;23;17;2
chr7,94510095,94510095,promoter-TSS,CASD1,ENST00000443644.1;ENST00000417387.1,26;23
chr7,95435022,95435022,promoter-TSS,,ENST00000222572.8;ENST00000633531.1;ENST00000455123.5;ENST00000446142.5;ENST00000469926.5;ENST00000491069.5;ENST00000632034.1;ENST00000493290.5;ENST00000478801.5;ENST00000460873.5;ENST00000493469.5;ENST00000471883.1;ENST00000469716.1,5;49;30;45;23;70;13;12;70;70;58;7;5
chr7,98106877,98106877,promoter-TSS,,ENST00000297293.6,14
chr7,99466225,99466225,promoter-TSS,ATP5MF-PTCD1,ENST00000413834.5;ENST00000430982.1;ENST00000437572.1;ENST00000451138.1;ENST00000466753.1;ENST00000414062.5;ENST00000449683.5;ENST00000359832.8;ENST00000292475.8;ENST00000488775.5;ENST00000394186.3;ENST00000523680.1;ENST00000485011.1;ENST00000524321.1,60;61;27;62;59;59;57;60;57;57;63;57;38;60
chr7,100088992,100088992,promoter-TSS,COPS6,ENST00000465027.1;ENST00000303904.8;ENST00000419210.1;ENST00000418625.5;ENST00000472107.5;ENST00000468499.5;ENST00000496358.1,22;22;16;10;9;1;0
chr7,100119360,100119360,promoter-TSS,,ENST00000262932.5;ENST00000470153.1;ENST00000483756.5;ENST00000688498.1;ENST00000689684.1;ENST00000689284.1;ENST00000686096.1;ENST00000686580.1;ENST00000691413.1;ENST00000687216.1;ENST00000688962.1;ENST00000690367.1;ENST00000688086.1;ENST00000690206.1;ENST00000687447.1;ENST00000692408.1;ENST00000689754.1;ENST00000689866.1;ENST00000460673.3;ENST00000686777.1;ENST00000687672.1;ENST00000688091.1;ENST00000685713.1;ENST00000686141.1;ENST00000687151.1;ENST00000687410.1;ENST00000690291.1;ENST00000692175.1;ENST00000684951.1;ENST00000686172.1;ENST00000687969.1;ENST00000688640.1;ENST00000690602.1;ENST00000691681.1;ENST00000692466.1;ENST00000693225.1;ENST00000684938.1;ENST00000685280.1;ENST00000691010.1;ENST00000688343.1;ENST00000452438.7;ENST00000691370.1;ENST00000692927.1;ENST00000453269.7;ENST00000421980.5;ENST00000452041.5;ENST00000344095.8;ENST00000523306.6;ENST00000493322.6;ENST00000487288.2;ENST00000692029.1;ENST00000451699.6;ENST00000440225.6;ENST00000689536.1;ENST00000691534.1;ENST00000685258.1;ENST00000690962.1;ENST00000687768.1;ENST00000685054.1;ENST00000687641.1;ENST00000417349.5;ENST00000520135.6;ENST00000431404.2,273;594;665;121;105;104;103;90;61;42;22;20;17;11;10;10;7;6;5;5;5;5;3;3;3;3;3;3;1;1;1;1;1;1;1;1;0;0;0;1;3;5;11;1;0;3;13;5;3;383;108;5;3;3;3;1;1;7;3;1;11;6;55
chr7,100126964,100126964,promoter-TSS,,ENST00000398075.4,2
chr7,101816028,101816028,promoter-TSS,CUX1,ENST00000645010.1;ENST00000646649.1;ENST00000497815.5;ENST00000292538.9;ENST00000622516.6;ENST00000607092.1;ENST00000393824.7;ENST00000547394.6;ENST00000360264.7;ENST00000425244.6,73;73;67;22;20;19;19;18;16;6
chr7,106661077,106661077,promoter-TSS,,ENST00000523505.3,80
chr7,112790376,112790376,promoter-TSS,,ENST00000312814.11;ENST00000454074.5;ENST00000447395.5;ENST00000449743.1;ENST00000441474.1,16;16;46;2;13
chr7,113118546,113118546,promoter-TSS,,ENST00000688446.2;ENST00000397764.8;ENST00000441359.1;ENST00000413744.1;ENST00000439551.1,119;7;13;11;7
chr7,116862607,116862607,promoter-TSS,CAPZA2,ENST00000414148.6;ENST00000449080.5;ENST00000361183.8;ENST00000639546.1;ENST00000490693.5;ENST00000426421.5;ENST00000461878.5;ENST00000417431.5;ENST00000466023.1;ENST00000464669.1,76;19;19;12;6;6;3;3;2;6
chr7,116953549,116953549,promoter-TSS,ST7,ENST00000443979.5;ENST00000323984.8;ENST00000417919.5;ENST00000446490.5;ENST00000397750.7;ENST00000466018.5;ENST00000421345.5;ENST00000471110.5;ENST00000615322.1,81;47;45;27;349;689;841;913;930
chr7,120950796,120950796,promoter-TSS,ING3,ENST00000339121.9;ENST00000315870.10;ENST00000427726.5;ENST00000445699.5;ENST00000431467.1,32;18;10;0;319
chr7,123749067,123749067,promoter-TSS,,ENST00000607957.1;ENST00000223023.5,0;63
chr7,128343946,128343946,promoter-TSS,RNU7-27P,ENST00000459281.1;ENST00000223073.6;ENST00000415472.6;ENST00000478061.5;ENST00000459726.1,134;37;75;71;37
chr7,129054891,129054891,promoter-TSS,TPI1P2,ENST00000635637.1;ENST00000471166.1,331;7
chr7,129611662,129611662,promoter-TSS,,ENST00000393232.6;ENST00000477428.5;ENST00000454688.5;ENST00000223190.8;ENST00000311967.6;ENST00000608694.2,57;76;84;93;93;8
chr7,130051381,130051381,promoter-TSS,ZC3HC1,ENST00000311873.9;ENST00000358303.9;ENST00000360708.9;ENST00000467642.5;ENST00000648450.1;ENST00000481503.5;ENST00000471022.5;ENST00000483827.1;ENST00000480193.5;ENST00000470651.1;ENST00000484432.1,69;6;6;6;6;7;11;6;11;3;3
chr7,131327903,131327903,promoter-TSS,MKLN1,ENST00000446815.5;ENST00000494286.5;ENST00000352689.11;ENST00000494785.5;ENST00000458153.5;ENST00000648242.1;ENST00000429067.5;ENST00000659539.1;ENST00000653823.1;ENST00000656518.1;ENST00000656389.1;ENST00000670684.1;ENST00000416220.7;ENST00000653124.1;ENST00000454515.6;ENST00000444245.6;ENST00000663485.1;ENST00000669897.1,56;46;26;19;5;178;126;142;133;123;142;139;178;156;185;156;139;175
chr7,133253106,133253106,promoter-TSS,EXOC4,ENST00000393161.6;ENST00000486013.5;ENST00000253861.5;ENST00000462055.5;ENST00000481074.1;ENST00000492326.1,32;32;27;10;6;258
chr7,135510066,135510066,promoter-TSS,CNOT4,ENST00000451834.5;ENST00000541284.6;ENST00000423368.6;ENST00000707062.1;ENST00000361528.8;ENST00000707063.1;ENST00000428680.6;ENST00000315544.6;ENST00000707064.1;ENST00000491203.5;ENST00000498534.5;ENST00000465721.1,13;35;10;78;24;398;9;60;19;372;127;348
chr7,135557956,135557956,promoter-TSS,,ENST00000285968.11;ENST00000489493.1,38;23
chr7,139036030,139036030,promoter-TSS,,ENST00000275766.2,11
chr7,139231275,139231275,promoter-TSS,,ENST00000473989.8,37
chr7,139777701,139777701,promoter-TSS,TBXAS1,ENST00000473948.6;ENST00000425687.5;ENST00000474763.5;ENST00000481440.5;ENST00000438104.6;ENST00000336425.10;ENST00000428878.6,434;546;552;554;636;698;76
chr7,140176951,140176951,promoter-TSS,KDM7A-DT,ENST00000566699.2;ENST00000397560.7,232;31
chr7,140479357,140479357,promoter-TSS,MKRN1,ENST00000475010.5;ENST00000495305.5;ENST00000474576.5;ENST00000480552.5;ENST00000496169.5;ENST00000471104.5;ENST00000467513.5;ENST00000494939.1;ENST00000498535.1;ENST00000473444.1;ENST00000475180.5,20;10;372;430;1;290;700;853;2;319;174
chr7,140924708,140924708,promoter-TSS,BRAF,ENST00000644905.1;ENST00000642228.1;ENST00000288602.11;ENST00000646730.1;ENST00000497784.2;ENST00000642272.1;ENST00000642808.1;ENST00000643790.1;ENST00000469930.2,3;3;23;0;0;17;4;1;33
chr7,143288462,143288462,promoter-TSS,CASP2,ENST00000392925.6;ENST00000350623.7;ENST00000446192.2,66;10;464
chr1,244971073,244971073,promoter-TSS,,ENST00000607453.1,14
chr7,151080793,151080793,promoter-TSS,FASTK,ENST00000489884.5;ENST00000297532.11;ENST00000467237.5;ENST00000353841.6;ENST00000482571.2;ENST00000460980.5;ENST00000482806.5;ENST00000478477.1;ENST00000461979.1;ENST00000496663.1,0;15;296;48;68;72;2;861;52;35
chr7,151233246,151233246,promoter-TSS,,ENST00000690444.1;ENST00000690577.1;ENST00000692651.1;ENST00000465601.2;ENST00000689322.1,106;106;106;765;765
chr7,156949724,156949724,promoter-TSS,,ENST00000275820.4,11
chr7,157138964,157138964,promoter-TSS,UBE3C,ENST00000611269.4;ENST00000348165.10;ENST00000389103.4;ENST00000430750.1,47;37;230;314
